Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
VER,1, 00:01:27.458,1.0,1.0,,18.462,35.518,MEDIUM,1.0,Red Bull Racing,1.0
VER,1, 00:01:24.099,2.0,1.0,29.623,18.375,36.101,MEDIUM,2.0,Red Bull Racing,2.0
VER,1, 00:01:23.115,3.0,1.0,28.793,18.573,35.749,MEDIUM,3.0,Red Bull Racing,2.0
VER,1, 00:01:23.115,4.0,1.0,28.756,18.353,,MEDIUM,4.0,Red Bull Racing,19.0
GAS,10, 00:01:37.304,1.0,1.0,,18.854,38.564,MEDIUM,1.0,Alpine,17.0
GAS,10, 00:01:24.649,2.0,1.0,29.905,18.241,36.503,MEDIUM,2.0,Alpine,17.0
GAS,10, 00:01:23.851,3.0,1.0,29.379,18.148,36.324,MEDIUM,3.0,Alpine,17.0
GAS,10, 00:01:23.700,4.0,1.0,29.05,18.116,36.534,MEDIUM,4.0,Alpine,16.0
GAS,10, 00:01:24.526,5.0,1.0,29.693,17.983,36.85,MEDIUM,5.0,Alpine,16.0
GAS,10, 00:01:23.912,6.0,1.0,29.368,18.107,36.437,MEDIUM,6.0,Alpine,15.0
GAS,10, 00:01:23.445,7.0,1.0,29.068,18.122,36.255,MEDIUM,7.0,Alpine,13.0
GAS,10, 00:01:23.879,8.0,1.0,29.38,18.109,36.39,MEDIUM,8.0,Alpine,10.0
GAS,10, 00:01:23.829,9.0,1.0,29.349,18.235,36.245,MEDIUM,9.0,Alpine,8.0
GAS,10, 00:01:23.856,10.0,1.0,29.318,18.15,36.388,MEDIUM,10.0,Alpine,6.0
GAS,10, 00:01:25.397,11.0,1.0,29.402,18.252,37.743,MEDIUM,11.0,Alpine,8.0
GAS,10, 00:01:24.625,12.0,1.0,29.816,18.154,36.655,MEDIUM,12.0,Alpine,8.0
GAS,10, 00:01:24.049,13.0,1.0,29.379,18.093,36.577,MEDIUM,13.0,Alpine,8.0
GAS,10, 00:01:24.104,14.0,1.0,29.43,18.09,36.584,MEDIUM,14.0,Alpine,8.0
GAS,10, 00:01:24.100,15.0,1.0,29.378,18.207,36.515,MEDIUM,15.0,Alpine,7.0
GAS,10, 00:01:25.367,16.0,1.0,29.942,18.256,37.169,MEDIUM,16.0,Alpine,8.0
GAS,10, 00:01:57.788,17.0,1.0,30.269,25.888,61.631,MEDIUM,17.0,Alpine,14.0
GAS,10, 00:01:29.888,18.0,2.0,35.202,18.398,36.288,HARD,1.0,Alpine,15.0
GAS,10, 00:01:23.922,19.0,2.0,29.141,18.401,36.38,HARD,2.0,Alpine,15.0
GAS,10, 00:01:23.662,20.0,2.0,29.06,18.369,36.233,HARD,3.0,Alpine,15.0
GAS,10, 00:01:23.241,21.0,2.0,28.904,18.274,36.063,HARD,4.0,Alpine,15.0
GAS,10, 00:01:23.045,22.0,2.0,28.793,18.236,36.016,HARD,5.0,Alpine,15.0
GAS,10, 00:01:22.929,23.0,2.0,28.898,18.198,35.833,HARD,6.0,Alpine,15.0
GAS,10, 00:01:23.001,24.0,2.0,28.729,18.222,36.05,HARD,7.0,Alpine,15.0
GAS,10, 00:01:22.933,25.0,2.0,28.803,18.241,35.889,HARD,8.0,Alpine,15.0
GAS,10, 00:01:23.015,26.0,2.0,28.851,18.346,35.818,HARD,9.0,Alpine,15.0
GAS,10, 00:01:22.904,27.0,2.0,28.749,18.186,35.969,HARD,10.0,Alpine,14.0
GAS,10, 00:01:22.674,28.0,2.0,28.974,17.953,35.747,HARD,11.0,Alpine,14.0
GAS,10, 00:01:22.708,29.0,2.0,28.988,17.968,35.752,HARD,12.0,Alpine,13.0
GAS,10, 00:01:22.990,30.0,2.0,28.857,17.993,36.14,HARD,13.0,Alpine,13.0
GAS,10, 00:01:22.727,31.0,2.0,28.855,17.99,35.882,HARD,14.0,Alpine,13.0
GAS,10, 00:01:23.245,32.0,2.0,28.996,18.019,36.23,HARD,15.0,Alpine,13.0
GAS,10, 00:01:23.215,33.0,2.0,28.788,17.98,36.447,HARD,16.0,Alpine,12.0
GAS,10, 00:01:23.036,34.0,2.0,28.986,18.083,35.967,HARD,17.0,Alpine,12.0
GAS,10, 00:01:23.225,35.0,2.0,28.898,17.957,36.37,HARD,18.0,Alpine,10.0
GAS,10, 00:01:22.840,36.0,2.0,28.631,18.346,35.863,HARD,19.0,Alpine,10.0
GAS,10, 00:01:23.326,37.0,2.0,28.965,18.388,35.973,HARD,20.0,Alpine,9.0
GAS,10, 00:01:25.109,38.0,2.0,30.199,18.344,36.566,HARD,21.0,Alpine,9.0
GAS,10, 00:01:23.016,39.0,2.0,28.723,18.282,36.011,HARD,22.0,Alpine,9.0
GAS,10, 00:01:25.020,40.0,2.0,28.917,18.214,37.889,HARD,23.0,Alpine,10.0
GAS,10, 00:01:44.594,41.0,2.0,31.987,20.379,52.228,HARD,24.0,Alpine,15.0
GAS,10, 00:01:28.171,42.0,3.0,34.671,18.274,35.226,HARD,1.0,Alpine,14.0
GAS,10, 00:01:24.419,43.0,3.0,28.467,19.217,36.735,HARD,2.0,Alpine,14.0
GAS,10, 00:01:21.447,44.0,3.0,28.348,18.045,35.054,HARD,3.0,Alpine,14.0
GAS,10, 00:01:22.079,45.0,3.0,29.395,17.816,34.868,HARD,4.0,Alpine,14.0
GAS,10, 00:01:21.220,46.0,3.0,28.209,18.001,35.01,HARD,5.0,Alpine,14.0
GAS,10, 00:01:21.275,47.0,3.0,28.128,17.982,35.165,HARD,6.0,Alpine,14.0
GAS,10, 00:01:21.211,48.0,3.0,28.32,17.977,34.914,HARD,7.0,Alpine,14.0
GAS,10, 00:01:21.340,49.0,3.0,28.468,17.975,34.897,HARD,8.0,Alpine,14.0
GAS,10, 00:01:21.222,50.0,3.0,28.249,18.088,34.885,HARD,9.0,Alpine,14.0
GAS,10, 00:01:21.090,51.0,3.0,28.224,18.052,34.814,HARD,10.0,Alpine,14.0
GAS,10, 00:01:21.161,52.0,3.0,28.228,18.036,34.897,HARD,11.0,Alpine,14.0
GAS,10, 00:01:21.324,53.0,3.0,28.293,18.046,34.985,HARD,12.0,Alpine,14.0
GAS,10, 00:01:23.034,54.0,3.0,29.613,18.361,35.06,HARD,13.0,Alpine,14.0
GAS,10, 00:01:21.427,55.0,3.0,28.115,18.119,35.193,HARD,14.0,Alpine,14.0
GAS,10, 00:01:26.911,56.0,3.0,28.394,18.123,40.394,HARD,15.0,Alpine,14.0
GAS,10, 00:02:00.819,57.0,3.0,48.81,34.206,37.803,HARD,16.0,Alpine,13.0
PER,11, 00:01:32.428,1.0,1.0,,18.273,37.25,MEDIUM,1.0,Red Bull Racing,7.0
PER,11, 00:01:23.381,2.0,1.0,29.37,17.903,36.108,MEDIUM,2.0,Red Bull Racing,7.0
PER,11, 00:01:23.165,3.0,1.0,29.005,17.939,36.221,MEDIUM,3.0,Red Bull Racing,7.0
PER,11, 00:01:23.398,4.0,1.0,28.848,18.02,36.53,MEDIUM,4.0,Red Bull Racing,6.0
PER,11, 00:01:23.364,5.0,1.0,28.964,17.747,36.653,MEDIUM,5.0,Red Bull Racing,6.0
PER,11, 00:01:23.024,6.0,1.0,28.808,17.868,36.348,MEDIUM,6.0,Red Bull Racing,6.0
PER,11, 00:01:22.804,7.0,1.0,28.962,17.896,35.946,MEDIUM,7.0,Red Bull Racing,6.0
PER,11, 00:01:23.048,8.0,1.0,28.744,17.746,36.558,MEDIUM,8.0,Red Bull Racing,5.0
PER,11, 00:01:22.970,9.0,1.0,28.758,18.147,36.065,MEDIUM,9.0,Red Bull Racing,3.0
PER,11, 00:01:22.680,10.0,1.0,28.928,18.188,35.564,MEDIUM,10.0,Red Bull Racing,3.0
PER,11, 00:01:22.921,11.0,1.0,29.025,18.117,35.779,MEDIUM,11.0,Red Bull Racing,3.0
PER,11, 00:01:23.704,12.0,1.0,29.511,18.198,35.995,MEDIUM,12.0,Red Bull Racing,3.0
PER,11, 00:01:23.664,13.0,1.0,29.259,18.263,36.142,MEDIUM,13.0,Red Bull Racing,3.0
PER,11, 00:01:38.693,14.0,1.0,29.415,18.259,51.019,MEDIUM,14.0,Red Bull Racing,6.0
PER,11, 00:01:27.909,15.0,2.0,34.38,18.04,35.489,HARD,1.0,Red Bull Racing,10.0
PER,11, 00:01:24.122,16.0,2.0,28.669,17.803,37.65,HARD,2.0,Red Bull Racing,10.0
PER,11, 00:01:43.836,17.0,2.0,29.895,28.248,45.693,HARD,3.0,Red Bull Racing,8.0
PER,11, 00:01:24.269,18.0,2.0,31.212,17.742,35.315,HARD,4.0,Red Bull Racing,7.0
PER,11, 00:01:21.840,19.0,2.0,28.441,17.929,35.47,HARD,5.0,Red Bull Racing,7.0
PER,11, 00:01:21.711,20.0,2.0,28.353,17.751,35.607,HARD,6.0,Red Bull Racing,7.0
PER,11, 00:01:22.051,21.0,2.0,28.506,17.651,35.894,HARD,7.0,Red Bull Racing,6.0
PER,11, 00:01:21.869,22.0,2.0,28.59,17.918,35.361,HARD,8.0,Red Bull Racing,6.0
PER,11, 00:01:21.849,23.0,2.0,28.617,18.014,35.218,HARD,9.0,Red Bull Racing,6.0
PER,11, 00:01:21.527,24.0,2.0,28.583,17.881,35.063,HARD,10.0,Red Bull Racing,6.0
PER,11, 00:01:21.495,25.0,2.0,28.513,17.809,35.173,HARD,11.0,Red Bull Racing,6.0
PER,11, 00:01:22.246,26.0,2.0,28.587,17.932,35.727,HARD,12.0,Red Bull Racing,6.0
PER,11, 00:01:21.557,27.0,2.0,28.521,17.6,35.436,HARD,13.0,Red Bull Racing,5.0
PER,11, 00:01:22.152,28.0,2.0,28.742,18.141,35.269,HARD,14.0,Red Bull Racing,5.0
PER,11, 00:01:22.126,29.0,2.0,28.645,18.042,35.439,HARD,15.0,Red Bull Racing,5.0
PER,11, 00:01:22.180,30.0,2.0,28.599,17.955,35.626,HARD,16.0,Red Bull Racing,5.0
PER,11, 00:01:22.359,31.0,2.0,28.718,18.013,35.628,HARD,17.0,Red Bull Racing,5.0
PER,11, 00:01:22.441,32.0,2.0,28.807,18.016,35.618,HARD,18.0,Red Bull Racing,5.0
PER,11, 00:01:22.566,33.0,2.0,28.869,18.127,35.57,HARD,19.0,Red Bull Racing,5.0
PER,11, 00:01:22.962,34.0,2.0,28.911,18.114,35.937,HARD,20.0,Red Bull Racing,5.0
PER,11, 00:01:39.440,35.0,2.0,31.486,18.229,49.725,HARD,21.0,Red Bull Racing,7.0
PER,11, 00:01:27.672,36.0,3.0,34.252,18.108,35.312,HARD,1.0,Red Bull Racing,8.0
PER,11, 00:01:21.218,37.0,3.0,28.323,17.862,35.033,HARD,2.0,Red Bull Racing,7.0
PER,11, 00:01:21.245,38.0,3.0,28.319,18.045,34.881,HARD,3.0,Red Bull Racing,7.0
PER,11, 00:01:21.448,39.0,3.0,28.423,17.834,35.191,HARD,4.0,Red Bull Racing,7.0
PER,11, 00:01:21.045,40.0,3.0,28.4,17.836,34.809,HARD,5.0,Red Bull Racing,7.0
PER,11, 00:01:20.998,41.0,3.0,28.268,17.817,34.913,HARD,6.0,Red Bull Racing,6.0
PER,11, 00:01:21.350,42.0,3.0,28.442,17.795,35.113,HARD,7.0,Red Bull Racing,6.0
PER,11, 00:01:20.798,43.0,3.0,28.267,17.739,34.792,HARD,8.0,Red Bull Racing,6.0
PER,11, 00:01:20.706,44.0,3.0,28.222,17.702,34.782,HARD,9.0,Red Bull Racing,6.0
PER,11, 00:01:20.769,45.0,3.0,28.262,17.736,34.771,HARD,10.0,Red Bull Racing,5.0
PER,11, 00:01:20.428,46.0,3.0,28.204,17.718,34.506,HARD,11.0,Red Bull Racing,5.0
PER,11, 00:01:20.388,47.0,3.0,28.091,17.734,34.563,HARD,12.0,Red Bull Racing,5.0
PER,11, 00:01:20.836,48.0,3.0,28.191,17.724,34.921,HARD,13.0,Red Bull Racing,5.0
PER,11, 00:01:20.760,49.0,3.0,28.14,17.803,34.817,HARD,14.0,Red Bull Racing,5.0
PER,11, 00:01:20.871,50.0,3.0,28.244,17.792,34.835,HARD,15.0,Red Bull Racing,5.0
PER,11, 00:01:21.038,51.0,3.0,28.284,17.866,34.888,HARD,16.0,Red Bull Racing,5.0
PER,11, 00:01:21.150,52.0,3.0,28.38,17.743,35.027,HARD,17.0,Red Bull Racing,5.0
PER,11, 00:01:21.544,53.0,3.0,28.466,17.814,35.264,HARD,18.0,Red Bull Racing,5.0
PER,11, 00:01:21.630,54.0,3.0,28.537,17.969,35.124,HARD,19.0,Red Bull Racing,5.0
PER,11, 00:01:21.616,55.0,3.0,28.522,17.986,35.108,HARD,20.0,Red Bull Racing,5.0
PER,11, 00:01:21.849,56.0,3.0,28.564,17.943,35.342,HARD,21.0,Red Bull Racing,5.0
PER,11, 00:01:30.300,57.0,3.0,28.769,17.883,43.648,HARD,22.0,Red Bull Racing,5.0
PER,11, 00:02:01.742,58.0,3.0,42.725,40.289,38.728,HARD,23.0,Red Bull Racing,5.0
ALO,14, 00:01:34.503,1.0,1.0,,18.774,37.212,HARD,2.0,Aston Martin,11.0
ALO,14, 00:01:24.284,2.0,1.0,29.59,18.419,36.275,HARD,3.0,Aston Martin,11.0
ALO,14, 00:01:22.978,3.0,1.0,28.865,18.223,35.89,HARD,4.0,Aston Martin,11.0
ALO,14, 00:01:23.742,4.0,1.0,29.019,18.082,36.641,HARD,5.0,Aston Martin,10.0
ALO,14, 00:01:23.294,5.0,1.0,28.967,18.355,35.972,HARD,6.0,Aston Martin,10.0
ALO,14, 00:01:23.196,6.0,1.0,29.13,18.13,35.936,HARD,7.0,Aston Martin,10.0
ALO,14, 00:01:22.795,7.0,1.0,28.901,18.077,35.817,HARD,8.0,Aston Martin,9.0
ALO,14, 00:01:22.769,8.0,1.0,28.605,18.317,35.847,HARD,9.0,Aston Martin,7.0
ALO,14, 00:01:23.345,9.0,1.0,29.058,18.168,36.119,HARD,10.0,Aston Martin,4.0
ALO,14, 00:01:22.608,10.0,1.0,28.563,18.363,35.682,HARD,11.0,Aston Martin,4.0
ALO,14, 00:01:22.939,11.0,1.0,28.895,18.338,35.706,HARD,12.0,Aston Martin,4.0
ALO,14, 00:01:22.904,12.0,1.0,28.712,18.34,35.852,HARD,13.0,Aston Martin,4.0
ALO,14, 00:01:23.187,13.0,1.0,28.986,18.324,35.877,HARD,14.0,Aston Martin,4.0
ALO,14, 00:01:23.455,14.0,1.0,29.2,18.278,35.977,HARD,15.0,Aston Martin,2.0
ALO,14, 00:01:23.138,15.0,1.0,28.907,18.401,35.83,HARD,16.0,Aston Martin,2.0
ALO,14, 00:01:23.239,16.0,1.0,29.002,18.45,35.787,HARD,17.0,Aston Martin,2.0
ALO,14, 00:01:48.609,17.0,1.0,30.028,18.457,60.124,HARD,18.0,Aston Martin,5.0
ALO,14, 00:01:30.723,18.0,2.0,36.412,18.223,36.088,MEDIUM,2.0,Aston Martin,5.0
ALO,14, 00:01:22.928,19.0,2.0,28.883,18.355,35.69,MEDIUM,3.0,Aston Martin,5.0
ALO,14, 00:01:22.831,20.0,2.0,28.729,18.285,35.817,MEDIUM,4.0,Aston Martin,5.0
ALO,14, 00:01:22.704,21.0,2.0,28.737,18.277,35.69,MEDIUM,5.0,Aston Martin,5.0
ALO,14, 00:01:22.478,22.0,2.0,28.735,18.288,35.455,MEDIUM,6.0,Aston Martin,5.0
ALO,14, 00:01:22.441,23.0,2.0,28.625,18.197,35.619,MEDIUM,7.0,Aston Martin,5.0
ALO,14, 00:01:22.287,24.0,2.0,28.695,18.171,35.421,MEDIUM,8.0,Aston Martin,5.0
ALO,14, 00:01:22.708,25.0,2.0,28.728,18.219,35.761,MEDIUM,9.0,Aston Martin,5.0
ALO,14, 00:01:22.988,26.0,2.0,28.899,18.353,35.736,MEDIUM,10.0,Aston Martin,5.0
ALO,14, 00:01:23.257,27.0,2.0,28.79,18.31,36.157,MEDIUM,11.0,Aston Martin,6.0
ALO,14, 00:01:22.259,28.0,2.0,28.746,17.966,35.547,MEDIUM,12.0,Aston Martin,6.0
ALO,14, 00:01:21.980,29.0,2.0,28.578,18.02,35.382,MEDIUM,13.0,Aston Martin,6.0
ALO,14, 00:01:22.175,30.0,2.0,28.685,17.887,35.603,MEDIUM,14.0,Aston Martin,6.0
ALO,14, 00:01:22.355,31.0,2.0,28.794,17.957,35.604,MEDIUM,15.0,Aston Martin,6.0
ALO,14, 00:01:22.491,32.0,2.0,28.885,17.888,35.718,MEDIUM,16.0,Aston Martin,6.0
ALO,14, 00:01:22.649,33.0,2.0,28.882,18.031,35.736,MEDIUM,17.0,Aston Martin,6.0
ALO,14, 00:01:22.918,34.0,2.0,28.788,18.042,36.088,MEDIUM,18.0,Aston Martin,6.0
ALO,14, 00:01:25.730,35.0,2.0,31.068,18.302,36.36,MEDIUM,19.0,Aston Martin,5.0
ALO,14, 00:01:22.714,36.0,2.0,28.579,18.254,35.881,MEDIUM,20.0,Aston Martin,5.0
ALO,14, 00:01:22.862,37.0,2.0,28.779,18.217,35.866,MEDIUM,21.0,Aston Martin,5.0
ALO,14, 00:01:22.566,38.0,2.0,28.719,18.232,35.615,MEDIUM,22.0,Aston Martin,5.0
ALO,14, 00:01:22.772,39.0,2.0,28.724,18.187,35.861,MEDIUM,23.0,Aston Martin,5.0
ALO,14, 00:01:22.714,40.0,2.0,28.768,18.18,35.766,MEDIUM,24.0,Aston Martin,4.0
ALO,14, 00:01:38.988,41.0,2.0,28.767,18.183,52.038,MEDIUM,25.0,Aston Martin,7.0
ALO,14, 00:01:27.347,42.0,3.0,33.772,18.354,35.221,HARD,2.0,Aston Martin,7.0
ALO,14, 00:01:21.724,43.0,3.0,28.361,18.176,35.187,HARD,3.0,Aston Martin,7.0
ALO,14, 00:01:21.394,44.0,3.0,28.28,18.16,34.954,HARD,4.0,Aston Martin,7.0
ALO,14, 00:01:21.454,45.0,3.0,28.352,18.08,35.022,HARD,5.0,Aston Martin,7.0
ALO,14, 00:01:21.344,46.0,3.0,28.221,18.17,34.953,HARD,6.0,Aston Martin,6.0
ALO,14, 00:01:21.183,47.0,3.0,28.291,18.101,34.791,HARD,7.0,Aston Martin,6.0
ALO,14, 00:01:21.347,48.0,3.0,28.288,18.181,34.878,HARD,8.0,Aston Martin,6.0
ALO,14, 00:01:21.122,49.0,3.0,28.266,18.051,34.805,HARD,9.0,Aston Martin,6.0
ALO,14, 00:01:20.736,50.0,3.0,28.053,18.004,34.679,HARD,10.0,Aston Martin,6.0
ALO,14, 00:01:20.938,51.0,3.0,28.169,18.104,34.665,HARD,11.0,Aston Martin,6.0
ALO,14, 00:01:20.493,52.0,3.0,27.981,18.004,34.508,HARD,12.0,Aston Martin,6.0
ALO,14, 00:01:20.867,53.0,3.0,28.122,18.029,34.716,HARD,13.0,Aston Martin,6.0
ALO,14, 00:01:21.035,54.0,3.0,28.123,18.064,34.848,HARD,14.0,Aston Martin,6.0
ALO,14, 00:01:20.952,55.0,3.0,28.152,18.067,34.733,HARD,15.0,Aston Martin,6.0
ALO,14, 00:01:20.752,56.0,3.0,27.909,17.991,34.852,HARD,16.0,Aston Martin,6.0
ALO,14, 00:01:35.183,57.0,3.0,27.994,18.82,48.369,HARD,17.0,Aston Martin,6.0
ALO,14, 00:02:08.461,58.0,3.0,40.972,38.589,48.9,HARD,18.0,Aston Martin,6.0
LEC,16, 00:01:30.520,1.0,1.0,,18.405,36.383,MEDIUM,1.0,Ferrari,4.0
LEC,16, 00:01:23.014,2.0,1.0,28.731,17.982,36.301,MEDIUM,2.0,Ferrari,4.0
LEC,16, 00:01:22.776,3.0,1.0,28.753,17.912,36.111,MEDIUM,3.0,Ferrari,4.0
LEC,16, 00:01:22.519,4.0,1.0,28.753,18.015,35.751,MEDIUM,4.0,Ferrari,3.0
LEC,16, 00:01:22.632,5.0,1.0,28.895,17.93,35.807,MEDIUM,5.0,Ferrari,3.0
LEC,16, 00:01:22.673,6.0,1.0,28.817,17.824,36.032,MEDIUM,6.0,Ferrari,3.0
LEC,16, 00:01:22.684,7.0,1.0,28.963,17.949,35.772,MEDIUM,7.0,Ferrari,3.0
LEC,16, 00:01:22.983,8.0,1.0,28.769,17.823,36.391,MEDIUM,8.0,Ferrari,3.0
LEC,16, 00:01:36.036,9.0,1.0,28.769,17.994,49.273,MEDIUM,9.0,Ferrari,5.0
LEC,16, 00:01:27.861,10.0,2.0,33.912,18.358,35.591,HARD,1.0,Ferrari,7.0
LEC,16, 00:01:22.647,11.0,2.0,28.9,18.018,35.729,HARD,2.0,Ferrari,5.0
LEC,16, 00:01:21.841,12.0,2.0,28.454,18.244,35.143,HARD,3.0,Ferrari,5.0
LEC,16, 00:01:22.222,13.0,2.0,28.716,18.198,35.308,HARD,4.0,Ferrari,5.0
LEC,16, 00:01:21.952,14.0,2.0,28.647,18.127,35.178,HARD,5.0,Ferrari,4.0
LEC,16, 00:01:21.735,15.0,2.0,28.447,18.202,35.086,HARD,6.0,Ferrari,3.0
LEC,16, 00:01:22.247,16.0,2.0,28.598,18.349,35.3,HARD,7.0,Ferrari,3.0
LEC,16, 00:01:37.435,17.0,2.0,28.508,18.084,50.843,HARD,8.0,Ferrari,2.0
LEC,16, 00:01:28.896,18.0,2.0,35.361,18.174,35.361,HARD,9.0,Ferrari,2.0
LEC,16, 00:01:21.881,19.0,2.0,28.197,18.205,35.479,HARD,10.0,Ferrari,2.0
LEC,16, 00:01:21.885,20.0,2.0,28.409,18.11,35.366,HARD,11.0,Ferrari,2.0
LEC,16, 00:01:22.058,21.0,2.0,28.477,18.114,35.467,HARD,12.0,Ferrari,2.0
LEC,16, 00:01:21.722,22.0,2.0,28.368,18.072,35.282,HARD,13.0,Ferrari,2.0
LEC,16, 00:01:21.932,23.0,2.0,28.419,18.062,35.451,HARD,14.0,Ferrari,2.0
LEC,16, 00:01:21.852,24.0,2.0,28.455,18.042,35.355,HARD,15.0,Ferrari,2.0
LEC,16, 00:01:21.951,25.0,2.0,28.587,18.078,35.286,HARD,16.0,Ferrari,2.0
LEC,16, 00:01:22.042,26.0,2.0,28.596,18.091,35.355,HARD,17.0,Ferrari,2.0
LEC,16, 00:01:21.822,27.0,2.0,28.59,18.059,35.173,HARD,18.0,Ferrari,2.0
LEC,16, 00:01:21.969,28.0,2.0,28.496,18.164,35.309,HARD,19.0,Ferrari,2.0
LEC,16, 00:01:22.433,29.0,2.0,28.845,18.259,35.329,HARD,20.0,Ferrari,2.0
LEC,16, 00:01:22.284,30.0,2.0,28.708,18.276,35.3,HARD,21.0,Ferrari,2.0
LEC,16, 00:01:21.996,31.0,2.0,28.587,18.184,35.225,HARD,22.0,Ferrari,2.0
LEC,16, 00:01:21.841,32.0,2.0,28.706,18.13,35.005,HARD,23.0,Ferrari,2.0
LEC,16, 00:01:22.022,33.0,2.0,28.743,18.172,35.107,HARD,24.0,Ferrari,2.0
LEC,16, 00:01:35.962,34.0,2.0,28.835,18.205,48.922,HARD,25.0,Ferrari,4.0
LEC,16, 00:01:27.951,35.0,3.0,34.283,18.437,35.231,HARD,1.0,Ferrari,4.0
LEC,16, 00:01:21.942,36.0,3.0,28.493,18.231,35.218,HARD,2.0,Ferrari,4.0
LEC,16, 00:01:20.688,37.0,3.0,28.238,18.085,34.365,HARD,3.0,Ferrari,4.0
LEC,16, 00:01:20.949,38.0,3.0,28.1,17.966,34.883,HARD,4.0,Ferrari,4.0
LEC,16, 00:01:20.909,39.0,3.0,28.184,17.887,34.838,HARD,5.0,Ferrari,3.0
LEC,16, 00:01:20.953,40.0,3.0,28.187,17.895,34.871,HARD,6.0,Ferrari,3.0
LEC,16, 00:01:20.675,41.0,3.0,28.107,17.871,34.697,HARD,7.0,Ferrari,2.0
LEC,16, 00:01:20.849,42.0,3.0,28.366,17.866,34.617,HARD,8.0,Ferrari,2.0
LEC,16, 00:01:20.853,43.0,3.0,28.089,17.823,34.941,HARD,9.0,Ferrari,2.0
LEC,16, 00:01:20.560,44.0,3.0,28.069,17.861,34.63,HARD,10.0,Ferrari,2.0
LEC,16, 00:01:20.408,45.0,3.0,28.11,17.8,34.498,HARD,11.0,Ferrari,2.0
LEC,16, 00:01:20.760,46.0,3.0,28.049,18.096,34.615,HARD,12.0,Ferrari,2.0
LEC,16, 00:01:19.999,47.0,3.0,27.807,17.791,34.401,HARD,13.0,Ferrari,2.0
LEC,16, 00:01:20.349,48.0,3.0,28.125,17.844,34.38,HARD,14.0,Ferrari,2.0
LEC,16, 00:01:20.144,49.0,3.0,27.919,17.844,34.381,HARD,15.0,Ferrari,2.0
LEC,16, 00:01:19.925,50.0,3.0,27.895,17.77,34.26,HARD,16.0,Ferrari,2.0
LEC,16, 00:01:20.215,51.0,3.0,27.948,17.857,34.41,HARD,17.0,Ferrari,2.0
LEC,16, 00:01:20.331,52.0,3.0,27.976,17.865,34.49,HARD,18.0,Ferrari,2.0
LEC,16, 00:01:20.463,53.0,3.0,28.073,17.852,34.538,HARD,19.0,Ferrari,2.0
LEC,16, 00:01:20.320,54.0,3.0,28.019,17.81,34.491,HARD,20.0,Ferrari,2.0
LEC,16, 00:01:20.962,55.0,3.0,28.437,17.832,34.693,HARD,21.0,Ferrari,2.0
LEC,16, 00:01:19.813,56.0,3.0,28.044,17.572,34.197,HARD,22.0,Ferrari,2.0
LEC,16, 00:01:20.871,57.0,3.0,28.062,17.781,35.028,HARD,23.0,Ferrari,2.0
LEC,16, 00:01:49.995,58.0,3.0,36.732,29.762,43.501,HARD,24.0,Ferrari,2.0
STR,18, 00:01:32.835,1.0,1.0,,18.589,37.079,MEDIUM,2.0,Aston Martin,8.0
STR,18, 00:01:23.551,2.0,1.0,29.507,18.117,35.927,MEDIUM,3.0,Aston Martin,8.0
