Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
VER,1, 00:01:44.993,1.0,1.0,28.815,31.826,37.685,INTERMEDIATE,1.0,Red Bull Racing,2.0
VER,1, 00:01:37.672,2.0,1.0,28.815,31.274,37.583,INTERMEDIATE,2.0,Red Bull Racing,2.0
VER,1, 00:01:36.443,3.0,1.0,28.62,31.275,36.548,INTERMEDIATE,3.0,Red Bull Racing,2.0
VER,1, 00:01:35.105,4.0,1.0,28.103,30.649,36.353,INTERMEDIATE,4.0,Red Bull Racing,2.0
VER,1, 00:01:33.859,5.0,1.0,27.574,30.293,35.992,INTERMEDIATE,5.0,Red Bull Racing,2.0
VER,1, 00:01:32.634,6.0,1.0,27.04,29.789,35.805,INTERMEDIATE,6.0,Red Bull Racing,2.0
VER,1, 00:01:31.258,7.0,1.0,26.61,29.509,35.139,INTERMEDIATE,7.0,Red Bull Racing,2.0
VER,1, 00:01:30.766,8.0,1.0,26.684,29.016,35.066,INTERMEDIATE,8.0,Red Bull Racing,2.0
VER,1, 00:01:30.159,9.0,1.0,26.391,28.943,34.825,INTERMEDIATE,9.0,Red Bull Racing,2.0
VER,1, 00:01:29.295,10.0,1.0,26.155,28.544,34.596,INTERMEDIATE,10.0,Red Bull Racing,2.0
VER,1, 00:01:29.700,11.0,1.0,26.031,29.271,34.398,INTERMEDIATE,11.0,Red Bull Racing,2.0
VER,1, 00:01:28.991,12.0,1.0,26.076,28.639,34.276,INTERMEDIATE,12.0,Red Bull Racing,2.0
VER,1, 00:01:28.532,13.0,1.0,25.653,28.773,34.106,INTERMEDIATE,13.0,Red Bull Racing,2.0
VER,1, 00:01:28.527,14.0,1.0,25.724,28.668,34.135,INTERMEDIATE,14.0,Red Bull Racing,2.0
VER,1, 00:01:28.637,15.0,1.0,26.102,28.613,33.922,INTERMEDIATE,15.0,Red Bull Racing,2.0
VER,1, 00:01:28.138,16.0,1.0,25.6,28.325,34.213,INTERMEDIATE,16.0,Red Bull Racing,2.0
VER,1, 00:01:29.256,17.0,1.0,26.652,28.986,33.618,INTERMEDIATE,17.0,Red Bull Racing,2.0
VER,1, 00:01:26.436,18.0,1.0,25.166,27.75,33.52,INTERMEDIATE,18.0,Red Bull Racing,2.0
VER,1, 00:01:26.001,19.0,1.0,24.992,27.583,33.426,INTERMEDIATE,19.0,Red Bull Racing,2.0
VER,1, 00:01:26.265,20.0,1.0,25.118,27.425,33.722,INTERMEDIATE,20.0,Red Bull Racing,3.0
VER,1, 00:01:26.578,21.0,1.0,25.132,27.783,33.663,INTERMEDIATE,21.0,Red Bull Racing,2.0
VER,1, 00:01:26.590,22.0,1.0,25.151,27.939,33.5,INTERMEDIATE,22.0,Red Bull Racing,2.0
VER,1, 00:01:26.591,23.0,1.0,25.233,27.735,33.623,INTERMEDIATE,23.0,Red Bull Racing,2.0
VER,1, 00:01:27.034,24.0,1.0,25.371,27.888,33.775,INTERMEDIATE,24.0,Red Bull Racing,2.0
VER,1, 00:01:53.896,25.0,1.0,27.248,28.167,58.481,INTERMEDIATE,25.0,Red Bull Racing,2.0
VER,1, 00:01:49.849,26.0,2.0,32.955,33.749,43.145,INTERMEDIATE,1.0,Red Bull Racing,1.0
VER,1, 00:02:10.108,27.0,2.0,36.226,41.99,51.892,INTERMEDIATE,2.0,Red Bull Racing,1.0
VER,1, 00:02:08.316,28.0,2.0,41.038,38.234,49.044,INTERMEDIATE,3.0,Red Bull Racing,1.0
VER,1, 00:02:13.946,29.0,2.0,33.694,36.428,63.824,INTERMEDIATE,4.0,Red Bull Racing,1.0
VER,1, 00:01:26.187,30.0,2.0,24.165,27.288,34.734,INTERMEDIATE,5.0,Red Bull Racing,1.0
VER,1, 00:01:29.219,31.0,2.0,25.25,28.753,35.216,INTERMEDIATE,6.0,Red Bull Racing,1.0
VER,1, 00:01:30.715,32.0,2.0,26.62,29.377,34.718,INTERMEDIATE,7.0,Red Bull Racing,1.0
VER,1, 00:01:29.528,33.0,2.0,26.262,28.858,34.408,INTERMEDIATE,8.0,Red Bull Racing,1.0
VER,1, 00:01:27.754,34.0,2.0,25.925,28.289,33.54,INTERMEDIATE,9.0,Red Bull Racing,1.0
VER,1, 00:01:26.792,35.0,2.0,25.478,28.022,33.292,INTERMEDIATE,10.0,Red Bull Racing,1.0
VER,1, 00:01:26.269,36.0,2.0,25.431,27.746,33.092,INTERMEDIATE,11.0,Red Bull Racing,1.0
VER,1, 00:01:25.748,37.0,2.0,25.017,27.537,33.194,INTERMEDIATE,12.0,Red Bull Racing,1.0
VER,1, 00:01:25.386,38.0,2.0,25.058,27.453,32.875,INTERMEDIATE,13.0,Red Bull Racing,1.0
VER,1, 00:01:24.859,39.0,2.0,24.789,27.239,32.831,INTERMEDIATE,14.0,Red Bull Racing,1.0
VER,1, 00:01:24.711,40.0,2.0,24.919,27.152,32.64,INTERMEDIATE,15.0,Red Bull Racing,1.0
VER,1, 00:01:24.159,41.0,2.0,24.693,26.821,32.645,INTERMEDIATE,16.0,Red Bull Racing,1.0
VER,1, 00:01:24.079,42.0,2.0,24.743,26.686,32.65,INTERMEDIATE,17.0,Red Bull Racing,1.0
VER,1, 00:01:24.292,43.0,2.0,24.613,26.76,32.919,INTERMEDIATE,18.0,Red Bull Racing,1.0
VER,1, 00:01:24.381,44.0,2.0,24.691,26.683,33.007,INTERMEDIATE,19.0,Red Bull Racing,1.0
VER,1, 00:01:40.612,45.0,2.0,24.639,27.035,48.938,INTERMEDIATE,20.0,Red Bull Racing,2.0
VER,1, 00:01:30.823,46.0,3.0,30.892,27.279,32.652,MEDIUM,1.0,Red Bull Racing,2.0
VER,1, 00:01:22.905,47.0,3.0,24.96,26.029,31.916,MEDIUM,2.0,Red Bull Racing,2.0
VER,1, 00:01:20.470,48.0,3.0,23.458,25.316,31.696,MEDIUM,3.0,Red Bull Racing,1.0
VER,1, 00:01:19.401,49.0,3.0,22.765,25.182,31.454,MEDIUM,4.0,Red Bull Racing,1.0
VER,1, 00:01:18.596,50.0,3.0,22.408,24.856,31.332,MEDIUM,5.0,Red Bull Racing,1.0
VER,1, 00:01:18.109,51.0,3.0,22.313,24.66,31.136,MEDIUM,6.0,Red Bull Racing,1.0
VER,1, 00:01:17.905,52.0,3.0,22.059,24.673,31.173,MEDIUM,7.0,Red Bull Racing,1.0
VER,1, 00:01:17.251,53.0,3.0,21.782,24.485,30.984,MEDIUM,8.0,Red Bull Racing,1.0
VER,1, 00:01:39.889,54.0,3.0,22.271,39.145,38.473,MEDIUM,9.0,Red Bull Racing,1.0
VER,1, 00:02:10.789,55.0,3.0,34.529,44.471,51.789,MEDIUM,10.0,Red Bull Racing,1.0
VER,1, 00:02:03.992,56.0,3.0,34.418,42.492,47.082,MEDIUM,11.0,Red Bull Racing,1.0
VER,1, 00:01:56.657,57.0,3.0,32.672,39.587,44.398,MEDIUM,12.0,Red Bull Racing,1.0
VER,1, 00:02:15.564,58.0,3.0,31.835,35.321,68.408,MEDIUM,13.0,Red Bull Racing,1.0
VER,1, 00:01:18.361,59.0,3.0,22.366,24.698,31.297,MEDIUM,14.0,Red Bull Racing,1.0
VER,1, 00:01:17.472,60.0,3.0,21.87,24.457,31.145,MEDIUM,15.0,Red Bull Racing,1.0
VER,1, 00:01:16.625,61.0,3.0,21.661,24.07,30.894,MEDIUM,16.0,Red Bull Racing,1.0
VER,1, 00:01:16.318,62.0,3.0,21.57,24.067,30.681,MEDIUM,17.0,Red Bull Racing,1.0
VER,1, 00:01:15.983,63.0,3.0,21.333,23.87,30.78,MEDIUM,18.0,Red Bull Racing,1.0
VER,1, 00:01:15.830,64.0,3.0,21.214,23.864,30.752,MEDIUM,19.0,Red Bull Racing,1.0
VER,1, 00:01:15.882,65.0,3.0,21.379,23.933,30.57,MEDIUM,20.0,Red Bull Racing,1.0
VER,1, 00:01:15.823,66.0,3.0,21.261,23.983,30.579,MEDIUM,21.0,Red Bull Racing,1.0
VER,1, 00:01:15.770,67.0,3.0,21.188,23.974,30.608,MEDIUM,22.0,Red Bull Racing,1.0
VER,1, 00:01:15.742,68.0,3.0,21.16,23.926,30.656,MEDIUM,23.0,Red Bull Racing,1.0
VER,1, 00:01:15.935,69.0,3.0,21.279,23.996,30.66,MEDIUM,24.0,Red Bull Racing,1.0
VER,1, 00:01:15.569,70.0,3.0,21.222,23.891,30.456,MEDIUM,25.0,Red Bull Racing,1.0
GAS,10, 00:02:00.661,1.0,1.0,31.04,34.159,42.473,INTERMEDIATE,1.0,Alpine,18.0
GAS,10, 00:01:43.105,2.0,1.0,31.04,33.346,38.719,INTERMEDIATE,2.0,Alpine,18.0
GAS,10, 00:01:40.496,3.0,1.0,30.326,32.429,37.741,INTERMEDIATE,3.0,Alpine,18.0
GAS,10, 00:01:38.907,4.0,1.0,29.518,31.43,37.959,INTERMEDIATE,4.0,Alpine,18.0
GAS,10, 00:01:38.846,5.0,1.0,29.873,31.091,37.882,INTERMEDIATE,5.0,Alpine,18.0
GAS,10, 00:01:36.574,6.0,1.0,28.412,31.207,36.955,INTERMEDIATE,6.0,Alpine,17.0
GAS,10, 00:01:35.344,7.0,1.0,27.894,31.042,36.408,INTERMEDIATE,7.0,Alpine,17.0
GAS,10, 00:01:32.862,8.0,1.0,26.836,30.024,36.002,INTERMEDIATE,8.0,Alpine,17.0
GAS,10, 00:01:31.760,9.0,1.0,26.948,29.056,35.756,INTERMEDIATE,9.0,Alpine,17.0
GAS,10, 00:01:31.486,10.0,1.0,26.732,29.38,35.374,INTERMEDIATE,10.0,Alpine,17.0
GAS,10, 00:01:33.319,11.0,1.0,27.19,30.966,35.163,INTERMEDIATE,11.0,Alpine,17.0
GAS,10, 00:01:29.961,12.0,1.0,25.988,28.68,35.293,INTERMEDIATE,12.0,Alpine,16.0
GAS,10, 00:01:30.820,13.0,1.0,26.213,28.945,35.662,INTERMEDIATE,13.0,Alpine,16.0
GAS,10, 00:01:30.358,14.0,1.0,26.396,28.664,35.298,INTERMEDIATE,14.0,Alpine,16.0
GAS,10, 00:01:29.896,15.0,1.0,25.939,29.224,34.733,INTERMEDIATE,15.0,Alpine,16.0
GAS,10, 00:01:28.456,16.0,1.0,25.338,28.655,34.463,INTERMEDIATE,16.0,Alpine,16.0
GAS,10, 00:01:27.982,17.0,1.0,25.756,28.347,33.879,INTERMEDIATE,17.0,Alpine,16.0
GAS,10, 00:01:28.933,18.0,1.0,25.488,28.224,35.221,INTERMEDIATE,18.0,Alpine,16.0
GAS,10, 00:01:27.412,19.0,1.0,25.486,27.84,34.086,INTERMEDIATE,19.0,Alpine,16.0
GAS,10, 00:01:26.818,20.0,1.0,25.349,27.428,34.041,INTERMEDIATE,20.0,Alpine,16.0
GAS,10, 00:01:27.756,21.0,1.0,25.663,28.059,34.034,INTERMEDIATE,21.0,Alpine,15.0
GAS,10, 00:01:25.165,22.0,1.0,24.597,27.119,33.449,INTERMEDIATE,22.0,Alpine,15.0
GAS,10, 00:01:25.084,23.0,1.0,24.663,27.045,33.376,INTERMEDIATE,23.0,Alpine,15.0
GAS,10, 00:01:27.539,24.0,1.0,25.301,27.897,34.341,INTERMEDIATE,24.0,Alpine,15.0
GAS,10, 00:02:08.873,25.0,1.0,36.381,36.147,56.345,INTERMEDIATE,25.0,Alpine,16.0
GAS,10, 00:01:53.400,26.0,2.0,34.861,34.184,44.355,INTERMEDIATE,1.0,Alpine,16.0
GAS,10, 00:01:43.122,27.0,2.0,33.073,31.343,38.706,INTERMEDIATE,2.0,Alpine,16.0
GAS,10, 00:01:41.970,28.0,2.0,31.736,31.62,38.614,INTERMEDIATE,3.0,Alpine,15.0
GAS,10, 00:01:56.579,29.0,2.0,27.236,34.991,54.352,INTERMEDIATE,4.0,Alpine,15.0
GAS,10, 00:01:29.531,30.0,2.0,25.484,28.482,35.565,INTERMEDIATE,5.0,Alpine,15.0
GAS,10, 00:01:32.523,31.0,2.0,27.816,29.573,35.134,INTERMEDIATE,6.0,Alpine,14.0
GAS,10, 00:01:31.747,32.0,2.0,27.194,29.567,34.986,INTERMEDIATE,7.0,Alpine,14.0
GAS,10, 00:01:30.925,33.0,2.0,27.706,28.875,34.344,INTERMEDIATE,8.0,Alpine,14.0
GAS,10, 00:01:28.934,34.0,2.0,26.415,28.434,34.085,INTERMEDIATE,9.0,Alpine,14.0
GAS,10, 00:01:28.432,35.0,2.0,26.159,28.443,33.83,INTERMEDIATE,10.0,Alpine,14.0
GAS,10, 00:01:27.600,36.0,2.0,25.805,27.96,33.835,INTERMEDIATE,11.0,Alpine,14.0
GAS,10, 00:01:27.643,37.0,2.0,26.196,27.959,33.488,INTERMEDIATE,12.0,Alpine,14.0
GAS,10, 00:01:26.753,38.0,2.0,25.69,27.779,33.284,INTERMEDIATE,13.0,Alpine,14.0
GAS,10, 00:01:27.411,39.0,2.0,26.021,27.95,33.44,INTERMEDIATE,14.0,Alpine,14.0
GAS,10, 00:01:42.267,40.0,2.0,25.435,27.326,49.506,INTERMEDIATE,15.0,Alpine,18.0
