Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
RUS,63, 00:01:14.401,1.0,1.0,17.469,32.359,21.359,MEDIUM,1.0,Mercedes,3.0
RUS,63, 00:01:10.580,2.0,1.0,17.469,31.731,21.38,MEDIUM,2.0,Mercedes,3.0
RUS,63, 00:01:10.441,3.0,1.0,17.801,31.483,21.157,MEDIUM,3.0,Mercedes,3.0
RUS,63, 00:01:10.467,4.0,1.0,17.555,31.631,21.281,MEDIUM,4.0,Mercedes,3.0
RUS,63, 00:01:10.193,5.0,1.0,17.61,31.332,21.251,MEDIUM,5.0,Mercedes,3.0
RUS,63, 00:01:11.033,6.0,1.0,17.616,31.962,21.455,MEDIUM,6.0,Mercedes,3.0
RUS,63, 00:01:10.682,7.0,1.0,17.624,31.646,21.412,MEDIUM,7.0,Mercedes,3.0
RUS,63, 00:01:10.655,8.0,1.0,17.696,31.695,21.264,MEDIUM,8.0,Mercedes,3.0
RUS,63, 00:01:10.628,9.0,1.0,17.626,31.611,21.391,MEDIUM,9.0,Mercedes,3.0
RUS,63, 00:01:11.263,10.0,1.0,17.717,32.021,21.525,MEDIUM,10.0,Mercedes,3.0
RUS,63, 00:01:11.281,11.0,1.0,17.754,32.018,21.509,MEDIUM,11.0,Mercedes,3.0
RUS,63, 00:01:11.135,12.0,1.0,17.76,31.876,21.499,MEDIUM,12.0,Mercedes,3.0
RUS,63, 00:01:11.321,13.0,1.0,17.788,32.033,21.5,MEDIUM,13.0,Mercedes,3.0
RUS,63, 00:01:11.440,14.0,1.0,17.797,32.072,21.571,MEDIUM,14.0,Mercedes,3.0
RUS,63, 00:01:11.471,15.0,1.0,17.784,32.044,21.643,MEDIUM,15.0,Mercedes,3.0
RUS,63, 00:01:11.382,16.0,1.0,17.831,31.915,21.636,MEDIUM,16.0,Mercedes,3.0
RUS,63, 00:01:11.459,17.0,1.0,17.824,31.93,21.705,MEDIUM,17.0,Mercedes,3.0
RUS,63, 00:01:11.297,18.0,1.0,17.786,32.03,21.481,MEDIUM,18.0,Mercedes,3.0
RUS,63, 00:01:11.569,19.0,1.0,17.794,32.113,21.662,MEDIUM,19.0,Mercedes,3.0
RUS,63, 00:01:11.531,20.0,1.0,17.854,32.068,21.609,MEDIUM,20.0,Mercedes,3.0
RUS,63, 00:01:11.641,21.0,1.0,17.904,32.147,21.59,MEDIUM,21.0,Mercedes,3.0
RUS,63, 00:01:15.077,22.0,1.0,17.891,32.111,25.075,MEDIUM,22.0,Mercedes,3.0
RUS,63, 00:01:26.769,23.0,2.0,34.824,31.03,20.915,MEDIUM,1.0,Mercedes,4.0
RUS,63, 00:01:09.563,24.0,2.0,17.446,31.068,21.049,MEDIUM,2.0,Mercedes,4.0
