Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
HAM,44, 00:01:36.034,1.0,1.0,29.249,37.703,25.484,MEDIUM,1.0,Mercedes,3.0
HAM,44, 00:01:31.420,2.0,1.0,29.287,37.314,24.857,MEDIUM,2.0,Mercedes,2.0
HAM,44, 00:01:31.716,3.0,1.0,29.554,37.133,25.296,MEDIUM,3.0,Mercedes,2.0
HAM,44, 00:01:31.988,4.0,1.0,29.469,37.258,25.176,MEDIUM,4.0,Mercedes,2.0
HAM,44, 00:01:31.677,5.0,1.0,29.486,37.231,24.977,MEDIUM,5.0,Mercedes,2.0
HAM,44, 00:01:31.746,6.0,1.0,29.518,37.195,25.065,MEDIUM,6.0,Mercedes,2.0
HAM,44, 00:01:31.675,7.0,1.0,29.475,37.064,25.093,MEDIUM,7.0,Mercedes,2.0
HAM,44, 00:01:31.760,8.0,1.0,29.496,37.201,25.084,MEDIUM,8.0,Mercedes,2.0
HAM,44, 00:01:31.564,9.0,1.0,29.484,36.954,25.114,MEDIUM,9.0,Mercedes,2.0
HAM,44, 00:01:31.515,10.0,1.0,29.412,36.923,25.108,MEDIUM,10.0,Mercedes,2.0
HAM,44, 00:01:31.487,11.0,1.0,29.429,37.003,25.072,MEDIUM,11.0,Mercedes,2.0
HAM,44, 00:01:31.563,12.0,1.0,29.817,36.937,25.197,MEDIUM,12.0,Mercedes,2.0
HAM,44, 00:01:31.881,13.0,1.0,29.552,37.067,24.997,MEDIUM,13.0,Mercedes,2.0
HAM,44, 00:01:31.609,14.0,1.0,29.52,37.045,25.012,MEDIUM,14.0,Mercedes,2.0
HAM,44, 00:01:31.563,15.0,1.0,29.491,37.024,25.019,MEDIUM,15.0,Mercedes,2.0
HAM,44, 00:01:31.931,16.0,1.0,29.743,36.755,25.685,MEDIUM,16.0,Mercedes,2.0
HAM,44, 00:01:33.721,17.0,1.0,29.752,36.945,27.033,MEDIUM,17.0,Mercedes,2.0
HAM,44, 00:01:35.071,18.0,1.0,34.046,37.612,27.707,MEDIUM,18.0,Mercedes,1.0
HAM,44, 00:01:43.711,19.0,1.0,33.695,40.683,28.982,MEDIUM,19.0,Mercedes,1.0
HAM,44, 00:01:40.021,20.0,1.0,29.881,39.257,27.069,MEDIUM,20.0,Mercedes,3.0
