Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
HAM,44, 00:01:52.700,1.0,1.0,31.284,49.406,29.478,MEDIUM,1.0,Mercedes,2.0
HAM,44, 00:01:49.849,2.0,1.0,31.215,49.211,29.354,MEDIUM,2.0,Mercedes,2.0
HAM,44, 00:01:49.109,3.0,1.0,31.754,48.486,29.408,MEDIUM,3.0,Mercedes,1.0
HAM,44, 00:01:49.808,4.0,1.0,31.592,48.605,29.449,MEDIUM,4.0,Mercedes,1.0
HAM,44, 00:01:49.376,5.0,1.0,31.618,48.32,29.464,MEDIUM,5.0,Mercedes,1.0
HAM,44, 00:01:49.400,6.0,1.0,31.662,48.355,29.427,MEDIUM,6.0,Mercedes,1.0
HAM,44, 00:01:49.357,7.0,1.0,31.646,48.124,29.571,MEDIUM,7.0,Mercedes,1.0
HAM,44, 00:01:49.666,8.0,1.0,31.616,48.515,29.505,MEDIUM,8.0,Mercedes,1.0
HAM,44, 00:01:49.704,9.0,1.0,31.625,48.572,29.516,MEDIUM,9.0,Mercedes,1.0
HAM,44, 00:01:49.951,10.0,1.0,31.618,48.752,29.574,MEDIUM,10.0,Mercedes,1.0
HAM,44, 00:01:54.328,11.0,1.0,46.008,48.726,33.984,MEDIUM,11.0,Mercedes,2.0
HAM,44, 00:02:04.792,12.0,2.0,31.262,49.504,29.28,HARD,1.0,Mercedes,5.0
HAM,44, 00:01:48.204,13.0,2.0,31.323,47.833,29.109,HARD,2.0,Mercedes,3.0
HAM,44, 00:01:48.124,14.0,2.0,31.38,47.55,29.251,HARD,3.0,Mercedes,3.0
HAM,44, 00:01:48.150,15.0,2.0,31.381,47.556,29.214,HARD,4.0,Mercedes,3.0
HAM,44, 00:01:47.973,16.0,2.0,31.418,47.444,29.148,HARD,5.0,Mercedes,2.0
HAM,44, 00:01:47.957,17.0,2.0,31.287,47.512,29.027,HARD,6.0,Mercedes,2.0
HAM,44, 00:01:47.910,18.0,2.0,31.36,47.481,29.142,HARD,7.0,Mercedes,2.0
HAM,44, 00:01:48.040,19.0,2.0,31.378,47.575,29.105,HARD,8.0,Mercedes,2.0
HAM,44, 00:01:48.237,20.0,2.0,31.497,47.684,29.175,HARD,9.0,Mercedes,1.0
HAM,44, 00:01:48.396,21.0,2.0,31.443,47.602,29.297,HARD,10.0,Mercedes,1.0
HAM,44, 00:01:48.368,22.0,2.0,31.486,47.622,29.303,HARD,11.0,Mercedes,1.0
HAM,44, 00:01:48.338,23.0,2.0,31.366,47.58,29.272,HARD,12.0,Mercedes,1.0
HAM,44, 00:01:48.028,24.0,2.0,31.415,47.535,29.127,HARD,13.0,Mercedes,1.0
HAM,44, 00:01:47.845,25.0,2.0,31.359,47.395,29.035,HARD,14.0,Mercedes,1.0
HAM,44, 00:01:52.047,26.0,2.0,45.393,47.199,33.489,HARD,15.0,Mercedes,1.0
HAM,44, 00:02:01.300,27.0,3.0,30.835,46.984,28.923,HARD,1.0,Mercedes,6.0
HAM,44, 00:01:47.396,28.0,3.0,31.059,47.762,28.799,HARD,2.0,Mercedes,5.0
HAM,44, 00:01:47.429,29.0,3.0,31.176,47.387,28.983,HARD,3.0,Mercedes,4.0
HAM,44, 00:01:47.031,30.0,3.0,31.181,46.961,28.894,HARD,4.0,Mercedes,3.0
HAM,44, 00:01:47.182,31.0,3.0,31.156,47.047,28.954,HARD,5.0,Mercedes,2.0
HAM,44, 00:01:47.003,32.0,3.0,31.053,46.903,28.944,HARD,6.0,Mercedes,2.0
