Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
PIA,81, 00:01:26.746,1.0,1.0,29.924,29.625,23.513,MEDIUM,1.0,McLaren,1.0
PIA,81, 00:01:24.038,2.0,1.0,30.303,30.425,23.689,MEDIUM,2.0,McLaren,1.0
PIA,81, 00:01:24.401,3.0,1.0,30.145,30.297,23.801,MEDIUM,3.0,McLaren,1.0
PIA,81, 00:01:24.115,4.0,1.0,30.091,30.338,23.632,MEDIUM,4.0,McLaren,1.0
PIA,81, 00:01:23.796,5.0,1.0,38,30.157,23.548,MEDIUM,5.0,McLaren,1.0
PIA,81, 00:01:23.846,6.0,1.0,30.163,30.248,23.59,MEDIUM,6.0,McLaren,1.0
PIA,81, 00:01:24.110,7.0,1.0,30.068,30.201,23.746,MEDIUM,7.0,McLaren,1.0
PIA,81, 00:01:23.892,8.0,1.0,30.054,30.192,23.632,MEDIUM,8.0,McLaren,1.0
PIA,81, 00:01:24.206,9.0,1.0,30.286,30.348,23.804,MEDIUM,9.0,McLaren,1.0
PIA,81, 00:01:24.257,10.0,1.0,30.206,30.286,23.685,MEDIUM,10.0,McLaren,1.0
PIA,81, 00:01:24.062,11.0,1.0,30.077,30.227,23.629,MEDIUM,11.0,McLaren,1.0
PIA,81, 00:01:23.893,12.0,1.0,30.139,30.128,23.688,MEDIUM,12.0,McLaren,1.0
PIA,81, 00:01:23.887,13.0,1.0,30.389,30.039,23.709,MEDIUM,13.0,McLaren,1.0
PIA,81, 00:01:24.683,14.0,1.0,30.285,30.334,23.96,MEDIUM,14.0,McLaren,1.0
PIA,81, 00:01:24.299,15.0,1.0,30.211,30.204,23.81,MEDIUM,15.0,McLaren,1.0
PIA,81, 00:01:24.237,16.0,1.0,30.29,30.174,23.852,MEDIUM,16.0,McLaren,1.0
PIA,81, 00:01:24.248,17.0,1.0,30.228,30.207,23.751,MEDIUM,17.0,McLaren,1.0
PIA,81, 00:01:26.496,18.0,1.0,48.506,30.152,26.116,MEDIUM,18.0,McLaren,1.0
PIA,81, 00:01:42.479,19.0,2.0,29.964,30.391,23.582,HARD,2.0,McLaren,4.0
PIA,81, 00:01:23.603,20.0,2.0,30.019,30.107,23.532,HARD,3.0,McLaren,4.0
PIA,81, 00:01:23.474,21.0,2.0,30.038,29.893,23.562,HARD,4.0,McLaren,3.0
