Id;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
0;NOR;4; 00:01:20.878;1.0;1.0;26.061;27.269;22.935;MEDIUM;1.0;McLaren;2.0
1;NOR;4; 00:01:16.134;2.0;1.0;25.995;27.155;22.918;MEDIUM;2.0;McLaren;2.0
2;NOR;4; 00:01:16.496;3.0;1.0;25.836;27.72;22.781;MEDIUM;3.0;McLaren;2.0
3;NOR;4; 00:01:16.304;4.0;1.0;25.816;27.683;22.785;MEDIUM;4.0;McLaren;2.0
4;NOR;4; 00:01:16.271;5.0;1.0;25.711;27.72;22.735;MEDIUM;5.0;McLaren;2.0
5;NOR;4; 00:01:16.225;6.0;1.0;25.871;27.752;22.762;MEDIUM;6.0;McLaren;2.0
6;NOR;4; 00:01:16.395;7.0;1.0;25.599;27.748;22.776;MEDIUM;7.0;McLaren;2.0
7;NOR;4; 00:01:16.169;8.0;1.0;25.735;27.831;22.739;MEDIUM;8.0;McLaren;2.0
8;NOR;4; 00:01:16.477;9.0;1.0;25.695;27.79;22.952;MEDIUM;9.0;McLaren;2.0
9;NOR;4; 00:01:16.292;10.0;1.0;25.733;27.846;22.751;MEDIUM;10.0;McLaren;2.0
10;NOR;4; 00:01:16.303;11.0;1.0;25.704;27.862;22.708;MEDIUM;11.0;McLaren;2.0
11;NOR;4; 00:01:16.200;12.0;1.0;25.881;27.781;22.715;MEDIUM;12.0;McLaren;2.0
12;NOR;4; 00:01:16.242;13.0;1.0;25.717;27.675;22.686;MEDIUM;13.0;McLaren;2.0
13;NOR;4; 00:01:16.470;14.0;1.0;25.761;27.99;22.763;MEDIUM;14.0;McLaren;2.0
14;NOR;4; 00:01:16.227;15.0;1.0;25.6;27.727;22.739;MEDIUM;15.0;McLaren;2.0
15;NOR;4; 00:01:15.689;16.0;1.0;26.095;27.593;22.496;MEDIUM;16.0;McLaren;2.0
16;NOR;4; 00:01:16.085;17.0;1.0;25.695;27.634;22.356;MEDIUM;17.0;McLaren;2.0
17;NOR;4; 00:01:16.066;18.0;1.0;25.522;27.64;22.731;MEDIUM;18.0;McLaren;1.0
18;NOR;4; 00:01:15.899;19.0;1.0;25.647;27.699;22.678;MEDIUM;19.0;McLaren;1.0
19;NOR;4; 00:01:16.043;20.0;1.0;25.557;27.795;22.601;MEDIUM;20.0;McLaren;1.0
20;NOR;4; 00:01:15.729;21.0;1.0;25.536;27.582;22.59;MEDIUM;21.0;McLaren;1.0
21;NOR;4; 00:01:15.796;22.0;1.0;25.513;27.55;22.71;MEDIUM;22.0;McLaren;1.0
22;NOR;4; 00:01:15.784;23.0;1.0;25.568;27.66;22.611;MEDIUM;23.0;McLaren;1.0
23;NOR;4; 00:01:15.692;24.0;1.0;25.53;27.551;22.573;MEDIUM;24.0;McLaren;1.0
24;NOR;4; 00:01:15.709;25.0;1.0;25.544;27.516;22.663;MEDIUM;25.0;McLaren;1.0
25;NOR;4; 00:01:15.873;26.0;1.0;25.533;27.623;22.706;MEDIUM;26.0;McLaren;1.0
26;NOR;4; 00:01:15.744;27.0;1.0;25.572;27.558;22.653;MEDIUM;27.0;McLaren;1.0
27;NOR;4; 00:01:19.241;28.0;1.0;45.664;27.572;26.097;MEDIUM;28.0;McLaren;1.0
28;NOR;4; 00:01:35.150;29.0;2.0;25.3;27.135;22.351;HARD;1.0;McLaren;4.0
29;NOR;4; 00:01:14.571;30.0;2.0;25.109;27.055;22.216;HARD;2.0;McLaren;2.0
30;NOR;4; 00:01:14.391;31.0;2.0;25.183;27.052;22.23;HARD;3.0;McLaren;2.0
31;NOR;4; 00:01:14.476;32.0;2.0;25.107;26.976;22.317;HARD;4.0;McLaren;2.0
32;NOR;4; 00:01:14.489;33.0;2.0;25.264;27.127;22.255;HARD;5.0;McLaren;1.0
33;NOR;4; 00:01:14.491;34.0;2.0;25.149;26.997;22.23;HARD;6.0;McLaren;1.0
34;NOR;4; 00:01:14.474;35.0;2.0;25.111;27.15;22.175;HARD;7.0;McLaren;1.0
35;NOR;4; 00:01:14.312;36.0;2.0;25.373;27.004;22.197;HARD;8.0;McLaren;1.0
36;NOR;4; 00:01:14.724;37.0;2.0;25.185;27.081;22.27;HARD;9.0;McLaren;1.0
37;NOR;4; 00:01:14.557;38.0;2.0;25.151;27.171;22.201;HARD;10.0;McLaren;1.0
38;NOR;4; 00:01:14.707;39.0;2.0;25.223;27.261;22.295;HARD;11.0;McLaren;1.0
39;NOR;4; 00:01:14.639;40.0;2.0;25.386;27.22;22.196;HARD;12.0;McLaren;1.0
40;NOR;4; 00:01:15.010;41.0;2.0;25.533;27.204;22.42;HARD;13.0;McLaren;1.0
41;NOR;4; 00:01:15.205;42.0;2.0;25.272;27.348;22.324;HARD;14.0;McLaren;1.0
42;NOR;4; 00:01:14.791;43.0;2.0;25.237;27.105;22.414;HARD;15.0;McLaren;1.0
43;NOR;4; 00:01:14.577;44.0;2.0;25.251;27.094;22.246;HARD;16.0;McLaren;1.0
44;NOR;4; 00:01:14.831;45.0;2.0;25.277;27.228;22.352;HARD;17.0;McLaren;1.0
45;NOR;4; 00:01:14.603;46.0;2.0;25.295;27.137;22.189;HARD;18.0;McLaren;1.0
46;NOR;4; 00:01:14.892;47.0;2.0;25.322;27.083;22.514;HARD;19.0;McLaren;1.0
47;NOR;4; 00:01:14.776;48.0;2.0;25.36;27.115;22.339;HARD;20.0;McLaren;1.0
48;NOR;4; 00:01:14.911;49.0;2.0;25.153;27.17;22.381;HARD;21.0;McLaren;1.0
49;NOR;4; 00:01:14.575;50.0;2.0;25.276;27.143;22.279;HARD;22.0;McLaren;1.0
50;NOR;4; 00:01:14.832;51.0;2.0;25.2;27.199;22.357;HARD;23.0;McLaren;1.0
51;NOR;4; 00:01:14.687;52.0;2.0;25.422;27.18;22.307;HARD;24.0;McLaren;1.0
52;NOR;4; 00:01:14.738;53.0;2.0;25.207;27.054;22.262;HARD;25.0;McLaren;1.0
53;NOR;4; 00:01:14.468;54.0;2.0;25.275;26.998;22.263;HARD;26.0;McLaren;1.0
54;NOR;4; 00:01:14.599;55.0;2.0;25.273;26.987;22.337;HARD;27.0;McLaren;1.0
55;NOR;4; 00:01:14.816;56.0;2.0;25.268;27.082;22.461;HARD;28.0;McLaren;1.0
