Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
LEC,16, 00:01:28.179,1.0,1.0,27.707,29.989,28.398,MEDIUM,1.0,Ferrari,2.0
LEC,16, 00:01:25.396,2.0,1.0,27.679,29.265,28.424,MEDIUM,2.0,Ferrari,2.0
LEC,16, 00:01:25.179,3.0,1.0,27.653,29.001,28.499,MEDIUM,3.0,Ferrari,2.0
LEC,16, 00:01:24.810,4.0,1.0,27.63,28.883,28.274,MEDIUM,4.0,Ferrari,2.0
LEC,16, 00:01:24.603,5.0,1.0,27.596,28.79,28.183,MEDIUM,5.0,Ferrari,2.0
LEC,16, 00:01:24.663,6.0,1.0,27.645,28.945,28.122,MEDIUM,6.0,Ferrari,2.0
LEC,16, 00:01:24.434,7.0,1.0,27.557,28.701,28.088,MEDIUM,7.0,Ferrari,2.0
LEC,16, 00:01:24.569,8.0,1.0,27.542,28.771,28.241,MEDIUM,8.0,Ferrari,2.0
LEC,16, 00:01:24.362,9.0,1.0,27.515,28.781,28.039,MEDIUM,9.0,Ferrari,2.0
LEC,16, 00:01:24.432,10.0,1.0,27.633,28.84,28.077,MEDIUM,10.0,Ferrari,2.0
LEC,16, 00:01:24.846,11.0,1.0,27.68,28.951,28.262,MEDIUM,11.0,Ferrari,2.0
LEC,16, 00:01:24.916,12.0,1.0,27.812,28.971,28.265,MEDIUM,12.0,Ferrari,2.0
LEC,16, 00:01:25.529,13.0,1.0,27.839,29.177,28.54,MEDIUM,13.0,Ferrari,2.0
LEC,16, 00:01:25.606,14.0,1.0,28.034,29.217,28.55,MEDIUM,14.0,Ferrari,2.0
LEC,16, 00:01:30.192,15.0,1.0,47.985,29.361,32.797,MEDIUM,15.0,Ferrari,3.0
LEC,16, 00:01:44.888,16.0,2.0,27.458,28.75,28.153,HARD,1.0,Ferrari,7.0
LEC,16, 00:01:24.270,17.0,2.0,27.408,28.73,28.082,HARD,2.0,Ferrari,6.0
LEC,16, 00:01:23.875,18.0,2.0,27.354,28.571,27.896,HARD,3.0,Ferrari,6.0
LEC,16, 00:01:24.203,19.0,2.0,27.483,28.722,28.127,HARD,4.0,Ferrari,6.0
LEC,16, 00:01:23.826,20.0,2.0,27.423,28.623,27.72,HARD,5.0,Ferrari,5.0
LEC,16, 00:01:23.880,21.0,2.0,27.358,28.725,27.732,HARD,6.0,Ferrari,5.0
LEC,16, 00:01:23.768,22.0,2.0,27.438,28.484,27.926,HARD,7.0,Ferrari,5.0
LEC,16, 00:01:23.864,23.0,2.0,27.347,28.501,27.925,HARD,8.0,Ferrari,3.0
LEC,16, 00:01:23.640,24.0,2.0,27.38,28.551,27.742,HARD,9.0,Ferrari,3.0
LEC,16, 00:01:23.590,25.0,2.0,27.356,28.445,27.765,HARD,10.0,Ferrari,3.0
LEC,16, 00:01:23.321,26.0,2.0,27.38,28.307,27.658,HARD,11.0,Ferrari,3.0
LEC,16, 00:01:23.534,27.0,2.0,27.337,28.412,27.742,HARD,12.0,Ferrari,3.0
LEC,16, 00:01:23.284,28.0,2.0,27.336,28.297,27.65,HARD,13.0,Ferrari,3.0
LEC,16, 00:01:23.229,29.0,2.0,27.361,28.301,27.592,HARD,14.0,Ferrari,3.0
LEC,16, 00:01:23.359,30.0,2.0,27.312,28.259,27.739,HARD,15.0,Ferrari,3.0
LEC,16, 00:01:23.972,31.0,2.0,27.246,28.74,27.92,HARD,16.0,Ferrari,3.0
LEC,16, 00:01:23.274,32.0,2.0,27.189,28.382,27.646,HARD,17.0,Ferrari,2.0
LEC,16, 00:01:23.226,33.0,2.0,27.324,28.364,27.673,HARD,18.0,Ferrari,2.0
LEC,16, 00:01:23.430,34.0,2.0,27.393,28.408,27.698,HARD,19.0,Ferrari,2.0
LEC,16, 00:01:23.681,35.0,2.0,27.31,28.512,27.776,HARD,20.0,Ferrari,2.0
LEC,16, 00:01:23.714,36.0,2.0,27.279,28.493,27.911,HARD,21.0,Ferrari,2.0
LEC,16, 00:01:23.550,37.0,2.0,27.372,28.457,27.814,HARD,22.0,Ferrari,2.0
LEC,16, 00:01:23.624,38.0,2.0,27.448,28.466,27.786,HARD,23.0,Ferrari,2.0
LEC,16, 00:01:23.718,39.0,2.0,27.399,28.564,27.706,HARD,24.0,Ferrari,1.0
LEC,16, 00:01:23.690,40.0,2.0,27.372,28.465,27.826,HARD,25.0,Ferrari,1.0
LEC,16, 00:01:23.611,41.0,2.0,27.424,28.44,27.799,HARD,26.0,Ferrari,1.0
LEC,16, 00:01:23.670,42.0,2.0,27.382,28.458,27.788,HARD,27.0,Ferrari,1.0
LEC,16, 00:01:23.867,43.0,2.0,27.386,28.558,27.927,HARD,28.0,Ferrari,1.0
LEC,16, 00:01:23.430,44.0,2.0,27.507,28.395,27.649,HARD,29.0,Ferrari,1.0
LEC,16, 00:01:23.731,45.0,2.0,27.539,28.427,27.797,HARD,30.0,Ferrari,1.0
LEC,16, 00:01:23.597,46.0,2.0,27.509,28.364,27.694,HARD,31.0,Ferrari,1.0
LEC,16, 00:01:23.676,47.0,2.0,27.502,28.426,27.741,HARD,32.0,Ferrari,1.0
LEC,16, 00:01:23.518,48.0,2.0,27.457,28.365,27.651,HARD,33.0,Ferrari,1.0
LEC,16, 00:01:23.467,49.0,2.0,27.425,28.319,27.691,HARD,34.0,Ferrari,1.0
LEC,16, 00:01:23.461,50.0,2.0,27.432,28.336,27.7,HARD,35.0,Ferrari,1.0
LEC,16, 00:01:23.555,51.0,2.0,27.432,28.386,27.737,HARD,36.0,Ferrari,1.0
LEC,16, 00:01:23.750,52.0,2.0,27.285,28.471,27.847,HARD,37.0,Ferrari,1.0
LEC,16, 00:01:23.268,53.0,2.0,27.751,28.302,27.681,HARD,38.0,Ferrari,1.0
PIA,81, 00:01:27.623,1.0,1.0,27.67,30.021,28.254,MEDIUM,1.0,McLaren,1.0
PIA,81, 00:01:25.116,2.0,1.0,27.672,29.311,28.054,MEDIUM,2.0,McLaren,1.0
PIA,81, 00:01:25.261,3.0,1.0,27.702,29.271,28.32,MEDIUM,3.0,McLaren,1.0
PIA,81, 00:01:24.695,4.0,1.0,27.799,28.825,28.198,MEDIUM,4.0,McLaren,1.0
PIA,81, 00:01:24.660,5.0,1.0,27.738,28.906,28.052,MEDIUM,5.0,McLaren,1.0
PIA,81, 00:01:24.603,6.0,1.0,27.665,28.807,27.997,MEDIUM,6.0,McLaren,1.0
PIA,81, 00:01:24.418,7.0,1.0,27.637,28.574,28.106,MEDIUM,7.0,McLaren,1.0
PIA,81, 00:01:24.570,8.0,1.0,27.687,28.777,28.128,MEDIUM,8.0,McLaren,1.0
PIA,81, 00:01:24.375,9.0,1.0,27.6,28.751,27.987,MEDIUM,9.0,McLaren,1.0
PIA,81, 00:01:24.077,10.0,1.0,27.848,28.554,27.836,MEDIUM,10.0,McLaren,1.0
PIA,81, 00:01:24.247,11.0,1.0,27.747,28.726,27.921,MEDIUM,11.0,McLaren,1.0
PIA,81, 00:01:24.748,12.0,1.0,27.812,28.86,28.04,MEDIUM,12.0,McLaren,1.0
PIA,81, 00:01:24.670,13.0,1.0,27.84,28.831,28.092,MEDIUM,13.0,McLaren,1.0
PIA,81, 00:01:25.048,14.0,1.0,27.891,29.03,28.206,MEDIUM,14.0,McLaren,1.0
PIA,81, 00:01:25.166,15.0,1.0,46.989,29.099,28.227,MEDIUM,15.0,McLaren,1.0
PIA,81, 00:01:29.939,16.0,1.0,27.464,29.279,32.769,MEDIUM,16.0,McLaren,1.0
PIA,81, 00:01:44.250,17.0,2.0,27.593,29.31,27.951,HARD,1.0,McLaren,4.0
PIA,81, 00:01:24.028,18.0,2.0,27.418,28.817,27.747,HARD,2.0,McLaren,4.0
PIA,81, 00:01:24.602,19.0,2.0,27.438,28.979,28.03,HARD,3.0,McLaren,4.0
PIA,81, 00:01:23.986,20.0,2.0,27.447,28.823,27.745,HARD,4.0,McLaren,3.0
PIA,81, 00:01:23.903,21.0,2.0,27.398,28.73,27.735,HARD,5.0,McLaren,3.0
PIA,81, 00:01:23.647,22.0,2.0,27.339,28.518,27.682,HARD,6.0,McLaren,3.0
PIA,81, 00:01:23.660,23.0,2.0,27.46,28.459,27.803,HARD,7.0,McLaren,1.0
PIA,81, 00:01:23.315,24.0,2.0,27.441,28.287,27.689,HARD,8.0,McLaren,1.0
PIA,81, 00:01:23.230,25.0,2.0,27.455,28.338,27.432,HARD,9.0,McLaren,1.0
PIA,81, 00:01:23.133,26.0,2.0,27.391,28.228,27.464,HARD,10.0,McLaren,1.0
PIA,81, 00:01:23.088,27.0,2.0,27.465,28.212,27.421,HARD,11.0,McLaren,1.0
PIA,81, 00:01:23.168,28.0,2.0,27.449,28.206,27.571,HARD,12.0,McLaren,1.0
PIA,81, 00:01:23.066,29.0,2.0,27.435,28.196,27.405,HARD,13.0,McLaren,1.0
