Id;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
0;VER;1; 00:01:55.490;1.0;1.0;39.449;44.61;25.791;MEDIUM;1.0;Red Bull Racing;5.0
1;VER;1; 00:01:49.632;2.0;1.0;39.118;44.481;25.702;MEDIUM;2.0;Red Bull Racing;5.0
2;VER;1; 00:01:49.130;3.0;1.0;39.046;44.415;25.597;MEDIUM;3.0;Red Bull Racing;5.0
3;VER;1; 00:01:49.608;4.0;1.0;39.312;44.387;26.175;MEDIUM;4.0;Red Bull Racing;5.0
4;VER;1; 00:01:49.245;5.0;1.0;38.883;44.211;25.722;MEDIUM;5.0;Red Bull Racing;5.0
5;VER;1; 00:01:48.795;6.0;1.0;38.936;44.254;25.658;MEDIUM;6.0;Red Bull Racing;5.0
6;VER;1; 00:01:48.797;7.0;1.0;38.88;44.131;25.73;MEDIUM;7.0;Red Bull Racing;5.0
7;VER;1; 00:01:48.643;8.0;1.0;38.68;44.103;25.66;MEDIUM;8.0;Red Bull Racing;5.0
8;VER;1; 00:01:48.448;9.0;1.0;38.989;44.085;25.683;MEDIUM;9.0;Red Bull Racing;5.0
9;VER;1; 00:01:49.448;10.0;1.0;39.235;44.635;25.824;MEDIUM;10.0;Red Bull Racing;5.0
10;VER;1; 00:01:49.645;11.0;1.0;39.506;44.447;25.963;MEDIUM;11.0;Red Bull Racing;5.0
11;VER;1; 00:01:54.511;12.0;1.0;56.262;45.125;29.88;MEDIUM;12.0;Red Bull Racing;5.0
12;VER;1; 00:02:06.486;13.0;2.0;38.439;44.841;25.383;HARD;1.0;Red Bull Racing;9.0
13;VER;1; 00:01:48.269;14.0;2.0;38.535;44.264;25.566;HARD;2.0;Red Bull Racing;8.0
14;VER;1; 00:01:47.812;15.0;2.0;38.592;43.701;25.576;HARD;3.0;Red Bull Racing;7.0
15;VER;1; 00:01:48.132;16.0;2.0;38.533;43.793;25.747;HARD;4.0;Red Bull Racing;7.0
16;VER;1; 00:01:47.718;17.0;2.0;38.92;43.611;25.574;HARD;5.0;Red Bull Racing;7.0
17;VER;1; 00:01:48.461;18.0;2.0;38.71;43.974;25.567;HARD;6.0;Red Bull Racing;7.0
18;VER;1; 00:01:47.890;19.0;2.0;38.65;43.742;25.438;HARD;7.0;Red Bull Racing;7.0
19;VER;1; 00:01:47.890;20.0;2.0;38.58;44.008;25.232;HARD;8.0;Red Bull Racing;7.0
20;VER;1; 00:01:47.903;21.0;2.0;39.023;44.121;25.202;HARD;9.0;Red Bull Racing;7.0
21;VER;1; 00:01:48.679;22.0;2.0;39.175;44.433;25.223;HARD;10.0;Red Bull Racing;7.0
22;VER;1; 00:01:48.908;23.0;2.0;40.346;44.61;25.123;HARD;11.0;Red Bull Racing;7.0
23;VER;1; 00:01:50.602;24.0;2.0;38.932;44.783;25.473;HARD;12.0;Red Bull Racing;7.0
24;VER;1; 00:01:48.356;25.0;2.0;39.163;44.318;25.106;HARD;13.0;Red Bull Racing;7.0
25;VER;1; 00:01:49.021;26.0;2.0;39.332;44.733;25.125;HARD;14.0;Red Bull Racing;7.0
26;VER;1; 00:01:49.092;27.0;2.0;39.336;44.582;25.178;HARD;15.0;Red Bull Racing;7.0
27;VER;1; 00:01:49.185;28.0;2.0;39.482;44.522;25.327;HARD;16.0;Red Bull Racing;7.0
28;VER;1; 00:01:49.216;29.0;2.0;39.138;44.549;25.185;HARD;17.0;Red Bull Racing;7.0
29;VER;1; 00:01:48.994;30.0;2.0;39.206;44.589;25.267;HARD;18.0;Red Bull Racing;7.0
30;VER;1; 00:01:48.846;31.0;2.0;38.791;44.402;25.238;HARD;19.0;Red Bull Racing;6.0
31;VER;1; 00:01:48.392;32.0;2.0;38.764;44.051;25.55;HARD;20.0;Red Bull Racing;6.0
32;VER;1; 00:01:48.299;33.0;2.0;39.47;43.976;25.559;HARD;21.0;Red Bull Racing;6.0
33;VER;1; 00:01:49.244;34.0;2.0;38.642;44.23;25.544;HARD;22.0;Red Bull Racing;7.0
34;VER;1; 00:01:47.996;35.0;2.0;38.472;43.702;25.652;HARD;23.0;Red Bull Racing;7.0
35;VER;1; 00:01:47.718;36.0;2.0;38.487;43.773;25.473;HARD;24.0;Red Bull Racing;7.0
36;VER;1; 00:01:47.403;37.0;2.0;38.442;43.485;25.431;HARD;25.0;Red Bull Racing;7.0
37;VER;1; 00:01:47.282;38.0;2.0;38.343;43.436;25.404;HARD;26.0;Red Bull Racing;6.0
38;VER;1; 00:01:47.340;39.0;2.0;38.192;43.549;25.448;HARD;27.0;Red Bull Racing;6.0
39;VER;1; 00:01:47.136;40.0;2.0;38.476;43.437;25.507;HARD;28.0;Red Bull Racing;6.0
40;VER;1; 00:01:47.525;41.0;2.0;38.142;43.592;25.457;HARD;29.0;Red Bull Racing;6.0
41;VER;1; 00:01:46.798;42.0;2.0;38.239;43.271;25.385;HARD;30.0;Red Bull Racing;6.0
42;VER;1; 00:01:47.147;43.0;2.0;38.154;43.313;25.595;HARD;31.0;Red Bull Racing;6.0
43;VER;1; 00:01:47.149;44.0;2.0;38.208;43.326;25.669;HARD;32.0;Red Bull Racing;6.0
44;VER;1; 00:01:47.184;45.0;2.0;38.041;43.484;25.492;HARD;33.0;Red Bull Racing;6.0
45;VER;1; 00:01:47.135;46.0;2.0;38.226;43.596;25.498;HARD;34.0;Red Bull Racing;6.0
46;VER;1; 00:01:47.721;47.0;2.0;38.378;43.853;25.642;HARD;35.0;Red Bull Racing;6.0
47;VER;1; 00:01:47.749;48.0;2.0;38.91;43.748;25.623;HARD;36.0;Red Bull Racing;6.0
48;VER;1; 00:01:52.022;49.0;2.0;63.63;43.752;29.36;HARD;37.0;Red Bull Racing;7.0
49;VER;1; 00:02:04.448;50.0;3.0;56.09;56.483;37.564;SOFT;4.0;Red Bull Racing;5.0
50;VER;1; 00:01:52.861;51.0;3.0;42.078;58.058;39.188;SOFT;5.0;Red Bull Racing;5.0
51;GAS;10; 00:01:51.565;1.0;1.0;40.547;48.618;25.248;HARD;1.0;Alpine;15.0
52;GAS;10; 00:01:49.849;2.0;1.0;39.792;45.563;25.22;HARD;2.0;Alpine;15.0
53;GAS;10; 00:01:50.116;3.0;1.0;39.781;45.762;25.256;HARD;3.0;Alpine;15.0
54;GAS;10; 00:01:50.071;4.0;1.0;39.798;44.566;25.491;HARD;4.0;Alpine;14.0
55;GAS;10; 00:01:49.908;5.0;1.0;39.621;44.805;25.53;HARD;5.0;Alpine;14.0
56;GAS;10; 00:01:49.707;6.0;1.0;39.608;44.674;25.599;HARD;6.0;Alpine;14.0
57;GAS;10; 00:01:49.776;7.0;1.0;39.443;44.6;25.687;HARD;7.0;Alpine;14.0
58;GAS;10; 00:01:49.479;8.0;1.0;39.323;44.464;25.635;HARD;8.0;Alpine;14.0
59;GAS;10; 00:01:50.305;9.0;1.0;39.684;44.763;25.57;HARD;9.0;Alpine;14.0
60;GAS;10; 00:01:50.207;10.0;1.0;39.574;44.553;25.603;HARD;10.0;Alpine;14.0
61;GAS;10; 00:01:50.586;11.0;1.0;40.3;44.951;25.67;HARD;11.0;Alpine;13.0
62;GAS;10; 00:01:50.560;12.0;1.0;39.892;44.756;25.877;HARD;12.0;Alpine;12.0
63;GAS;10; 00:01:51.674;13.0;1.0;40.893;44.86;25.426;HARD;13.0;Alpine;11.0
64;GAS;10; 00:01:50.412;14.0;1.0;39.54;45.288;25.38;HARD;14.0;Alpine;9.0
65;GAS;10; 00:01:50.314;15.0;1.0;39.888;44.805;25.976;HARD;15.0;Alpine;10.0
66;GAS;10; 00:01:49.879;16.0;1.0;39.565;44.961;25.911;HARD;16.0;Alpine;10.0
67;GAS;10; 00:01:49.647;17.0;1.0;39.423;44.795;25.631;HARD;17.0;Alpine;10.0
68;GAS;10; 00:01:50.731;18.0;1.0;40.046;44.545;25.769;HARD;18.0;Alpine;10.0
69;GAS;10; 00:01:50.090;19.0;1.0;39.382;44.521;25.703;HARD;19.0;Alpine;11.0
70;GAS;10; 00:01:50.329;20.0;1.0;39.557;44.909;25.776;HARD;20.0;Alpine;11.0
71;GAS;10; 00:01:49.639;21.0;1.0;39.232;44.905;25.803;HARD;21.0;Alpine;11.0
72;GAS;10; 00:01:49.699;22.0;1.0;39.514;44.98;25.792;HARD;22.0;Alpine;11.0
73;GAS;10; 00:01:49.690;23.0;1.0;39.27;44.687;25.72;HARD;23.0;Alpine;11.0
74;GAS;10; 00:01:50.054;24.0;1.0;39.86;44.314;25.871;HARD;24.0;Alpine;11.0
75;GAS;10; 00:01:49.311;25.0;1.0;39.225;44.433;25.987;HARD;25.0;Alpine;12.0
76;GAS;10; 00:01:49.294;26.0;1.0;39.072;44.554;25.64;HARD;26.0;Alpine;12.0
77;GAS;10; 00:01:48.980;27.0;1.0;39.009;44.366;25.72;HARD;27.0;Alpine;12.0
78;GAS;10; 00:01:51.275;28.0;1.0;40.616;44.404;25.818;HARD;28.0;Alpine;12.0
79;GAS;10; 00:01:49.319;29.0;1.0;39.211;44.367;25.604;HARD;29.0;Alpine;12.0
80;GAS;10; 00:01:49.223;30.0;1.0;39.053;44.758;25.901;HARD;30.0;Alpine;14.0
81;GAS;10; 00:01:48.774;31.0;1.0;38.777;44.399;25.709;HARD;31.0;Alpine;14.0
82;GAS;10; 00:01:48.737;32.0;1.0;38.922;44.567;25.603;HARD;32.0;Alpine;14.0
