Id;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
0;NOR;4; 00:01:40.424;1.0;1.0;29.268;41.379;27.852;MEDIUM;1.0;McLaren;1.0
1;NOR;4; 00:01:38.480;2.0;1.0;29.354;41.412;27.8;MEDIUM;2.0;McLaren;1.0
2;NOR;4; 00:01:38.406;3.0;1.0;29.399;41.262;27.79;MEDIUM;3.0;McLaren;1.0
3;NOR;4; 00:01:38.446;4.0;1.0;29.034;41.305;27.742;MEDIUM;4.0;McLaren;1.0
4;NOR;4; 00:01:37.938;5.0;1.0;29.15;41.159;27.745;MEDIUM;5.0;McLaren;1.0
5;NOR;4; 00:01:37.843;6.0;1.0;29.048;41.224;27.469;MEDIUM;6.0;McLaren;1.0
6;NOR;4; 00:01:37.621;7.0;1.0;28.919;41.128;27.445;MEDIUM;7.0;McLaren;1.0
7;NOR;4; 00:01:37.082;8.0;1.0;28.781;40.798;27.365;MEDIUM;8.0;McLaren;1.0
8;NOR;4; 00:01:36.715;9.0;1.0;28.727;40.658;27.276;MEDIUM;9.0;McLaren;1.0
9;NOR;4; 00:01:36.830;10.0;1.0;28.697;40.859;27.244;MEDIUM;10.0;McLaren;1.0
10;NOR;4; 00:01:36.651;11.0;1.0;28.62;40.842;27.112;MEDIUM;11.0;McLaren;1.0
11;NOR;4; 00:01:36.495;12.0;1.0;28.639;40.879;26.996;MEDIUM;12.0;McLaren;1.0
12;NOR;4; 00:01:36.670;13.0;1.0;28.803;40.727;27.304;MEDIUM;13.0;McLaren;1.0
13;NOR;4; 00:01:36.832;14.0;1.0;28.747;40.825;27.204;MEDIUM;14.0;McLaren;1.0
14;NOR;4; 00:01:36.758;15.0;1.0;28.723;40.861;27.15;MEDIUM;15.0;McLaren;1.0
15;NOR;4; 00:01:36.624;16.0;1.0;28.765;40.93;26.971;MEDIUM;16.0;McLaren;1.0
16;NOR;4; 00:01:37.008;17.0;1.0;28.859;40.959;27.284;MEDIUM;17.0;McLaren;1.0
17;NOR;4; 00:01:37.068;18.0;1.0;28.814;41.085;27.124;MEDIUM;18.0;McLaren;1.0
18;NOR;4; 00:01:37.282;19.0;1.0;28.735;41.2;27.268;MEDIUM;19.0;McLaren;1.0
19;NOR;4; 00:01:36.887;20.0;1.0;28.918;41.172;26.98;MEDIUM;20.0;McLaren;1.0
20;NOR;4; 00:01:37.198;21.0;1.0;28.812;41.088;27.192;MEDIUM;21.0;McLaren;1.0
21;NOR;4; 00:01:37.115;22.0;1.0;28.855;41.272;27.031;MEDIUM;22.0;McLaren;1.0
22;NOR;4; 00:01:37.212;23.0;1.0;28.974;41.138;27.219;MEDIUM;23.0;McLaren;1.0
23;NOR;4; 00:01:37.527;24.0;1.0;28.797;41.386;27.167;MEDIUM;24.0;McLaren;1.0
24;NOR;4; 00:01:37.404;25.0;1.0;28.828;41.373;27.234;MEDIUM;25.0;McLaren;1.0
25;NOR;4; 00:01:37.260;26.0;1.0;28.941;41.187;27.245;MEDIUM;26.0;McLaren;1.0
26;NOR;4; 00:01:37.603;27.0;1.0;28.917;41.425;27.237;MEDIUM;27.0;McLaren;1.0
27;NOR;4; 00:01:37.528;28.0;1.0;28.963;41.385;27.226;MEDIUM;28.0;McLaren;1.0
28;NOR;4; 00:01:41.878;29.0;1.0;29.259;41.543;31.372;MEDIUM;29.0;McLaren;1.0
29;NOR;4; 00:01:47.073;30.0;1.0;49.556;41.876;35.938;MEDIUM;30.0;McLaren;1.0
30;NOR;4; 00:01:58.408;31.0;2.0;28.851;41.249;27.603;HARD;1.0;McLaren;1.0
31;NOR;4; 00:01:37.034;32.0;2.0;28.703;40.761;27.422;HARD;2.0;McLaren;1.0
32;NOR;4; 00:01:36.684;33.0;2.0;28.639;40.783;27.198;HARD;3.0;McLaren;1.0
33;NOR;4; 00:01:36.714;34.0;2.0;28.57;40.807;27.268;HARD;4.0;McLaren;1.0
34;NOR;4; 00:01:36.524;35.0;2.0;28.596;40.706;27.248;HARD;5.0;McLaren;1.0
35;NOR;4; 00:01:36.216;36.0;2.0;28.512;40.535;27.085;HARD;6.0;McLaren;1.0
36;NOR;4; 00:01:36.435;37.0;2.0;28.596;40.644;27.279;HARD;7.0;McLaren;1.0
37;NOR;4; 00:01:36.710;38.0;2.0;28.744;40.814;27.3;HARD;8.0;McLaren;1.0
38;NOR;4; 00:01:37.325;39.0;2.0;28.722;41.192;27.389;HARD;9.0;McLaren;1.0
39;NOR;4; 00:01:37.194;40.0;2.0;28.598;41.038;27.434;HARD;10.0;McLaren;1.0
40;NOR;4; 00:01:36.570;41.0;2.0;28.56;40.84;27.132;HARD;11.0;McLaren;1.0
