Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
VER,1, 00:01:41.657,1.0,1.0,26.845,40.291,33.295,MEDIUM,1.0,Red Bull Racing,2.0
VER,1, 00:01:39.991,2.0,1.0,26.98,39.996,33.15,MEDIUM,2.0,Red Bull Racing,2.0
VER,1, 00:02:02.849,3.0,1.0,40.222,46.144,49.725,MEDIUM,3.0,Red Bull Racing,2.0
VER,1, 00:02:15.849,4.0,1.0,40.279,58.115,53.159,MEDIUM,4.0,Red Bull Racing,2.0
VER,1, 00:02:20.849,5.0,1.0,27.069,61.864,65.48,MEDIUM,5.0,Red Bull Racing,2.0
VER,1, 00:01:39.779,6.0,1.0,26.838,39.822,32.888,MEDIUM,6.0,Red Bull Racing,2.0
VER,1, 00:01:39.731,7.0,1.0,26.809,39.793,33.1,MEDIUM,7.0,Red Bull Racing,2.0
VER,1, 00:01:40.082,8.0,1.0,26.901,39.973,33.3,MEDIUM,8.0,Red Bull Racing,2.0
VER,1, 00:01:40.032,9.0,1.0,26.919,39.932,33.199,MEDIUM,9.0,Red Bull Racing,2.0
VER,1, 00:01:39.970,10.0,1.0,26.971,39.916,33.135,MEDIUM,10.0,Red Bull Racing,2.0
VER,1, 00:01:40.246,11.0,1.0,26.876,40.034,33.241,MEDIUM,11.0,Red Bull Racing,2.0
VER,1, 00:01:40.182,12.0,1.0,26.778,40.067,33.239,MEDIUM,12.0,Red Bull Racing,2.0
VER,1, 00:01:39.936,13.0,1.0,26.852,39.941,33.217,MEDIUM,13.0,Red Bull Racing,2.0
VER,1, 00:01:39.846,14.0,1.0,26.866,40.132,32.862,MEDIUM,14.0,Red Bull Racing,2.0
VER,1, 00:01:40.192,15.0,1.0,26.828,40.207,33.119,MEDIUM,15.0,Red Bull Racing,2.0
VER,1, 00:01:40.033,16.0,1.0,26.898,40.121,33.084,MEDIUM,16.0,Red Bull Racing,2.0
VER,1, 00:01:40.160,17.0,1.0,26.852,40.213,33.049,MEDIUM,17.0,Red Bull Racing,2.0
VER,1, 00:01:39.921,18.0,1.0,26.887,40.158,32.911,MEDIUM,18.0,Red Bull Racing,2.0
VER,1, 00:01:39.981,19.0,1.0,26.727,40.169,32.925,MEDIUM,19.0,Red Bull Racing,2.0
VER,1, 00:01:39.986,20.0,1.0,26.783,40.105,33.154,MEDIUM,20.0,Red Bull Racing,2.0
VER,1, 00:01:39.803,21.0,1.0,26.679,39.936,33.084,MEDIUM,21.0,Red Bull Racing,2.0
VER,1, 00:01:40.099,22.0,1.0,26.817,40.16,33.26,MEDIUM,22.0,Red Bull Racing,2.0
