Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
VER,1, 00:01:41.528,1.0,1.0,26.651,29.65,43.295,MEDIUM,1.0,Red Bull Racing,1.0
VER,1, 00:01:40.103,2.0,1.0,26.651,30.091,43.361,MEDIUM,2.0,Red Bull Racing,1.0
VER,1, 00:01:40.494,3.0,1.0,27.011,30.19,43.293,MEDIUM,3.0,Red Bull Racing,1.0
VER,1, 00:01:40.573,4.0,1.0,26.923,30.187,43.463,MEDIUM,4.0,Red Bull Racing,1.0
VER,1, 00:01:40.919,5.0,1.0,27.106,30.299,43.514,MEDIUM,5.0,Red Bull Racing,1.0
VER,1, 00:01:41.147,6.0,1.0,27.114,30.431,43.602,MEDIUM,6.0,Red Bull Racing,1.0
VER,1, 00:01:41.118,7.0,1.0,27.164,30.362,43.592,MEDIUM,7.0,Red Bull Racing,1.0
VER,1, 00:01:41.110,8.0,1.0,27.129,30.395,43.586,MEDIUM,8.0,Red Bull Racing,1.0
VER,1, 00:01:41.155,9.0,1.0,27.111,30.392,43.652,MEDIUM,9.0,Red Bull Racing,1.0
VER,1, 00:01:41.424,10.0,1.0,27.172,30.519,43.733,MEDIUM,10.0,Red Bull Racing,1.0
VER,1, 00:01:41.401,11.0,1.0,27.17,30.646,43.585,MEDIUM,11.0,Red Bull Racing,1.0
VER,1, 00:01:41.318,12.0,1.0,27.121,30.558,43.639,MEDIUM,12.0,Red Bull Racing,1.0
VER,1, 00:01:46.526,13.0,1.0,27.05,30.576,48.9,MEDIUM,13.0,Red Bull Racing,1.0
VER,1, 00:01:59.074,14.0,2.0,45.631,30.099,43.344,HARD,1.0,Red Bull Racing,3.0
VER,1, 00:01:39.591,15.0,2.0,26.64,29.773,43.178,HARD,2.0,Red Bull Racing,3.0
VER,1, 00:01:39.985,16.0,2.0,26.616,30.137,43.232,HARD,3.0,Red Bull Racing,2.0
VER,1, 00:01:39.519,17.0,2.0,26.503,29.874,43.142,HARD,4.0,Red Bull Racing,2.0
VER,1, 00:01:40.070,18.0,2.0,26.781,30.075,43.214,HARD,5.0,Red Bull Racing,2.0
VER,1, 00:01:40.139,19.0,2.0,26.72,30.245,43.174,HARD,6.0,Red Bull Racing,1.0
VER,1, 00:01:40.081,20.0,2.0,26.759,29.937,43.385,HARD,7.0,Red Bull Racing,1.0
