Id;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
0;SAI;55; 00:01:47.224;1.0;1.0;29.087;41.495;33.841;MEDIUM;1.0;Ferrari;4.0
1;SAI;55; 00:02:17.937;2.0;1.0;61.514;46.266;30.157;MEDIUM;2.0;Ferrari;2.0
2;SAI;55; 00:02:13.771;3.0;1.0;56.743;47.358;29.67;MEDIUM;3.0;Ferrari;2.0
3;SAI;55; 00:02:10.043;4.0;1.0;52.782;46.662;30.599;MEDIUM;4.0;Ferrari;2.0
4;SAI;55; 00:02:09.925;5.0;1.0;53.462;46.644;29.819;MEDIUM;5.0;Ferrari;2.0
5;SAI;55; 00:02:03.834;6.0;1.0;39.596;45.875;38.363;MEDIUM;6.0;Ferrari;2.0
6;SAI;55; 00:01:21.830;7.0;1.0;29.087;32.01;20.733;MEDIUM;7.0;Ferrari;2.0
7;SAI;55; 00:01:21.284;8.0;1.0;28.895;31.701;20.688;MEDIUM;8.0;Ferrari;2.0
8;SAI;55; 00:01:22.493;9.0;1.0;29.146;31.928;21.419;MEDIUM;9.0;Ferrari;1.0
9;SAI;55; 00:01:22.438;10.0;1.0;29.324;32.102;21.012;MEDIUM;10.0;Ferrari;1.0
10;SAI;55; 00:01:21.847;11.0;1.0;28.985;31.92;20.942;MEDIUM;11.0;Ferrari;1.0
11;SAI;55; 00:01:21.515;12.0;1.0;28.823;31.839;20.853;MEDIUM;12.0;Ferrari;1.0
12;SAI;55; 00:01:21.715;13.0;1.0;28.874;31.883;20.958;MEDIUM;13.0;Ferrari;1.0
13;SAI;55; 00:01:21.475;14.0;1.0;28.768;31.854;20.853;MEDIUM;14.0;Ferrari;1.0
14;SAI;55; 00:01:21.516;15.0;1.0;28.727;31.823;20.966;MEDIUM;15.0;Ferrari;1.0
15;SAI;55; 00:01:21.590;16.0;1.0;28.701;31.876;21.013;MEDIUM;16.0;Ferrari;1.0
16;SAI;55; 00:01:22.012;17.0;1.0;28.9;31.961;21.151;MEDIUM;17.0;Ferrari;1.0
17;SAI;55; 00:01:21.765;18.0;1.0;28.807;31.934;21.024;MEDIUM;18.0;Ferrari;1.0
18;SAI;55; 00:01:21.715;19.0;1.0;28.811;31.924;20.98;MEDIUM;19.0;Ferrari;1.0
19;SAI;55; 00:01:21.789;20.0;1.0;28.957;31.824;21.008;MEDIUM;20.0;Ferrari;1.0
20;SAI;55; 00:01:21.413;21.0;1.0;28.682;31.785;20.946;MEDIUM;21.0;Ferrari;1.0
21;SAI;55; 00:01:21.682;22.0;1.0;28.654;31.924;21.104;MEDIUM;22.0;Ferrari;1.0
22;SAI;55; 00:01:21.516;23.0;1.0;28.655;31.857;21.004;MEDIUM;23.0;Ferrari;1.0
23;SAI;55; 00:01:21.428;24.0;1.0;28.561;31.905;20.962;MEDIUM;24.0;Ferrari;1.0
24;SAI;55; 00:01:21.659;25.0;1.0;28.859;31.886;20.914;MEDIUM;25.0;Ferrari;1.0
25;SAI;55; 00:01:21.596;26.0;1.0;28.674;31.979;20.943;MEDIUM;26.0;Ferrari;1.0
26;SAI;55; 00:01:21.827;27.0;1.0;28.75;31.966;21.111;MEDIUM;27.0;Ferrari;1.0
27;SAI;55; 00:01:22.008;28.0;1.0;28.762;32.162;21.084;MEDIUM;28.0;Ferrari;1.0
28;SAI;55; 00:01:21.869;29.0;1.0;28.854;31.904;21.111;MEDIUM;29.0;Ferrari;1.0
29;SAI;55; 00:01:21.837;30.0;1.0;28.663;31.957;21.217;MEDIUM;30.0;Ferrari;1.0
