Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
VER,1, 00:01:39.161,1.0,1.0,21.981,49.176,18.794,INTERMEDIATE,1.0,Red Bull Racing,12.0
VER,1, 00:01:27.134,2.0,1.0,21.981,46.412,18.741,INTERMEDIATE,2.0,Red Bull Racing,10.0
VER,1, 00:01:26.240,3.0,1.0,21.716,45.98,18.544,INTERMEDIATE,3.0,Red Bull Racing,10.0
VER,1, 00:01:26.702,4.0,1.0,22.151,46.15,18.401,INTERMEDIATE,4.0,Red Bull Racing,10.0
VER,1, 00:01:25.394,5.0,1.0,21.773,45.18,18.441,INTERMEDIATE,5.0,Red Bull Racing,9.0
VER,1, 00:01:24.311,6.0,1.0,21.513,44.507,18.291,INTERMEDIATE,6.0,Red Bull Racing,8.0
VER,1, 00:01:24.342,7.0,1.0,21.324,44.661,18.357,INTERMEDIATE,7.0,Red Bull Racing,8.0
VER,1, 00:01:24.657,8.0,1.0,21.307,44.926,18.424,INTERMEDIATE,8.0,Red Bull Racing,8.0
VER,1, 00:01:24.778,9.0,1.0,21.402,45.08,18.296,INTERMEDIATE,9.0,Red Bull Racing,8.0
VER,1, 00:01:24.015,10.0,1.0,21.208,44.455,18.352,INTERMEDIATE,10.0,Red Bull Racing,7.0
VER,1, 00:01:24.156,11.0,1.0,21.31,44.612,18.234,INTERMEDIATE,11.0,Red Bull Racing,6.0
VER,1, 00:01:23.430,12.0,1.0,21.074,44.159,18.197,INTERMEDIATE,12.0,Red Bull Racing,6.0
VER,1, 00:01:24.512,13.0,1.0,21.427,44.654,18.431,INTERMEDIATE,13.0,Red Bull Racing,6.0
VER,1, 00:01:24.791,14.0,1.0,21.468,45.052,18.271,INTERMEDIATE,14.0,Red Bull Racing,6.0
VER,1, 00:01:24.669,15.0,1.0,21.62,44.775,18.274,INTERMEDIATE,15.0,Red Bull Racing,6.0
VER,1, 00:01:25.131,16.0,1.0,21.616,45.371,18.144,INTERMEDIATE,16.0,Red Bull Racing,6.0
VER,1, 00:01:24.328,17.0,1.0,21.517,44.642,18.169,INTERMEDIATE,17.0,Red Bull Racing,6.0
VER,1, 00:01:24.248,18.0,1.0,21.508,44.62,18.12,INTERMEDIATE,18.0,Red Bull Racing,6.0
VER,1, 00:01:24.493,19.0,1.0,21.571,44.905,18.017,INTERMEDIATE,19.0,Red Bull Racing,6.0
VER,1, 00:01:23.915,20.0,1.0,21.355,44.416,18.144,INTERMEDIATE,20.0,Red Bull Racing,6.0
VER,1, 00:01:24.269,21.0,1.0,22.164,44.189,17.916,INTERMEDIATE,21.0,Red Bull Racing,6.0
VER,1, 00:01:25.055,22.0,1.0,21.988,44.995,18.072,INTERMEDIATE,22.0,Red Bull Racing,6.0
VER,1, 00:01:24.267,23.0,1.0,21.588,44.576,18.103,INTERMEDIATE,23.0,Red Bull Racing,6.0
VER,1, 00:01:24.530,24.0,1.0,21.417,44.885,18.228,INTERMEDIATE,24.0,Red Bull Racing,5.0
VER,1, 00:01:24.156,25.0,1.0,21.308,44.707,18.141,INTERMEDIATE,25.0,Red Bull Racing,5.0
VER,1, 00:01:25.252,26.0,1.0,21.485,45.403,18.364,INTERMEDIATE,26.0,Red Bull Racing,5.0
VER,1, 00:01:28.393,27.0,1.0,21.572,46.974,19.847,INTERMEDIATE,27.0,Red Bull Racing,5.0
VER,1, 00:01:51.717,28.0,1.0,32.74,55.199,23.778,INTERMEDIATE,28.0,Red Bull Racing,4.0
VER,1, 00:01:45.014,29.0,1.0,25.007,55.169,24.838,INTERMEDIATE,29.0,Red Bull Racing,2.0
VER,1, 00:01:59.319,30.0,1.0,30.773,60.949,27.597,INTERMEDIATE,30.0,Red Bull Racing,2.0
VER,1, 00:02:04.967,31.0,1.0,33.013,60.259,31.695,INTERMEDIATE,31.0,Red Bull Racing,2.0
VER,1, 00:01:30.360,32.0,1.0,35.92,71.429,51.28,INTERMEDIATE,32.0,Red Bull Racing,2.0
VER,1, 00:01:30.360,33.0,2.0,23.365,75.809,46.384,INTERMEDIATE,1.0,Red Bull Racing,2.0
VER,1, 00:01:30.360,34.0,2.0,23.365,47.904,19.091,INTERMEDIATE,2.0,Red Bull Racing,2.0
VER,1, 00:01:28.006,35.0,2.0,22.827,46.427,18.752,INTERMEDIATE,3.0,Red Bull Racing,2.0
VER,1, 00:01:26.509,36.0,2.0,22.475,45.461,18.573,INTERMEDIATE,4.0,Red Bull Racing,2.0
VER,1, 00:01:25.286,37.0,2.0,22.068,44.748,18.47,INTERMEDIATE,5.0,Red Bull Racing,2.0
VER,1, 00:01:24.391,38.0,2.0,21.503,44.573,18.315,INTERMEDIATE,6.0,Red Bull Racing,2.0
VER,1, 00:01:25.296,39.0,2.0,21.426,44.323,19.547,INTERMEDIATE,7.0,Red Bull Racing,2.0
VER,1, 00:02:09.449,40.0,2.0,30.615,69.546,29.288,INTERMEDIATE,8.0,Red Bull Racing,2.0
VER,1, 00:02:05.095,41.0,2.0,31.726,66.797,26.572,INTERMEDIATE,9.0,Red Bull Racing,2.0
VER,1, 00:02:22.964,42.0,2.0,31.912,69.936,41.116,INTERMEDIATE,10.0,Red Bull Racing,2.0
VER,1, 00:01:25.676,43.0,2.0,22.237,44.92,18.519,INTERMEDIATE,11.0,Red Bull Racing,1.0
VER,1, 00:01:23.884,44.0,2.0,21.425,44.136,18.323,INTERMEDIATE,12.0,Red Bull Racing,1.0
VER,1, 00:01:22.876,45.0,2.0,21.17,43.651,18.055,INTERMEDIATE,13.0,Red Bull Racing,1.0
VER,1, 00:01:23.106,46.0,2.0,21.262,43.735,18.109,INTERMEDIATE,14.0,Red Bull Racing,1.0
VER,1, 00:01:22.453,47.0,2.0,21.046,43.387,18.02,INTERMEDIATE,15.0,Red Bull Racing,1.0
VER,1, 00:01:22.290,48.0,2.0,21.139,43.289,17.862,INTERMEDIATE,16.0,Red Bull Racing,1.0
VER,1, 00:01:22.241,49.0,2.0,20.998,43.309,17.934,INTERMEDIATE,17.0,Red Bull Racing,1.0
VER,1, 00:01:22.043,50.0,2.0,20.941,43.106,17.996,INTERMEDIATE,18.0,Red Bull Racing,1.0
VER,1, 00:01:22.306,51.0,2.0,20.991,43.343,17.972,INTERMEDIATE,19.0,Red Bull Racing,1.0
VER,1, 00:01:22.380,52.0,2.0,20.95,43.261,18.169,INTERMEDIATE,20.0,Red Bull Racing,1.0
VER,1, 00:01:22.251,53.0,2.0,20.854,43.376,18.021,INTERMEDIATE,21.0,Red Bull Racing,1.0
VER,1, 00:01:22.246,54.0,2.0,20.969,43.17,18.107,INTERMEDIATE,22.0,Red Bull Racing,1.0
VER,1, 00:01:22.291,55.0,2.0,20.875,43.342,18.074,INTERMEDIATE,23.0,Red Bull Racing,1.0
VER,1, 00:01:22.005,56.0,2.0,20.893,43.067,18.045,INTERMEDIATE,24.0,Red Bull Racing,1.0
VER,1, 00:01:21.862,57.0,2.0,20.884,42.999,17.979,INTERMEDIATE,25.0,Red Bull Racing,1.0
VER,1, 00:01:21.782,58.0,2.0,20.851,43.016,17.915,INTERMEDIATE,26.0,Red Bull Racing,1.0
VER,1, 00:01:21.551,59.0,2.0,20.84,42.908,17.803,INTERMEDIATE,27.0,Red Bull Racing,1.0
VER,1, 00:01:21.331,60.0,2.0,20.665,42.796,17.87,INTERMEDIATE,28.0,Red Bull Racing,1.0
VER,1, 00:01:21.336,61.0,2.0,20.735,42.716,17.885,INTERMEDIATE,29.0,Red Bull Racing,1.0
VER,1, 00:01:21.069,62.0,2.0,20.611,42.604,17.854,INTERMEDIATE,30.0,Red Bull Racing,1.0
VER,1, 00:01:21.232,63.0,2.0,20.693,42.654,17.885,INTERMEDIATE,31.0,Red Bull Racing,1.0
VER,1, 00:01:21.029,64.0,2.0,20.632,42.559,17.838,INTERMEDIATE,32.0,Red Bull Racing,1.0
VER,1, 00:01:20.990,65.0,2.0,20.581,42.614,17.795,INTERMEDIATE,33.0,Red Bull Racing,1.0
VER,1, 00:01:21.111,66.0,2.0,20.787,42.539,17.785,INTERMEDIATE,34.0,Red Bull Racing,1.0
VER,1, 00:01:20.472,67.0,2.0,20.546,42.236,17.69,INTERMEDIATE,35.0,Red Bull Racing,1.0
VER,1, 00:01:21.554,68.0,2.0,20.852,42.92,17.782,INTERMEDIATE,36.0,Red Bull Racing,1.0
VER,1, 00:01:21.322,69.0,2.0,20.643,42.806,17.873,INTERMEDIATE,37.0,Red Bull Racing,1.0
GAS,10, 00:01:38.052,1.0,1.0,22.143,49.014,18.503,INTERMEDIATE,1.0,Alpine,10.0
GAS,10, 00:01:27.330,2.0,1.0,22.143,46.527,18.66,INTERMEDIATE,2.0,Alpine,9.0
GAS,10, 00:01:26.668,3.0,1.0,21.874,46.208,18.586,INTERMEDIATE,3.0,Alpine,9.0
GAS,10, 00:01:26.864,4.0,1.0,21.993,46.52,18.351,INTERMEDIATE,4.0,Alpine,9.0
GAS,10, 00:01:26.804,5.0,1.0,22.542,45.832,18.43,INTERMEDIATE,5.0,Alpine,10.0
GAS,10, 00:01:25.604,6.0,1.0,21.657,45.687,18.26,INTERMEDIATE,6.0,Alpine,10.0
GAS,10, 00:01:25.323,7.0,1.0,21.64,45.419,18.264,INTERMEDIATE,7.0,Alpine,10.0
GAS,10, 00:01:25.227,8.0,1.0,21.517,45.37,18.34,INTERMEDIATE,8.0,Alpine,10.0
GAS,10, 00:01:25.105,9.0,1.0,21.489,45.083,18.533,INTERMEDIATE,9.0,Alpine,10.0
GAS,10, 00:01:25.021,10.0,1.0,21.632,45.02,18.369,INTERMEDIATE,10.0,Alpine,10.0
GAS,10, 00:01:24.829,11.0,1.0,21.498,44.999,18.332,INTERMEDIATE,11.0,Alpine,10.0
GAS,10, 00:01:26.151,12.0,1.0,22.635,45.128,18.388,INTERMEDIATE,12.0,Alpine,10.0
GAS,10, 00:01:24.937,13.0,1.0,21.32,45.201,18.416,INTERMEDIATE,13.0,Alpine,10.0
GAS,10, 00:01:24.798,14.0,1.0,21.454,45.104,18.24,INTERMEDIATE,14.0,Alpine,10.0
GAS,10, 00:01:24.660,15.0,1.0,21.468,44.926,18.266,INTERMEDIATE,15.0,Alpine,10.0
GAS,10, 00:01:24.351,16.0,1.0,21.476,44.706,18.169,INTERMEDIATE,16.0,Alpine,9.0
GAS,10, 00:01:24.237,17.0,1.0,21.436,44.597,18.204,INTERMEDIATE,17.0,Alpine,9.0
GAS,10, 00:01:24.199,18.0,1.0,21.573,44.371,18.255,INTERMEDIATE,18.0,Alpine,9.0
GAS,10, 00:01:24.214,19.0,1.0,21.504,44.519,18.191,INTERMEDIATE,19.0,Alpine,9.0
GAS,10, 00:01:24.381,20.0,1.0,21.453,44.669,18.259,INTERMEDIATE,20.0,Alpine,9.0
GAS,10, 00:01:23.920,21.0,1.0,21.423,44.336,18.161,INTERMEDIATE,21.0,Alpine,9.0
GAS,10, 00:01:23.996,22.0,1.0,21.393,44.426,18.177,INTERMEDIATE,22.0,Alpine,9.0
GAS,10, 00:01:24.744,23.0,1.0,21.432,45.217,18.095,INTERMEDIATE,23.0,Alpine,9.0
GAS,10, 00:01:24.399,24.0,1.0,21.493,44.698,18.208,INTERMEDIATE,24.0,Alpine,9.0
GAS,10, 00:01:24.410,25.0,1.0,21.539,44.601,18.27,INTERMEDIATE,25.0,Alpine,8.0
