Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
RUS,63, 00:01:43.267,1.0,1.0,28.738,33.383,37.566,MEDIUM,2.0,Mercedes,1.0
RUS,63, 00:01:39.077,2.0,1.0,28.368,33.235,37.104,MEDIUM,3.0,Mercedes,1.0
RUS,63, 00:01:38.864,3.0,1.0,28.229,33.152,37.344,MEDIUM,4.0,Mercedes,1.0
RUS,63, 00:01:38.748,4.0,1.0,28.341,32.97,37.549,MEDIUM,5.0,Mercedes,1.0
RUS,63, 00:01:38.136,5.0,1.0,28.217,32.594,37.201,MEDIUM,6.0,Mercedes,1.0
RUS,63, 00:01:38.330,6.0,1.0,28.127,33.033,37.08,MEDIUM,7.0,Mercedes,1.0
RUS,63, 00:01:38.498,7.0,1.0,28.106,33.232,37.139,MEDIUM,8.0,Mercedes,1.0
RUS,63, 00:01:38.353,8.0,1.0,28.174,33.174,37.073,MEDIUM,9.0,Mercedes,1.0
RUS,63, 00:01:38.751,9.0,1.0,28.296,33.293,37.284,MEDIUM,10.0,Mercedes,1.0
RUS,63, 00:01:38.681,10.0,1.0,28.305,33.247,37.138,MEDIUM,11.0,Mercedes,1.0
RUS,63, 00:01:38.689,11.0,1.0,28.363,33.335,37.049,MEDIUM,12.0,Mercedes,1.0
RUS,63, 00:01:43.522,12.0,1.0,44.155,33.385,41.774,MEDIUM,13.0,Mercedes,1.0
RUS,63, 00:01:54.754,13.0,2.0,28.196,33.616,36.983,HARD,2.0,Mercedes,2.0
RUS,63, 00:01:38.296,14.0,2.0,28.212,33.058,37.042,HARD,3.0,Mercedes,1.0
RUS,63, 00:01:38.331,15.0,2.0,28.035,33.012,37.107,HARD,4.0,Mercedes,1.0
RUS,63, 00:01:37.913,16.0,2.0,28.025,32.943,36.935,HARD,5.0,Mercedes,1.0
RUS,63, 00:01:37.869,17.0,2.0,28.028,32.926,36.918,HARD,6.0,Mercedes,1.0
RUS,63, 00:01:37.964,18.0,2.0,28.084,32.974,36.962,HARD,7.0,Mercedes,1.0
RUS,63, 00:01:38.003,19.0,2.0,27.982,32.989,36.93,HARD,8.0,Mercedes,1.0
RUS,63, 00:01:37.733,20.0,2.0,27.868,32.966,36.785,HARD,9.0,Mercedes,1.0
RUS,63, 00:01:37.359,21.0,2.0,27.94,32.675,36.816,HARD,10.0,Mercedes,1.0
RUS,63, 00:01:37.556,22.0,2.0,27.956,32.754,36.862,HARD,11.0,Mercedes,1.0
RUS,63, 00:01:37.730,23.0,2.0,27.961,32.895,36.879,HARD,12.0,Mercedes,1.0
RUS,63, 00:01:37.576,24.0,2.0,27.928,32.736,36.879,HARD,13.0,Mercedes,1.0
RUS,63, 00:01:37.724,25.0,2.0,27.795,32.843,36.953,HARD,14.0,Mercedes,1.0
RUS,63, 00:01:37.467,26.0,2.0,27.811,32.834,36.838,HARD,15.0,Mercedes,1.0
RUS,63, 00:01:37.609,27.0,2.0,27.884,32.964,36.834,HARD,16.0,Mercedes,1.0
RUS,63, 00:01:37.896,28.0,2.0,28.074,33.183,36.829,HARD,17.0,Mercedes,1.0
RUS,63, 00:01:37.556,29.0,2.0,27.92,32.784,36.698,HARD,18.0,Mercedes,1.0
RUS,63, 00:01:37.544,30.0,2.0,27.957,32.88,36.744,HARD,19.0,Mercedes,1.0
RUS,63, 00:01:37.801,31.0,2.0,27.884,33.099,36.745,HARD,20.0,Mercedes,1.0
