Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
VER,1, 00:01:51.344,1.0,1.0,48.051,29.908,47.019,MEDIUM,1.0,Red Bull Racing,1.0
VER,1, 00:02:21.257,2.0,1.0,55.914,43.653,41.69,MEDIUM,2.0,Red Bull Racing,1.0
VER,1, 00:02:17.390,3.0,1.0,51.955,42.864,42.571,MEDIUM,3.0,Red Bull Racing,1.0
VER,1, 00:02:17.390,4.0,1.0,48.051,42.711,62.317,MEDIUM,4.0,Red Bull Racing,1.0
VER,1, 00:01:26.724,5.0,1.0,32.248,29.054,25.422,MEDIUM,5.0,Red Bull Racing,1.0
VER,1, 00:01:26.502,6.0,1.0,32.141,29.044,25.317,MEDIUM,6.0,Red Bull Racing,1.0
VER,1, 00:01:26.376,7.0,1.0,32.062,28.973,25.341,MEDIUM,7.0,Red Bull Racing,1.0
VER,1, 00:01:26.280,8.0,1.0,32.029,29.033,25.218,MEDIUM,8.0,Red Bull Racing,1.0
VER,1, 00:01:26.200,9.0,1.0,31.963,29.032,25.205,MEDIUM,9.0,Red Bull Racing,1.0
VER,1, 00:01:25.973,10.0,1.0,31.908,29.002,25.063,MEDIUM,10.0,Red Bull Racing,1.0
VER,1, 00:01:25.808,11.0,1.0,31.923,28.93,24.955,MEDIUM,11.0,Red Bull Racing,1.0
VER,1, 00:01:25.903,12.0,1.0,31.866,29.005,25.032,MEDIUM,12.0,Red Bull Racing,1.0
VER,1, 00:01:25.843,13.0,1.0,31.903,28.955,24.985,MEDIUM,13.0,Red Bull Racing,1.0
VER,1, 00:01:25.812,14.0,1.0,31.899,28.998,24.915,MEDIUM,14.0,Red Bull Racing,1.0
VER,1, 00:01:25.698,15.0,1.0,31.819,28.962,24.917,MEDIUM,15.0,Red Bull Racing,1.0
VER,1, 00:01:25.605,16.0,1.0,31.776,28.999,24.83,MEDIUM,16.0,Red Bull Racing,1.0
VER,1, 00:01:25.460,17.0,1.0,31.727,28.954,24.779,MEDIUM,17.0,Red Bull Racing,1.0
VER,1, 00:01:25.079,18.0,1.0,31.6,28.89,24.589,MEDIUM,18.0,Red Bull Racing,1.0
VER,1, 00:01:25.309,19.0,1.0,31.713,28.894,24.702,MEDIUM,19.0,Red Bull Racing,1.0
VER,1, 00:01:24.896,20.0,1.0,31.57,28.845,24.481,MEDIUM,20.0,Red Bull Racing,1.0
VER,1, 00:01:24.970,21.0,1.0,31.578,28.803,24.589,MEDIUM,21.0,Red Bull Racing,1.0
VER,1, 00:01:24.908,22.0,1.0,31.559,28.869,24.48,MEDIUM,22.0,Red Bull Racing,1.0
VER,1, 00:01:24.856,23.0,1.0,31.542,28.855,24.459,MEDIUM,23.0,Red Bull Racing,1.0
VER,1, 00:01:24.825,24.0,1.0,31.522,28.842,24.461,MEDIUM,24.0,Red Bull Racing,1.0
VER,1, 00:01:24.702,25.0,1.0,31.487,28.807,24.408,MEDIUM,25.0,Red Bull Racing,1.0
VER,1, 00:01:24.775,26.0,1.0,31.528,28.774,24.473,MEDIUM,26.0,Red Bull Racing,1.0
VER,1, 00:01:24.720,27.0,1.0,31.48,28.776,24.464,MEDIUM,27.0,Red Bull Racing,1.0
VER,1, 00:01:24.719,28.0,1.0,31.554,28.728,24.437,MEDIUM,28.0,Red Bull Racing,1.0
VER,1, 00:01:24.861,29.0,1.0,31.506,28.938,24.417,MEDIUM,29.0,Red Bull Racing,1.0
VER,1, 00:01:25.127,30.0,1.0,32.006,28.661,24.46,MEDIUM,30.0,Red Bull Racing,1.0
VER,1, 00:01:24.413,31.0,1.0,31.331,28.66,24.422,MEDIUM,31.0,Red Bull Racing,1.0
VER,1, 00:01:24.427,32.0,1.0,31.35,28.605,24.472,MEDIUM,32.0,Red Bull Racing,1.0
VER,1, 00:01:24.350,33.0,1.0,31.382,28.648,24.32,MEDIUM,33.0,Red Bull Racing,1.0
VER,1, 00:01:24.468,34.0,1.0,31.402,28.639,24.427,MEDIUM,34.0,Red Bull Racing,1.0
VER,1, 00:01:32.307,35.0,1.0,31.358,28.651,32.298,MEDIUM,35.0,Red Bull Racing,1.0
VER,1, 00:02:46.153,36.0,2.0,63.617,52.4,53.138,HARD,1.0,Red Bull Racing,1.0
VER,1, 00:02:56.153,37.0,3.0,73.984,45.776,48.892,HARD,2.0,Red Bull Racing,1.0
