Id;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
0;VER;1; 00:01:39.510;1.0;1.0;18.209;39.931;34.944;MEDIUM;1.0;Red Bull Racing;12.0
1;VER;1; 00:01:54.938;2.0;1.0;23.196;54.569;42.16;MEDIUM;2.0;Red Bull Racing;11.0
2;VER;1; 00:01:38.051;3.0;1.0;18.166;41.997;32.858;MEDIUM;3.0;Red Bull Racing;10.0
3;VER;1; 00:01:29.504;4.0;1.0;18.056;38.187;33.151;MEDIUM;4.0;Red Bull Racing;10.0
4;VER;1; 00:01:29.813;5.0;1.0;18.012;37.945;33.812;MEDIUM;5.0;Red Bull Racing;10.0
5;VER;1; 00:01:29.412;6.0;1.0;18.085;38.101;33.299;MEDIUM;6.0;Red Bull Racing;9.0
6;VER;1; 00:01:29.885;7.0;1.0;18.021;38.58;33.22;MEDIUM;7.0;Red Bull Racing;9.0
7;VER;1; 00:01:29.824;8.0;1.0;18.085;37.966;33.837;MEDIUM;8.0;Red Bull Racing;9.0
8;VER;1; 00:01:29.445;9.0;1.0;18.135;38.121;33.239;MEDIUM;9.0;Red Bull Racing;8.0
9;VER;1; 00:01:30.449;10.0;1.0;18.08;38.811;33.503;MEDIUM;10.0;Red Bull Racing;8.0
10;VER;1; 00:01:30.395;11.0;1.0;18.099;38.538;33.777;MEDIUM;11.0;Red Bull Racing;8.0
11;VER;1; 00:01:30.164;12.0;1.0;18.103;38.564;33.501;MEDIUM;12.0;Red Bull Racing;7.0
12;VER;1; 00:01:30.178;13.0;1.0;18.006;38.737;33.338;MEDIUM;13.0;Red Bull Racing;6.0
13;VER;1; 00:01:30.128;14.0;1.0;18.019;38.876;33.246;MEDIUM;14.0;Red Bull Racing;6.0
14;VER;1; 00:01:29.876;15.0;1.0;18.052;38.636;33.221;MEDIUM;15.0;Red Bull Racing;5.0
15;VER;1; 00:01:30.047;16.0;1.0;17.979;38.838;33.157;MEDIUM;16.0;Red Bull Racing;5.0
16;VER;1; 00:01:29.909;17.0;1.0;18.028;38.793;33.137;MEDIUM;17.0;Red Bull Racing;5.0
17;VER;1; 00:01:29.826;18.0;1.0;18.077;38.64;33.158;MEDIUM;18.0;Red Bull Racing;5.0
18;VER;1; 00:01:30.076;19.0;1.0;18.006;38.705;33.294;MEDIUM;19.0;Red Bull Racing;5.0
19;VER;1; 00:01:30.004;20.0;1.0;17.975;38.823;33.175;MEDIUM;20.0;Red Bull Racing;5.0
20;VER;1; 00:01:29.695;21.0;1.0;18.023;38.588;33.132;MEDIUM;21.0;Red Bull Racing;4.0
21;VER;1; 00:01:29.889;22.0;1.0;17.972;38.754;33.112;MEDIUM;22.0;Red Bull Racing;4.0
22;VER;1; 00:01:29.939;23.0;1.0;17.969;38.798;33.169;MEDIUM;23.0;Red Bull Racing;4.0
23;VER;1; 00:01:29.750;24.0;1.0;17.97;38.653;33.128;MEDIUM;24.0;Red Bull Racing;4.0
24;VER;1; 00:01:29.852;25.0;1.0;17.964;38.656;33.226;MEDIUM;25.0;Red Bull Racing;4.0
25;VER;1; 00:01:30.268;26.0;1.0;17.942;38.827;33.477;MEDIUM;26.0;Red Bull Racing;4.0
26;VER;1; 00:01:29.897;27.0;1.0;17.994;38.858;33.097;MEDIUM;27.0;Red Bull Racing;3.0
27;VER;1; 00:01:30.274;28.0;1.0;17.92;39.156;33.124;MEDIUM;28.0;Red Bull Racing;3.0
28;VER;1; 00:01:31.857;29.0;1.0;49.136;38.668;35.269;MEDIUM;29.0;Red Bull Racing;3.0
29;VER;1; 00:01:59.495;30.0;2.0;17.867;38.137;32.222;HARD;1.0;Red Bull Racing;11.0
30;VER;1; 00:01:28.088;31.0;2.0;17.891;37.731;32.49;HARD;2.0;Red Bull Racing;10.0
31;VER;1; 00:01:28.528;32.0;2.0;17.735;38.182;32.455;HARD;3.0;Red Bull Racing;10.0
32;VER;1; 00:01:28.333;33.0;2.0;17.725;38.162;32.436;HARD;4.0;Red Bull Racing;9.0
33;VER;1; 00:01:28.409;34.0;2.0;17.662;38.227;32.457;HARD;5.0;Red Bull Racing;9.0
34;VER;1; 00:01:29.111;35.0;2.0;18.023;37.912;33.537;HARD;6.0;Red Bull Racing;9.0
35;VER;1; 00:01:28.557;36.0;2.0;17.714;37.998;32.536;HARD;7.0;Red Bull Racing;8.0
36;VER;1; 00:01:28.413;37.0;2.0;17.67;38.254;32.445;HARD;8.0;Red Bull Racing;8.0
37;VER;1; 00:01:28.360;38.0;2.0;17.724;38.204;32.486;HARD;9.0;Red Bull Racing;8.0
38;VER;1; 00:01:28.296;39.0;2.0;17.675;38.101;32.471;HARD;10.0;Red Bull Racing;8.0
39;VER;1; 00:01:28.345;40.0;2.0;17.698;38.155;32.515;HARD;11.0;Red Bull Racing;8.0
40;VER;1; 00:01:28.439;41.0;2.0;17.576;38.222;32.519;HARD;12.0;Red Bull Racing;8.0
41;VER;1; 00:01:28.113;42.0;2.0;17.685;38.066;32.471;HARD;13.0;Red Bull Racing;8.0
42;VER;1; 00:01:28.089;43.0;2.0;17.655;37.847;32.557;HARD;14.0;Red Bull Racing;7.0
43;VER;1; 00:01:28.501;44.0;2.0;17.648;38.235;32.611;HARD;15.0;Red Bull Racing;7.0
44;VER;1; 00:01:28.067;45.0;2.0;17.595;37.861;32.558;HARD;16.0;Red Bull Racing;6.0
45;VER;1; 00:01:28.231;46.0;2.0;17.635;38.288;32.348;HARD;17.0;Red Bull Racing;6.0
46;VER;1; 00:01:28.304;47.0;2.0;17.65;38.232;32.437;HARD;18.0;Red Bull Racing;6.0
47;VER;1; 00:01:27.893;48.0;2.0;17.56;38.031;32.212;HARD;19.0;Red Bull Racing;6.0
48;VER;1; 00:01:27.927;49.0;2.0;17.569;38.215;32.152;HARD;20.0;Red Bull Racing;6.0
49;VER;1; 00:01:27.961;50.0;2.0;17.543;38.245;32.147;HARD;21.0;Red Bull Racing;6.0
50;VER;1; 00:01:27.820;51.0;2.0;17.592;38.151;32.126;HARD;22.0;Red Bull Racing;6.0
51;VER;1; 00:01:28.047;52.0;2.0;17.553;38.194;32.261;HARD;23.0;Red Bull Racing;6.0
52;VER;1; 00:01:28.064;53.0;2.0;17.701;38.239;32.272;HARD;24.0;Red Bull Racing;6.0
53;VER;1; 00:01:28.352;54.0;2.0;17.648;38.164;32.487;HARD;25.0;Red Bull Racing;6.0
54;VER;1; 00:01:27.821;55.0;2.0;17.571;37.893;32.28;HARD;26.0;Red Bull Racing;6.0
55;VER;1; 00:01:27.765;56.0;2.0;17.565;38.063;32.131;HARD;27.0;Red Bull Racing;6.0
56;VER;1; 00:01:28.174;57.0;2.0;17.676;38.204;32.405;HARD;28.0;Red Bull Racing;6.0
57;VER;1; 00:01:28.780;58.0;2.0;18.158;38.262;32.842;HARD;29.0;Red Bull Racing;6.0
58;GAS;10; 00:01:33.984;1.0;1.0;25.771;38.658;33.126;MEDIUM;1.0;Alpine;4.0
59;GAS;10; 00:01:49.760;2.0;1.0;17.935;46.804;44.798;MEDIUM;2.0;Alpine;3.0
60;GAS;10; 00:01:42.837;3.0;1.0;18.105;44.128;32.938;MEDIUM;3.0;Alpine;3.0
61;GAS;10; 00:01:29.406;4.0;1.0;18.14;37.997;33.474;MEDIUM;4.0;Alpine;3.0
62;GAS;10; 00:01:29.611;5.0;1.0;17.897;38.555;32.951;MEDIUM;5.0;Alpine;3.0
63;GAS;10; 00:01:30.014;6.0;1.0;17.965;38.62;33.254;MEDIUM;6.0;Alpine;3.0
64;GAS;10; 00:01:29.744;7.0;1.0;17.895;38.596;33.251;MEDIUM;7.0;Alpine;3.0
65;GAS;10; 00:01:29.732;8.0;1.0;17.962;38.532;33.235;MEDIUM;8.0;Alpine;3.0
66;GAS;10; 00:01:29.631;9.0;1.0;17.994;38.687;33.049;MEDIUM;9.0;Alpine;3.0
67;GAS;10; 00:01:30.127;10.0;1.0;18.084;38.86;33.305;MEDIUM;10.0;Alpine;3.0
68;GAS;10; 00:01:30.072;11.0;1.0;17.952;38.891;33.187;MEDIUM;11.0;Alpine;3.0
69;GAS;10; 00:01:30.174;12.0;1.0;17.987;38.888;33.202;MEDIUM;12.0;Alpine;3.0
70;GAS;10; 00:01:30.173;13.0;1.0;38.392;38.891;33.33;MEDIUM;13.0;Alpine;3.0
71;GAS;10; 00:01:32.241;14.0;1.0;17.901;38.923;35.331;MEDIUM;14.0;Alpine;4.0
72;GAS;10; 00:01:49.784;15.0;2.0;18.007;38.503;32.889;HARD;1.0;Alpine;9.0
73;GAS;10; 00:01:29.927;16.0;2.0;18.064;37.866;34.16;HARD;2.0;Alpine;9.0
74;GAS;10; 00:01:29.986;17.0;2.0;17.923;38.58;33.399;HARD;3.0;Alpine;8.0
75;GAS;10; 00:01:30.123;18.0;2.0;17.865;38.864;33.195;HARD;4.0;Alpine;8.0
76;GAS;10; 00:01:29.567;19.0;2.0;17.977;38.762;32.882;HARD;5.0;Alpine;8.0
77;GAS;10; 00:01:29.562;20.0;2.0;17.924;38.713;32.984;HARD;6.0;Alpine;8.0
78;GAS;10; 00:01:29.725;21.0;2.0;18.073;38.798;32.95;HARD;7.0;Alpine;7.0
79;GAS;10; 00:01:30.627;22.0;2.0;18.031;38.478;34.225;HARD;8.0;Alpine;7.0
80;GAS;10; 00:01:30.137;23.0;2.0;17.98;38.864;33.2;HARD;9.0;Alpine;6.0
81;GAS;10; 00:01:31.144;24.0;2.0;17.877;39.297;33.816;HARD;10.0;Alpine;7.0
82;GAS;10; 00:01:29.750;25.0;2.0;17.887;38.725;33.045;HARD;11.0;Alpine;7.0
83;GAS;10; 00:01:29.688;26.0;2.0;17.877;38.739;33.072;HARD;12.0;Alpine;7.0
84;GAS;10; 00:01:30.381;27.0;2.0;17.81;38.677;33.817;HARD;13.0;Alpine;7.0
85;GAS;10; 00:01:29.596;28.0;2.0;17.799;38.742;32.977;HARD;14.0;Alpine;7.0
86;GAS;10; 00:01:29.409;29.0;2.0;17.866;38.715;32.884;HARD;15.0;Alpine;7.0
87;GAS;10; 00:01:29.251;30.0;2.0;17.904;38.664;32.788;HARD;16.0;Alpine;6.0
88;GAS;10; 00:01:29.563;31.0;2.0;17.91;38.72;32.977;HARD;17.0;Alpine;6.0
89;GAS;10; 00:01:29.647;32.0;2.0;17.916;38.683;33.06;HARD;18.0;Alpine;6.0
90;GAS;10; 00:01:29.516;33.0;2.0;17.884;38.776;32.83;HARD;19.0;Alpine;6.0
91;GAS;10; 00:01:29.431;34.0;2.0;17.856;38.682;32.833;HARD;20.0;Alpine;6.0
92;GAS;10; 00:01:29.500;35.0;2.0;17.899;38.769;32.847;HARD;21.0;Alpine;5.0
93;GAS;10; 00:01:29.321;36.0;2.0;17.784;38.689;32.776;HARD;22.0;Alpine;5.0
94;GAS;10; 00:01:29.212;37.0;2.0;17.92;38.615;32.698;HARD;23.0;Alpine;5.0
95;GAS;10; 00:01:29.506;38.0;2.0;17.848;38.786;32.936;HARD;24.0;Alpine;5.0
96;GAS;10; 00:01:29.321;39.0;2.0;17.88;38.519;32.882;HARD;25.0;Alpine;5.0
97;GAS;10; 00:01:29.372;40.0;2.0;17.873;38.637;32.887;HARD;26.0;Alpine;5.0
98;GAS;10; 00:01:29.504;41.0;2.0;17.818;38.771;32.853;HARD;27.0;Alpine;5.0
99;GAS;10; 00:01:29.998;42.0;2.0;17.797;38.828;33.297;HARD;28.0;Alpine;6.0
100;GAS;10; 00:01:29.453;43.0;2.0;17.868;38.745;32.89;HARD;29.0;Alpine;6.0
101;GAS;10; 00:01:29.379;44.0;2.0;17.883;38.729;32.853;HARD;30.0;Alpine;6.0
102;GAS;10; 00:01:30.401;45.0;2.0;17.995;38.755;33.778;HARD;31.0;Alpine;7.0
103;GAS;10; 00:01:29.650;46.0;2.0;17.936;38.668;33.099;HARD;32.0;Alpine;7.0
104;GAS;10; 00:01:29.523;47.0;2.0;17.998;38.663;32.865;HARD;33.0;Alpine;7.0
105;GAS;10; 00:01:29.434;48.0;2.0;17.842;38.645;32.853;HARD;34.0;Alpine;7.0
106;GAS;10; 00:01:29.493;49.0;2.0;17.875;38.58;32.915;HARD;35.0;Alpine;7.0
107;GAS;10; 00:01:29.606;50.0;2.0;17.921;38.716;33.048;HARD;36.0;Alpine;7.0
108;GAS;10; 00:01:29.571;51.0;2.0;17.922;38.745;32.951;HARD;37.0;Alpine;7.0
109;GAS;10; 00:01:29.650;52.0;2.0;17.927;38.757;32.972;HARD;38.0;Alpine;7.0
110;GAS;10; 00:01:29.676;53.0;2.0;17.997;38.844;32.91;HARD;39.0;Alpine;7.0
111;GAS;10; 00:01:29.447;54.0;2.0;17.954;38.673;32.847;HARD;40.0;Alpine;7.0
112;GAS;10; 00:01:30.172;55.0;2.0;17.951;38.961;33.214;HARD;41.0;Alpine;7.0
113;GAS;10; 00:01:29.541;56.0;2.0;17.995;38.546;33.041;HARD;42.0;Alpine;7.0
114;GAS;10; 00:01:29.936;57.0;2.0;18.092;38.773;33.212;HARD;43.0;Alpine;7.0
115;GAS;10; 00:01:30.865;58.0;2.0;25.205;38.878;33.992;HARD;44.0;Alpine;7.0
116;PER;11; 00:01:36.166;1.0;1.0;18.033;39.033;33.904;MEDIUM;1.0;Red Bull Racing;7.0
117;ALO;14; 00:01:50.156;1.0;1.0;18.133;49.898;42.166;MEDIUM;2.0;Aston Martin;6.0
118;ALO;14; 00:01:42.240;2.0;1.0;18.04;43.666;33.369;MEDIUM;3.0;Aston Martin;6.0
119;ALO;14; 00:01:29.434;3.0;1.0;18.073;37.944;33.457;MEDIUM;4.0;Aston Martin;6.0
120;ALO;14; 00:01:30.084;4.0;1.0;17.995;38.142;33.809;MEDIUM;5.0;Aston Martin;6.0
121;ALO;14; 00:01:29.829;5.0;1.0;18.045;38.164;33.625;MEDIUM;6.0;Aston Martin;6.0
122;ALO;14; 00:01:29.785;6.0;1.0;18.508;38.18;33.532;MEDIUM;7.0;Aston Martin;6.0
123;ALO;14; 00:01:30.032;7.0;1.0;18.059;38.276;33.761;MEDIUM;8.0;Aston Martin;6.0
124;ALO;14; 00:01:30.085;8.0;1.0;18.088;38.451;33.589;MEDIUM;9.0;Aston Martin;6.0
125;ALO;14; 00:01:31.708;9.0;1.0;18.278;39.164;34.036;MEDIUM;10.0;Aston Martin;7.0
126;ALO;14; 00:01:31.088;10.0;1.0;39.633;39.297;33.732;MEDIUM;11.0;Aston Martin;7.0
127;ALO;14; 00:01:31.821;11.0;1.0;17.967;39.385;34.348;MEDIUM;12.0;Aston Martin;8.0
128;ALO;14; 00:01:33.244;12.0;1.0;17.889;39.496;35.47;MEDIUM;13.0;Aston Martin;8.0
129;ALO;14; 00:01:51.792;13.0;1.0;17.906;38.833;33.326;MEDIUM;14.0;Aston Martin;12.0
130;ALO;14; 00:01:29.756;14.0;2.0;17.763;38.697;33.092;HARD;2.0;Aston Martin;12.0
131;ALO;14; 00:01:29.907;15.0;2.0;17.833;38.901;33.117;HARD;3.0;Aston Martin;12.0
132;ALO;14; 00:01:29.892;16.0;2.0;18.049;38.817;33.169;HARD;4.0;Aston Martin;12.0
133;ALO;14; 00:01:29.565;17.0;2.0;17.904;38.742;33.06;HARD;5.0;Aston Martin;12.0
134;ALO;14; 00:01:29.708;18.0;2.0;17.918;38.714;33.161;HARD;6.0;Aston Martin;12.0
135;ALO;14; 00:01:30.087;19.0;2.0;17.898;38.813;33.225;HARD;7.0;Aston Martin;12.0
136;ALO;14; 00:01:30.133;20.0;2.0;17.944;38.848;33.381;HARD;8.0;Aston Martin;12.0
137;ALO;14; 00:01:30.178;21.0;2.0;17.926;38.488;33.772;HARD;9.0;Aston Martin;11.0
138;ALO;14; 00:01:29.863;22.0;2.0;17.898;38.825;33.14;HARD;10.0;Aston Martin;10.0
139;ALO;14; 00:01:29.652;23.0;2.0;17.86;38.694;33.014;HARD;11.0;Aston Martin;9.0
140;ALO;14; 00:01:29.802;24.0;2.0;17.907;38.759;33.117;HARD;12.0;Aston Martin;9.0
141;ALO;14; 00:01:29.755;25.0;2.0;17.872;38.78;33.077;HARD;13.0;Aston Martin;9.0
142;ALO;14; 00:01:29.718;26.0;2.0;17.888;38.775;33.083;HARD;14.0;Aston Martin;9.0
143;ALO;14; 00:01:29.672;27.0;2.0;17.882;38.831;32.934;HARD;15.0;Aston Martin;9.0
144;ALO;14; 00:01:29.828;28.0;2.0;17.867;38.734;33.222;HARD;16.0;Aston Martin;9.0
145;ALO;14; 00:01:29.900;29.0;2.0;17.899;38.902;33.11;HARD;17.0;Aston Martin;8.0
146;ALO;14; 00:01:29.874;30.0;2.0;17.871;38.914;33.078;HARD;18.0;Aston Martin;8.0
147;ALO;14; 00:01:29.986;31.0;2.0;18.004;39.024;33.095;HARD;19.0;Aston Martin;8.0
148;ALO;14; 00:01:29.839;32.0;2.0;18.061;38.814;33.126;HARD;20.0;Aston Martin;8.0
149;ALO;14; 00:01:29.650;33.0;2.0;17.993;38.86;32.919;HARD;21.0;Aston Martin;8.0
150;ALO;14; 00:01:30.225;34.0;2.0;38.235;38.717;33.504;HARD;22.0;Aston Martin;8.0
151;ALO;14; 00:01:30.419;35.0;2.0;17.858;38.73;33.628;HARD;23.0;Aston Martin;9.0
152;ALO;14; 00:01:31.999;36.0;2.0;17.809;38.837;35.169;HARD;24.0;Aston Martin;9.0
153;ALO;14; 00:01:49.629;37.0;2.0;17.708;38.532;32.862;HARD;25.0;Aston Martin;12.0
154;ALO;14; 00:01:28.735;38.0;3.0;17.624;38.185;32.692;HARD;2.0;Aston Martin;12.0
155;ALO;14; 00:01:28.937;39.0;3.0;17.747;38.48;32.648;HARD;3.0;Aston Martin;11.0
156;ALO;14; 00:01:28.402;40.0;3.0;17.631;38.236;32.458;HARD;4.0;Aston Martin;11.0
157;ALO;14; 00:01:28.379;41.0;3.0;17.685;38.239;32.516;HARD;5.0;Aston Martin;11.0
158;ALO;14; 00:01:28.729;42.0;3.0;17.706;38.28;32.702;HARD;6.0;Aston Martin;11.0
159;ALO;14; 00:01:29.066;43.0;3.0;17.628;37.904;33.531;HARD;7.0;Aston Martin;11.0
160;ALO;14; 00:01:28.238;44.0;3.0;17.589;38.043;32.51;HARD;8.0;Aston Martin;10.0
161;ALO;14; 00:01:28.583;45.0;3.0;17.634;38.502;32.375;HARD;9.0;Aston Martin;10.0
162;ALO;14; 00:01:28.231;46.0;3.0;17.667;38.302;32.301;HARD;10.0;Aston Martin;10.0
163;ALO;14; 00:01:27.997;47.0;3.0;17.652;38.155;32.253;HARD;11.0;Aston Martin;10.0
164;ALO;14; 00:01:28.372;48.0;3.0;17.603;38.312;32.426;HARD;12.0;Aston Martin;10.0
165;ALO;14; 00:01:28.709;49.0;3.0;17.64;38.378;32.664;HARD;13.0;Aston Martin;10.0
166;ALO;14; 00:01:27.948;50.0;3.0;17.601;37.856;32.44;HARD;14.0;Aston Martin;9.0
167;ALO;14; 00:01:28.277;51.0;3.0;17.563;38.349;32.325;HARD;15.0;Aston Martin;9.0
168;ALO;14; 00:01:28.231;52.0;3.0;17.602;38.331;32.26;HARD;16.0;Aston Martin;9.0
169;ALO;14; 00:01:28.214;53.0;3.0;17.492;38.391;32.222;HARD;17.0;Aston Martin;9.0
170;ALO;14; 00:01:28.281;54.0;3.0;17.619;38.358;32.36;HARD;18.0;Aston Martin;9.0
171;ALO;14; 00:01:28.276;55.0;3.0;18.302;38.322;32.352;HARD;19.0;Aston Martin;9.0
172;ALO;14; 00:01:28.937;56.0;3.0;23.997;38.724;32.721;HARD;20.0;Aston Martin;9.0
173;ALO;14; 00:01:28.621;57.0;3.0;18.001;38.418;32.584;HARD;21.0;Aston Martin;9.0
174;ALO;14; 00:01:37.644;58.0;3.0;18.127;39.256;34.12;HARD;22.0;Aston Martin;9.0
175;LEC;16; 00:01:53.013;1.0;1.0;18.229;51.223;43.488;MEDIUM;1.0;Ferrari;8.0
176;LEC;16; 00:01:39.656;2.0;1.0;17.992;42.263;33.396;MEDIUM;2.0;Ferrari;8.0
177;LEC;16; 00:01:29.273;3.0;1.0;17.962;38.23;33.042;MEDIUM;3.0;Ferrari;8.0
