Id;Time;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;FreshTyre;Team;Position
0; 01:04:51.506;VER;1; 00:02:10.735;1.0;1.0;34.772;64.045;31.458;MEDIUM;1.0;True;Red Bull Racing;1.0
1; 01:33:22.630;VER;1; 00:02:02.735;2.0;2.0;34.772;56.617;39.032;MEDIUM;2.0;False;Red Bull Racing;1.0
2; 01:36:15.449;VER;1; 00:01:36.472;3.0;2.0;34.772;42.768;18.603;MEDIUM;3.0;False;Red Bull Racing;1.0
3; 01:37:51.921;VER;1; 00:01:36.472;4.0;2.0;34.772;43.042;18.658;MEDIUM;4.0;False;Red Bull Racing;1.0
4; 01:39:28.358;VER;1; 00:01:36.437;5.0;2.0;34.69;43.035;18.712;MEDIUM;5.0;False;Red Bull Racing;1.0
5; 01:41:05.213;VER;1; 00:01:36.855;6.0;2.0;34.965;43.196;18.694;MEDIUM;6.0;False;Red Bull Racing;1.0
6; 01:42:42.183;VER;1; 00:01:36.970;7.0;2.0;34.987;43.3;18.683;MEDIUM;7.0;False;Red Bull Racing;1.0
7; 01:44:19.512;VER;1; 00:01:37.329;8.0;2.0;35.112;43.412;18.805;MEDIUM;8.0;False;Red Bull Racing;1.0
8; 01:45:56.690;VER;1; 00:01:37.178;9.0;2.0;35.132;43.298;18.748;MEDIUM;9.0;False;Red Bull Racing;1.0
9; 01:47:34.280;VER;1; 00:01:37.590;10.0;2.0;35.45;43.353;18.787;MEDIUM;10.0;False;Red Bull Racing;1.0
10; 01:49:12.054;VER;1; 00:01:37.774;11.0;2.0;35.32;43.622;18.832;MEDIUM;11.0;False;Red Bull Racing;1.0
11; 01:50:49.807;VER;1; 00:01:37.753;12.0;2.0;35.415;43.468;18.87;MEDIUM;12.0;False;Red Bull Racing;1.0
12; 01:52:27.534;VER;1; 00:01:37.727;13.0;2.0;35.365;43.511;18.851;MEDIUM;13.0;False;Red Bull Racing;1.0
13; 01:54:05.444;VER;1; 00:01:37.910;14.0;2.0;35.432;43.612;18.866;MEDIUM;14.0;False;Red Bull Racing;1.0
14; 01:55:43.298;VER;1; 00:01:37.854;15.0;2.0;35.465;43.565;18.824;MEDIUM;15.0;False;Red Bull Racing;1.0
15; 01:57:23.570;VER;1; 00:01:40.272;16.0;2.0;35.594;43.595;21.083;MEDIUM;16.0;False;Red Bull Racing;1.0
16; 01:59:20.048;VER;1; 00:01:56.478;17.0;3.0;54.634;43.113;18.731;MEDIUM;1.0;True;Red Bull Racing;2.0
17; 02:00:56.870;VER;1; 00:01:36.822;18.0;3.0;34.981;43.108;18.733;MEDIUM;2.0;True;Red Bull Racing;2.0
18; 02:02:33.122;VER;1; 00:01:36.252;19.0;3.0;34.857;42.769;18.626;MEDIUM;3.0;True;Red Bull Racing;2.0
19; 02:04:09.524;VER;1; 00:01:36.402;20.0;3.0;34.885;42.974;18.543;MEDIUM;4.0;True;Red Bull Racing;2.0
20; 02:05:45.141;VER;1; 00:01:35.617;21.0;3.0;34.242;42.833;18.542;MEDIUM;5.0;True;Red Bull Racing;1.0
21; 02:07:21.525;VER;1; 00:01:36.384;22.0;3.0;34.914;42.902;18.568;MEDIUM;6.0;True;Red Bull Racing;1.0
22; 02:08:57.730;VER;1; 00:01:36.205;23.0;3.0;34.81;42.855;18.54;MEDIUM;7.0;True;Red Bull Racing;1.0
23; 02:10:34.262;VER;1; 00:01:36.532;24.0;3.0;34.895;43.008;18.629;MEDIUM;8.0;True;Red Bull Racing;1.0
24; 02:12:10.599;VER;1; 00:01:36.337;25.0;3.0;34.677;43.075;18.585;MEDIUM;9.0;True;Red Bull Racing;1.0
25; 02:13:47.036;VER;1; 00:01:36.437;26.0;3.0;34.874;42.952;18.611;MEDIUM;10.0;True;Red Bull Racing;1.0
26; 02:15:23.690;VER;1; 00:01:36.654;27.0;3.0;34.936;42.975;18.743;MEDIUM;11.0;True;Red Bull Racing;1.0
27; 02:17:00.186;VER;1; 00:01:36.496;28.0;3.0;34.883;43.01;18.603;MEDIUM;12.0;True;Red Bull Racing;1.0
28; 02:18:36.841;VER;1; 00:01:36.655;29.0;3.0;35.02;43.016;18.619;MEDIUM;13.0;True;Red Bull Racing;1.0
29; 02:20:13.690;VER;1; 00:01:36.849;30.0;3.0;35.05;43.132;18.667;MEDIUM;14.0;True;Red Bull Racing;1.0
30; 02:21:50.451;VER;1; 00:01:36.761;31.0;3.0;34.998;43.147;18.616;MEDIUM;15.0;True;Red Bull Racing;1.0
31; 02:23:27.371;VER;1; 00:01:36.920;32.0;3.0;35.134;43.092;18.694;MEDIUM;16.0;True;Red Bull Racing;1.0
32; 02:25:04.419;VER;1; 00:01:37.048;33.0;3.0;35.182;43.181;18.685;MEDIUM;17.0;True;Red Bull Racing;1.0
33; 02:26:43.645;VER;1; 00:01:39.226;34.0;3.0;35.038;43.228;20.96;MEDIUM;18.0;True;Red Bull Racing;1.0
34; 02:28:39.148;VER;1; 00:01:55.503;35.0;4.0;54.547;42.486;18.47;HARD;1.0;True;Red Bull Racing;2.0
35; 02:30:13.767;VER;1; 00:01:34.619;36.0;4.0;34.203;42.165;18.251;HARD;2.0;True;Red Bull Racing;1.0
36; 02:31:48.737;VER;1; 00:01:34.970;37.0;4.0;34.373;42.368;18.229;HARD;3.0;True;Red Bull Racing;1.0
37; 02:33:23.723;VER;1; 00:01:34.986;38.0;4.0;34.217;42.272;18.497;HARD;4.0;True;Red Bull Racing;1.0
38; 02:34:58.217;VER;1; 00:01:34.494;39.0;4.0;34.097;42.145;18.252;HARD;5.0;True;Red Bull Racing;1.0
39; 02:36:32.560;VER;1; 00:01:34.343;40.0;4.0;33.952;42.124;18.267;HARD;6.0;True;Red Bull Racing;1.0
40; 02:38:06.833;VER;1; 00:01:34.273;41.0;4.0;33.997;42.069;18.207;HARD;7.0;True;Red Bull Racing;1.0
41; 02:39:41.798;VER;1; 00:01:34.965;42.0;4.0;33.901;42.756;18.308;HARD;8.0;True;Red Bull Racing;1.0
42; 02:41:16.101;VER;1; 00:01:34.303;43.0;4.0;33.837;42.139;18.327;HARD;9.0;True;Red Bull Racing;1.0
43; 02:42:50.556;VER;1; 00:01:34.455;44.0;4.0;33.813;42.303;18.339;HARD;10.0;True;Red Bull Racing;1.0
44; 02:44:25.162;VER;1; 00:01:34.606;45.0;4.0;34.085;42.138;18.383;HARD;11.0;True;Red Bull Racing;1.0
45; 02:45:59.772;VER;1; 00:01:34.610;46.0;4.0;34.073;42.272;18.265;HARD;12.0;True;Red Bull Racing;1.0
46; 02:47:34.885;VER;1; 00:01:35.113;47.0;4.0;34.21;42.527;18.376;HARD;13.0;True;Red Bull Racing;1.0
47; 02:49:10.635;VER;1; 00:01:35.750;48.0;4.0;34.496;42.871;18.383;HARD;14.0;True;Red Bull Racing;1.0
48; 02:50:45.520;VER;1; 00:01:34.885;49.0;4.0;34.097;42.487;18.301;HARD;15.0;True;Red Bull Racing;1.0
