Id;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
0;VER;1;00:01:37.284;1.0;1.0;30.916;41.266;23.616;SOFT;4.0;Red Bull Racing;1.0
1;VER;1;00:01:36.296;2.0;1.0;30.916;41.661;23.719;SOFT;5.0;Red Bull Racing;1.0
2;VER;1;00:01:36.753;3.0;1.0;30.999;41.966;23.788;SOFT;6.0;Red Bull Racing;1.0
3;VER;1;00:01:36.647;4.0;1.0;30.931;41.892;23.824;SOFT;7.0;Red Bull Racing;1.0
4;VER;1;00:01:37.173;5.0;1.0;31.255;42.056;23.862;SOFT;8.0;Red Bull Racing;1.0
5;VER;1;00:01:37.092;6.0;1.0;31.041;42.187;23.864;SOFT;9.0;Red Bull Racing;1.0
6;VER;1;00:01:37.038;7.0;1.0;31.015;42.118;23.905;SOFT;10.0;Red Bull Racing;1.0
7;VER;1;00:01:37.024;8.0;1.0;31.041;42.077;23.906;SOFT;11.0;Red Bull Racing;1.0
8;VER;1;00:01:37.229;9.0;1.0;31.1;42.166;23.963;SOFT;12.0;Red Bull Racing;1.0
9;VER;1;00:01:36.960;10.0;1.0;30.986;42.009;23.965;SOFT;13.0;Red Bull Racing;1.0
10;VER;1;00:01:37.085;11.0;1.0;30.974;42.142;23.969;SOFT;14.0;Red Bull Racing;1.0
11;VER;1;00:01:37.045;12.0;1.0;30.966;42.091;23.988;SOFT;15.0;Red Bull Racing;1.0
12;VER;1;00:01:37.030;13.0;1.0;30.964;42.055;24.011;SOFT;16.0;Red Bull Racing;1.0
13;VER;1;00:01:37.028;14.0;1.0;30.938;42.042;24.048;SOFT;17.0;Red Bull Racing;1.0
14;VER;1;00:01:37.011;15.0;1.0;30.887;42.058;24.066;SOFT;18.0;Red Bull Racing;1.0
15;VER;1;00:01:37.168;16.0;1.0;31.048;42.032;24.088;SOFT;19.0;Red Bull Racing;1.0
16;VER;1;00:01:39.896;17.0;1.0;31.006;42.06;26.83;SOFT;20.0;Red Bull Racing;1.0
17;VER;1;00:01:57.854;18.0;2.0;52.815;41.511;23.528;HARD;1.0;Red Bull Racing;1.0
18;VER;1;00:01:35.283;19.0;2.0;30.628;41.162;23.493;HARD;2.0;Red Bull Racing;1.0
19;VER;1;00:01:35.160;20.0;2.0;30.585;41.1;23.475;HARD;3.0;Red Bull Racing;1.0
20;VER;1;00:01:35.316;21.0;2.0;30.576;41.24;23.5;HARD;4.0;Red Bull Racing;1.0
21;VER;1;00:01:35.204;22.0;2.0;30.56;41.142;23.502;HARD;5.0;Red Bull Racing;1.0
22;VER;1;00:01:35.216;23.0;2.0;30.553;41.145;23.518;HARD;6.0;Red Bull Racing;1.0
23;VER;1;00:01:35.289;24.0;2.0;30.548;41.257;23.484;HARD;7.0;Red Bull Racing;1.0
24;VER;1;00:01:35.342;25.0;2.0;30.518;41.282;23.542;HARD;8.0;Red Bull Racing;1.0
25;VER;1;00:01:35.223;26.0;2.0;30.522;41.14;23.561;HARD;9.0;Red Bull Racing;1.0
26;VER;1;00:01:35.581;27.0;2.0;30.649;41.338;23.594;HARD;10.0;Red Bull Racing;1.0
27;VER;1;00:01:35.477;28.0;2.0;30.588;41.272;23.617;HARD;11.0;Red Bull Racing;1.0
28;VER;1;00:01:35.793;29.0;2.0;30.679;41.485;23.629;HARD;12.0;Red Bull Racing;1.0
29;VER;1;00:01:35.771;30.0;2.0;30.657;41.47;23.644;HARD;13.0;Red Bull Racing;1.0
30;VER;1;00:01:35.679;31.0;2.0;30.635;41.435;23.609;HARD;14.0;Red Bull Racing;1.0
