Id ;Time;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
0; 01:01:19.630;VER;1; 00:01:35.505;1.0;1.0;34.72;29.707;29.83;MEDIUM;1.0;Red Bull Racing;1.0
1; 01:02:53.835;VER;1; 00:01:34.205;2.0;1.0;34.72;29.628;29.857;MEDIUM;2.0;Red Bull Racing;1.0
2; 01:04:27.878;VER;1; 00:01:34.043;3.0;1.0;34.53;29.621;29.892;MEDIUM;3.0;Red Bull Racing;1.0
3; 01:06:01.632;VER;1; 00:01:33.754;4.0;1.0;34.416;29.541;29.797;MEDIUM;4.0;Red Bull Racing;1.0
4; 01:07:35.587;VER;1; 00:01:33.955;5.0;1.0;34.457;29.59;29.908;MEDIUM;5.0;Red Bull Racing;1.0
5; 01:09:09.263;VER;1; 00:01:33.676;6.0;1.0;34.355;29.545;29.776;MEDIUM;6.0;Red Bull Racing;1.0
6; 01:11:12.182;VER;1; 00:02:02.919;7.0;1.0;34.467;41.316;47.136;MEDIUM;7.0;Red Bull Racing;1.0
7; 01:14:21.360;VER;1; 00:01:35.024;8.0;2.0;73.947;57.475;57.661;HARD;1.0;Red Bull Racing;2.0
8; 01:17:02.249;VER;1; 00:01:35.024;9.0;2.0;56.642;49.042;55.311;HARD;2.0;Red Bull Racing;2.0
9; 01:18:37.273;VER;1; 00:01:35.024;10.0;2.0;35.648;29.514;29.862;HARD;3.0;Red Bull Racing;2.0
10; 01:20:10.883;VER;1; 00:01:33.610;11.0;2.0;34.555;29.427;29.628;HARD;4.0;Red Bull Racing;2.0
11; 01:21:44.204;VER;1; 00:01:33.321;12.0;2.0;34.391;29.239;29.691;HARD;5.0;Red Bull Racing;2.0
12; 01:23:17.348;VER;1; 00:01:33.144;13.0;2.0;34.096;29.411;29.637;HARD;6.0;Red Bull Racing;1.0
13; 01:24:50.542;VER;1; 00:01:33.194;14.0;2.0;34.303;29.274;29.617;HARD;7.0;Red Bull Racing;1.0
14; 01:26:24.054;VER;1; 00:01:33.512;15.0;2.0;34.32;29.438;29.754;HARD;8.0;Red Bull Racing;1.0
15; 01:27:57.246;VER;1; 00:01:33.192;16.0;2.0;34.239;29.383;29.57;HARD;9.0;Red Bull Racing;1.0
16; 01:29:30.305;VER;1; 00:01:33.059;17.0;2.0;34.134;29.333;29.592;HARD;10.0;Red Bull Racing;1.0
17; 01:31:03.444;VER;1; 00:01:33.139;18.0;2.0;34.172;29.33;29.637;HARD;11.0;Red Bull Racing;1.0
18; 01:32:36.579;VER;1; 00:01:33.135;19.0;2.0;34.172;29.375;29.588;HARD;12.0;Red Bull Racing;1.0
19; 01:34:09.645;VER;1; 00:01:33.066;20.0;2.0;34.155;29.384;29.527;HARD;13.0;Red Bull Racing;1.0
