Id;Time;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
0; 00:57:17.644;VER;1; 00:01:34.338;1.0;1.0;31.455;34.99;26.211;MEDIUM;1.0;Red Bull Racing;1.0
1; 00:58:50.737;VER;1; 00:01:33.093;2.0;1.0;31.455;35.489;26.149;MEDIUM;2.0;Red Bull Racing;1.0
2; 01:00:23.874;VER;1; 00:01:33.137;3.0;1.0;31.551;35.472;26.114;MEDIUM;3.0;Red Bull Racing;1.0
3; 01:01:57.378;VER;1; 00:01:33.504;4.0;1.0;31.508;35.686;26.31;MEDIUM;4.0;Red Bull Racing;1.0
4; 01:03:30.212;VER;1; 00:01:32.834;5.0;1.0;31.318;35.41;26.106;MEDIUM;5.0;Red Bull Racing;1.0
5; 01:05:03.151;VER;1; 00:01:32.939;6.0;1.0;31.528;35.395;26.016;MEDIUM;6.0;Red Bull Racing;1.0
6; 01:06:36.046;VER;1; 00:01:32.895;7.0;1.0;31.547;35.239;26.109;MEDIUM;7.0;Red Bull Racing;1.0
7; 01:08:08.884;VER;1; 00:01:32.838;8.0;1.0;31.563;35.266;26.009;MEDIUM;8.0;Red Bull Racing;1.0
8; 01:09:42.173;VER;1; 00:01:33.289;9.0;1.0;31.903;35.254;26.132;MEDIUM;9.0;Red Bull Racing;1.0
9; 01:11:15.440;VER;1; 00:01:33.267;10.0;1.0;31.73;35.448;26.089;MEDIUM;10.0;Red Bull Racing;1.0
10; 01:12:48.941;VER;1; 00:01:33.501;11.0;1.0;31.72;35.573;26.208;MEDIUM;11.0;Red Bull Racing;1.0
11; 01:14:22.038;VER;1; 00:01:33.097;12.0;1.0;31.605;35.354;26.138;MEDIUM;12.0;Red Bull Racing;1.0
12; 01:15:55.167;VER;1; 00:01:33.129;13.0;1.0;31.578;35.441;26.11;MEDIUM;13.0;Red Bull Racing;1.0
13; 01:17:28.085;VER;1; 00:01:32.918;14.0;1.0;31.442;35.397;26.079;MEDIUM;14.0;Red Bull Racing;1.0
14; 01:19:00.892;VER;1; 00:01:32.807;15.0;1.0;31.402;35.279;26.126;MEDIUM;15.0;Red Bull Racing;1.0
