Id;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
0;VER;1; 00:01:22.881;1.0;1.0;25.604;27.949;27.0;MEDIUM;1.0;Red Bull Racing;1.0
1;VER;1; 00:01:20.596;2.0;1.0;25.604;27.925;27.067;MEDIUM;2.0;Red Bull Racing;1.0
2;VER;1; 00:01:20.872;3.0;1.0;25.743;28.104;27.025;MEDIUM;3.0;Red Bull Racing;1.0
3;VER;1; 00:01:20.671;4.0;1.0;25.651;27.991;27.029;MEDIUM;4.0;Red Bull Racing;1.0
4;VER;1; 00:01:20.734;5.0;1.0;25.602;28.041;27.091;MEDIUM;5.0;Red Bull Racing;1.0
5;VER;1; 00:01:20.868;6.0;1.0;25.697;28.085;27.086;MEDIUM;6.0;Red Bull Racing;1.0
6;VER;1; 00:01:20.868;7.0;1.0;25.734;28.186;26.948;MEDIUM;7.0;Red Bull Racing;1.0
7;VER;1; 00:01:20.762;8.0;1.0;25.71;28.135;26.917;MEDIUM;8.0;Red Bull Racing;1.0
8;VER;1; 00:01:20.543;9.0;1.0;25.629;27.978;26.936;MEDIUM;9.0;Red Bull Racing;1.0
9;VER;1; 00:01:21.093;10.0;1.0;25.633;28.203;27.257;MEDIUM;10.0;Red Bull Racing;1.0
10;VER;1; 00:01:20.885;11.0;1.0;25.704;28.03;27.151;MEDIUM;11.0;Red Bull Racing;1.0
11;VER;1; 00:01:21.287;12.0;1.0;25.804;28.255;27.228;MEDIUM;12.0;Red Bull Racing;1.0
12;VER;1; 00:01:21.073;13.0;1.0;25.696;28.234;27.143;MEDIUM;13.0;Red Bull Racing;1.0
13;VER;1; 00:01:20.982;14.0;1.0;25.581;28.272;27.129;MEDIUM;14.0;Red Bull Racing;1.0
14;VER;1; 00:01:21.323;15.0;1.0;25.748;28.272;27.303;MEDIUM;15.0;Red Bull Racing;1.0
15;VER;1; 00:01:21.362;16.0;1.0;25.738;28.326;27.298;MEDIUM;16.0;Red Bull Racing;1.0
16;VER;1; 00:01:21.328;17.0;1.0;25.732;28.315;27.281;MEDIUM;17.0;Red Bull Racing;1.0
17;VER;1; 00:01:21.411;18.0;1.0;25.765;28.307;27.339;MEDIUM;18.0;Red Bull Racing;1.0
18;VER;1; 00:01:21.517;19.0;1.0;25.826;28.376;27.315;MEDIUM;19.0;Red Bull Racing;1.0
19;VER;1; 00:01:21.550;20.0;1.0;25.731;28.433;27.386;MEDIUM;20.0;Red Bull Racing;1.0
20;VER;1; 00:01:21.608;21.0;1.0;25.888;28.323;27.397;MEDIUM;21.0;Red Bull Racing;1.0
21;VER;1; 00:01:21.763;22.0;1.0;25.802;28.448;27.513;MEDIUM;22.0;Red Bull Racing;1.0
22;VER;1; 00:01:21.988;23.0;1.0;25.778;28.626;27.584;MEDIUM;23.0;Red Bull Racing;1.0
23;VER;1; 00:01:26.212;24.0;1.0;25.862;28.604;31.746;MEDIUM;24.0;Red Bull Racing;1.0
24;VER;1; 00:01:43.602;25.0;2.0;48.939;27.886;26.777;HARD;1.0;Red Bull Racing;4.0
25;VER;1; 00:01:20.482;26.0;2.0;25.444;28.057;26.981;HARD;2.0;Red Bull Racing;3.0
26;VER;1; 00:01:20.943;27.0;2.0;25.567;28.163;27.213;HARD;3.0;Red Bull Racing;2.0
27;VER;1; 00:01:20.709;28.0;2.0;25.598;28.087;27.024;HARD;4.0;Red Bull Racing;1.0
28;VER;1; 00:01:20.615;29.0;2.0;25.528;28.108;26.979;HARD;5.0;Red Bull Racing;1.0
29;VER;1; 00:01:20.571;30.0;2.0;25.523;28.17;26.878;HARD;6.0;Red Bull Racing;1.0
30;VER;1; 00:01:20.545;31.0;2.0;25.429;28.108;27.008;HARD;7.0;Red Bull Racing;1.0
31;VER;1; 00:01:20.713;32.0;2.0;25.456;28.238;27.019;HARD;8.0;Red Bull Racing;1.0
32;VER;1; 00:01:21.141;33.0;2.0;25.78;28.264;27.097;HARD;9.0;Red Bull Racing;1.0
33;VER;1; 00:01:20.760;34.0;2.0;25.491;28.155;27.114;HARD;10.0;Red Bull Racing;1.0
34;VER;1; 00:01:20.800;35.0;2.0;25.532;28.176;27.092;HARD;11.0;Red Bull Racing;1.0
35;VER;1; 00:01:20.704;36.0;2.0;25.508;28.082;27.114;HARD;12.0;Red Bull Racing;1.0
36;VER;1; 00:01:20.484;37.0;2.0;25.385;28.131;26.968;HARD;13.0;Red Bull Racing;1.0
37;VER;1; 00:01:20.366;38.0;2.0;25.301;28.086;26.979;HARD;14.0;Red Bull Racing;1.0
38;VER;1; 00:01:20.547;39.0;2.0;25.552;28.024;26.971;HARD;15.0;Red Bull Racing;1.0
39;VER;1; 00:01:20.645;40.0;2.0;25.473;28.046;27.126;HARD;16.0;Red Bull Racing;1.0
40;VER;1; 00:01:20.675;41.0;2.0;25.483;28.075;27.117;HARD;17.0;Red Bull Racing;1.0
41;VER;1; 00:01:20.832;42.0;2.0;25.655;28.098;27.079;HARD;18.0;Red Bull Racing;1.0
42;VER;1; 00:01:20.757;43.0;2.0;25.58;28.096;27.081;HARD;19.0;Red Bull Racing;1.0
43;VER;1; 00:01:20.834;44.0;2.0;25.442;28.139;27.253;HARD;20.0;Red Bull Racing;1.0
44;VER;1; 00:01:21.364;45.0;2.0;25.628;28.332;27.404;HARD;21.0;Red Bull Racing;1.0
45;VER;1; 00:01:20.700;46.0;2.0;25.324;28.278;27.098;HARD;22.0;Red Bull Racing;1.0
46;VER;1; 00:01:20.909;47.0;2.0;25.657;28.143;27.109;HARD;23.0;Red Bull Racing;1.0
47;VER;1; 00:01:20.923;48.0;2.0;25.612;28.25;27.061;HARD;24.0;Red Bull Racing;1.0
48;VER;1; 00:01:20.823;49.0;2.0;25.522;28.202;27.099;HARD;25.0;Red Bull Racing;1.0
49;VER;1; 00:01:20.817;50.0;2.0;25.456;28.139;27.222;HARD;26.0;Red Bull Racing;1.0
50;VER;1; 00:01:20.736;51.0;2.0;25.541;28.085;27.11;HARD;27.0;Red Bull Racing;1.0
51;VER;1; 00:01:20.556;52.0;2.0;25.536;28.206;26.814;HARD;28.0;Red Bull Racing;1.0
52;VER;1; 00:01:20.638;53.0;2.0;25.396;28.185;27.057;HARD;29.0;Red Bull Racing;1.0
53;VER;1; 00:01:20.918;54.0;2.0;25.422;28.128;27.368;HARD;30.0;Red Bull Racing;1.0
54;VER;1; 00:01:20.962;55.0;2.0;25.67;28.278;27.014;HARD;31.0;Red Bull Racing;1.0
55;VER;1; 00:01:20.490;56.0;2.0;25.434;28.118;26.938;HARD;32.0;Red Bull Racing;1.0
56;VER;1; 00:01:20.511;57.0;2.0;25.479;27.981;27.051;HARD;33.0;Red Bull Racing;1.0
57;VER;1; 00:01:20.513;58.0;2.0;25.436;28.125;26.952;HARD;34.0;Red Bull Racing;1.0
58;VER;1; 00:01:20.367;59.0;2.0;25.461;27.898;27.008;HARD;35.0;Red Bull Racing;1.0
59;VER;1; 00:01:20.637;60.0;2.0;25.549;28.01;27.078;HARD;36.0;Red Bull Racing;1.0
60;VER;1; 00:01:20.698;61.0;2.0;25.458;28.148;27.092;HARD;37.0;Red Bull Racing;1.0
61;VER;1; 00:01:20.753;62.0;2.0;25.616;27.997;27.14;HARD;38.0;Red Bull Racing;1.0
62;VER;1; 00:01:21.035;63.0;2.0;25.644;28.107;27.284;HARD;39.0;Red Bull Racing;1.0
63;NOR;4; 00:01:23.764;1.0;1.0;25.691;28.266;26.966;MEDIUM;1.0;McLaren;2.0
64;NOR;4; 00:01:20.673;2.0;1.0;25.691;28.003;26.979;MEDIUM;2.0;McLaren;2.0
65;NOR;4; 00:01:20.884;3.0;1.0;25.817;28.151;26.916;MEDIUM;3.0;McLaren;2.0
66;NOR;4; 00:01:21.205;4.0;1.0;25.779;28.307;27.119;MEDIUM;4.0;McLaren;2.0
67;NOR;4; 00:01:21.046;5.0;1.0;25.638;28.344;27.064;MEDIUM;5.0;McLaren;2.0
68;NOR;4; 00:01:20.909;6.0;1.0;25.69;28.166;27.053;MEDIUM;6.0;McLaren;2.0
69;NOR;4; 00:01:20.923;7.0;1.0;25.621;28.191;27.111;MEDIUM;7.0;McLaren;2.0
70;NOR;4; 00:01:20.997;8.0;1.0;25.599;28.337;27.061;MEDIUM;8.0;McLaren;2.0
71;NOR;4; 00:01:21.052;9.0;1.0;25.644;28.262;27.146;MEDIUM;9.0;McLaren;2.0
72;NOR;4; 00:01:21.272;10.0;1.0;25.606;28.297;27.369;MEDIUM;10.0;McLaren;2.0
73;NOR;4; 00:01:21.201;11.0;1.0;25.604;28.347;27.25;MEDIUM;11.0;McLaren;2.0
74;NOR;4; 00:01:21.438;12.0;1.0;25.632;28.416;27.39;MEDIUM;12.0;McLaren;2.0
75;NOR;4; 00:01:21.735;13.0;1.0;25.755;28.508;27.472;MEDIUM;13.0;McLaren;2.0
76;NOR;4; 00:01:21.716;14.0;1.0;25.665;28.403;27.648;MEDIUM;14.0;McLaren;2.0
77;NOR;4; 00:01:21.666;15.0;1.0;25.774;28.454;27.438;MEDIUM;15.0;McLaren;2.0
78;NOR;4; 00:01:21.523;16.0;1.0;25.487;28.489;27.547;MEDIUM;16.0;McLaren;2.0
