Id;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
0;LEC;16; 00:40:56.330;1.0;1.0;26.854;46.389;22.382;MEDIUM;1.0;Ferrari;1.0
1;LEC;16; 00:01:24.624;2.0;2.0;26.854;41.743;22.382;HARD;1.0;Ferrari;1.0
2;LEC;16; 00:01:24.624;3.0;2.0;24.007;38.235;22.382;HARD;2.0;Ferrari;1.0
3;LEC;16; 00:01:22.625;4.0;2.0;21.892;38.779;21.954;HARD;3.0;Ferrari;1.0
4;LEC;16; 00:01:21.795;5.0;2.0;21.314;38.513;21.968;HARD;4.0;Ferrari;1.0
5;LEC;16; 00:01:21.145;6.0;2.0;21.568;38.168;21.409;HARD;5.0;Ferrari;1.0
6;LEC;16; 00:01:20.980;7.0;2.0;21.37;38.056;21.554;HARD;6.0;Ferrari;1.0
7;LEC;16; 00:01:21.030;8.0;2.0;21.25;38.171;21.609;HARD;7.0;Ferrari;1.0
8;LEC;16; 00:01:20.114;9.0;2.0;21.092;37.612;21.41;HARD;8.0;Ferrari;1.0
9;LEC;16; 00:01:20.775;10.0;2.0;21.036;37.886;21.853;HARD;9.0;Ferrari;1.0
10;LEC;16; 00:01:21.046;11.0;2.0;21.279;38.236;21.531;HARD;10.0;Ferrari;1.0
11;LEC;16; 00:01:20.252;12.0;2.0;20.949;37.73;21.573;HARD;11.0;Ferrari;1.0
12;LEC;16; 00:01:19.017;13.0;2.0;20.818;36.898;21.301;HARD;12.0;Ferrari;1.0
13;LEC;16; 00:01:19.913;14.0;2.0;20.847;38.003;21.063;HARD;13.0;Ferrari;1.0
14;LEC;16; 00:01:19.838;15.0;2.0;20.763;37.77;21.305;HARD;14.0;Ferrari;1.0
15;LEC;16; 00:01:20.156;16.0;2.0;21.139;37.516;21.501;HARD;15.0;Ferrari;1.0
16;LEC;16; 00:01:20.279;17.0;2.0;20.925;37.498;21.856;HARD;16.0;Ferrari;1.0
17;LEC;16; 00:01:19.580;18.0;2.0;20.612;37.578;21.39;HARD;17.0;Ferrari;1.0
18;LEC;16; 00:01:18.842;19.0;2.0;20.806;36.89;21.146;HARD;18.0;Ferrari;1.0
19;LEC;16; 00:01:18.724;20.0;2.0;20.573;37.018;21.133;HARD;19.0;Ferrari;1.0
20;LEC;16; 00:01:18.472;21.0;2.0;20.609;36.874;20.989;HARD;20.0;Ferrari;1.0
21;LEC;16; 00:01:18.620;22.0;2.0;20.591;37.004;21.025;HARD;21.0;Ferrari;1.0
22;LEC;16; 00:01:18.458;23.0;2.0;20.638;36.755;21.065;HARD;22.0;Ferrari;1.0
23;LEC;16; 00:01:18.725;24.0;2.0;20.436;37.261;21.028;HARD;23.0;Ferrari;1.0
24;LEC;16; 00:01:18.973;25.0;2.0;20.408;37.435;21.13;HARD;24.0;Ferrari;1.0
25;LEC;16; 00:01:18.445;26.0;2.0;20.305;37.048;21.092;HARD;25.0;Ferrari;1.0
26;LEC;16; 00:01:18.351;27.0;2.0;20.507;36.769;21.075;HARD;26.0;Ferrari;1.0
27;LEC;16; 00:01:18.710;28.0;2.0;20.535;37.208;20.967;HARD;27.0;Ferrari;1.0
28;LEC;16; 00:01:19.053;29.0;2.0;20.429;37.312;21.312;HARD;28.0;Ferrari;1.0
29;LEC;16; 00:01:19.935;30.0;2.0;21.091;37.38;21.464;HARD;29.0;Ferrari;1.0
30;LEC;16; 00:01:18.393;31.0;2.0;20.706;36.687;21.0;HARD;30.0;Ferrari;1.0
31;LEC;16; 00:01:19.125;32.0;2.0;20.483;37.216;21.426;HARD;31.0;Ferrari;1.0
32;LEC;16; 00:01:18.494;33.0;2.0;20.51;36.916;21.068;HARD;32.0;Ferrari;1.0
33;LEC;16; 00:01:19.319;34.0;2.0;20.412;37.589;21.318;HARD;33.0;Ferrari;1.0
34;LEC;16; 00:01:18.530;35.0;2.0;20.503;36.672;21.355;HARD;34.0;Ferrari;1.0
35;LEC;16; 00:01:18.689;36.0;2.0;20.697;36.919;21.073;HARD;35.0;Ferrari;1.0
36;LEC;16; 00:01:18.925;37.0;2.0;21.082;36.57;21.273;HARD;36.0;Ferrari;1.0
37;LEC;16; 00:01:18.528;38.0;2.0;20.612;36.704;21.212;HARD;37.0;Ferrari;1.0
38;LEC;16; 00:01:18.181;39.0;2.0;20.815;36.297;21.069;HARD;38.0;Ferrari;1.0
