Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
VER,1, 00:01:23.186,1.0,1.0,24.201,32.054,23.658,SOFT,4.0,Red Bull Racing,2.0
VER,1, 00:01:19.871,2.0,1.0,24.201,31.9,23.77,SOFT,5.0,Red Bull Racing,2.0
VER,1, 00:01:19.364,3.0,1.0,23.249,32.086,24.029,SOFT,6.0,Red Bull Racing,1.0
VER,1, 00:01:20.766,4.0,1.0,24.251,32.339,24.176,SOFT,7.0,Red Bull Racing,1.0
VER,1, 00:01:20.827,5.0,1.0,24.165,32.393,24.269,SOFT,8.0,Red Bull Racing,1.0
VER,1, 00:01:20.876,6.0,1.0,24.212,32.383,24.281,SOFT,9.0,Red Bull Racing,1.0
VER,1, 00:01:20.973,7.0,1.0,24.231,32.481,24.261,SOFT,10.0,Red Bull Racing,1.0
VER,1, 00:01:20.989,8.0,1.0,24.111,32.622,24.256,SOFT,11.0,Red Bull Racing,1.0
VER,1, 00:01:21.042,9.0,1.0,24.174,32.54,24.328,SOFT,12.0,Red Bull Racing,1.0
VER,1, 00:01:21.003,10.0,1.0,24.129,32.546,24.328,SOFT,13.0,Red Bull Racing,1.0
VER,1, 00:01:20.954,11.0,1.0,24.127,32.52,24.307,SOFT,14.0,Red Bull Racing,1.0
VER,1, 00:01:21.376,12.0,1.0,24.149,32.844,24.383,SOFT,15.0,Red Bull Racing,1.0
VER,1, 00:01:20.807,13.0,1.0,24.043,32.594,24.17,SOFT,16.0,Red Bull Racing,1.0
VER,1, 00:01:20.989,14.0,1.0,24.034,32.625,24.33,SOFT,17.0,Red Bull Racing,1.0
VER,1, 00:01:21.097,15.0,1.0,23.972,32.786,24.339,SOFT,18.0,Red Bull Racing,1.0
VER,1, 00:01:21.223,16.0,1.0,24.044,32.787,24.392,SOFT,19.0,Red Bull Racing,1.0
VER,1, 00:01:24.876,17.0,1.0,23.941,32.874,28.061,SOFT,20.0,Red Bull Racing,1.0
VER,1, 00:01:37.657,18.0,2.0,42.077,31.843,23.737,MEDIUM,1.0,Red Bull Racing,4.0
VER,1, 00:01:19.725,19.0,2.0,23.879,31.93,23.916,MEDIUM,2.0,Red Bull Racing,4.0
VER,1, 00:01:19.966,20.0,2.0,23.956,32.09,23.92,MEDIUM,3.0,Red Bull Racing,4.0
VER,1, 00:01:20.304,21.0,2.0,23.689,32.541,24.074,MEDIUM,4.0,Red Bull Racing,3.0
VER,1, 00:01:19.742,22.0,2.0,23.781,31.974,23.987,MEDIUM,5.0,Red Bull Racing,3.0
VER,1, 00:01:19.605,23.0,2.0,23.63,32.004,23.971,MEDIUM,6.0,Red Bull Racing,3.0
VER,1, 00:01:19.701,24.0,2.0,23.648,32.13,23.923,MEDIUM,7.0,Red Bull Racing,1.0
VER,1, 00:01:19.363,25.0,2.0,23.625,31.86,23.878,MEDIUM,8.0,Red Bull Racing,1.0
VER,1, 00:01:19.882,26.0,2.0,23.707,32.317,23.858,MEDIUM,9.0,Red Bull Racing,1.0
VER,1, 00:01:19.694,27.0,2.0,23.602,32.193,23.899,MEDIUM,10.0,Red Bull Racing,1.0
VER,1, 00:01:20.101,28.0,2.0,23.824,32.175,24.102,MEDIUM,11.0,Red Bull Racing,1.0
VER,1, 00:01:19.792,29.0,2.0,23.626,32.14,24.026,MEDIUM,12.0,Red Bull Racing,1.0
VER,1, 00:01:19.807,30.0,2.0,23.594,32.182,24.031,MEDIUM,13.0,Red Bull Racing,1.0
VER,1, 00:01:20.011,31.0,2.0,23.599,32.302,24.11,MEDIUM,14.0,Red Bull Racing,1.0
VER,1, 00:01:19.891,32.0,2.0,23.582,32.211,24.098,MEDIUM,15.0,Red Bull Racing,1.0
VER,1, 00:01:19.836,33.0,2.0,23.564,32.147,24.125,MEDIUM,16.0,Red Bull Racing,1.0
VER,1, 00:01:19.958,34.0,2.0,23.606,32.322,24.03,MEDIUM,17.0,Red Bull Racing,1.0
VER,1, 00:01:20.185,35.0,2.0,23.677,32.325,24.183,MEDIUM,18.0,Red Bull Racing,1.0
VER,1, 00:01:19.926,36.0,2.0,23.556,32.238,24.132,MEDIUM,19.0,Red Bull Racing,1.0
VER,1, 00:01:19.803,37.0,2.0,23.554,32.368,23.881,MEDIUM,20.0,Red Bull Racing,1.0
VER,1, 00:01:19.813,38.0,2.0,23.596,32.132,24.085,MEDIUM,21.0,Red Bull Racing,1.0
VER,1, 00:01:19.669,39.0,2.0,23.535,32.119,24.015,MEDIUM,22.0,Red Bull Racing,1.0
VER,1, 00:01:20.310,40.0,2.0,23.602,32.574,24.134,MEDIUM,23.0,Red Bull Racing,1.0
VER,1, 00:01:19.648,41.0,2.0,23.525,32.142,23.981,MEDIUM,24.0,Red Bull Racing,1.0
VER,1, 00:01:19.920,42.0,2.0,23.528,32.412,23.98,MEDIUM,25.0,Red Bull Racing,1.0
VER,1, 00:01:20.301,43.0,2.0,23.469,32.617,24.215,MEDIUM,26.0,Red Bull Racing,1.0
VER,1, 00:01:23.427,44.0,2.0,23.465,32.256,27.706,MEDIUM,27.0,Red Bull Racing,1.0
VER,1, 00:01:37.053,45.0,3.0,42.408,31.274,23.371,SOFT,1.0,Red Bull Racing,3.0
VER,1, 00:01:17.886,46.0,3.0,23.228,31.289,23.369,SOFT,2.0,Red Bull Racing,3.0
VER,1, 00:01:17.998,47.0,3.0,23.311,31.297,23.39,SOFT,3.0,Red Bull Racing,2.0
VER,1, 00:01:18.416,48.0,3.0,23.278,31.346,23.792,SOFT,4.0,Red Bull Racing,1.0
VER,1, 00:01:18.254,49.0,3.0,23.138,31.533,23.583,SOFT,5.0,Red Bull Racing,1.0
VER,1, 00:01:18.074,50.0,3.0,23.375,31.242,23.457,SOFT,6.0,Red Bull Racing,1.0
VER,1, 00:01:17.958,51.0,3.0,23.205,31.332,23.421,SOFT,7.0,Red Bull Racing,1.0
VER,1, 00:01:17.931,52.0,3.0,23.157,31.325,23.449,SOFT,8.0,Red Bull Racing,1.0
VER,1, 00:01:18.140,53.0,3.0,23.29,31.47,23.38,SOFT,9.0,Red Bull Racing,1.0
VER,1, 00:01:17.776,54.0,3.0,23.032,31.311,23.433,SOFT,10.0,Red Bull Racing,1.0
