Id;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
0;VER;1; 00:01:59.392;1.0;1.0;58.141;20.705;55.25;INTERMEDIATE;1.0;Red Bull Racing;5.0
1;VER;1; 00:02:23.609;2.0;1.0;58.141;37.976;73.205;INTERMEDIATE;2.0;Red Bull Racing;2.0
2;VER;1; 00:02:23.609;3.0;2.0;56.23;33.683;72.232;INTERMEDIATE;3.0;Red Bull Racing;2.0
3;VER;1; 00:02:23.609;4.0;3.0;54.351;32.712;68.712;INTERMEDIATE;4.0;Red Bull Racing;2.0
4;VER;1; 00:02:23.609;5.0;4.0;53.513;32.627;57.469;INTERMEDIATE;5.0;Red Bull Racing;2.0
5;VER;1; 00:02:19.654;6.0;4.0;47.887;33.228;58.539;INTERMEDIATE;6.0;Red Bull Racing;2.0
6;VER;1; 00:02:16.447;7.0;4.0;45.898;29.735;60.814;INTERMEDIATE;7.0;Red Bull Racing;2.0
7;VER;1; 00:01:36.830;8.0;4.0;35.249;20.145;41.436;INTERMEDIATE;8.0;Red Bull Racing;2.0
8;VER;1; 00:01:34.315;9.0;4.0;33.85;19.608;40.857;INTERMEDIATE;9.0;Red Bull Racing;2.0
9;VER;1; 00:01:32.650;10.0;4.0;33.117;19.414;40.119;INTERMEDIATE;10.0;Red Bull Racing;2.0
10;VER;1; 00:01:32.453;11.0;4.0;33.017;19.392;40.044;INTERMEDIATE;11.0;Red Bull Racing;2.0
11;VER;1; 00:01:31.591;12.0;4.0;32.767;19.302;39.522;INTERMEDIATE;12.0;Red Bull Racing;2.0
12;VER;1; 00:01:31.271;13.0;4.0;32.572;19.292;39.407;INTERMEDIATE;13.0;Red Bull Racing;2.0
13;VER;1; 00:01:30.639;14.0;4.0;32.137;19.124;39.378;INTERMEDIATE;14.0;Red Bull Racing;2.0
14;VER;1; 00:01:30.328;15.0;4.0;31.945;18.879;39.504;INTERMEDIATE;15.0;Red Bull Racing;2.0
15;VER;1; 00:01:30.592;16.0;4.0;31.921;19.071;39.6;INTERMEDIATE;16.0;Red Bull Racing;2.0
16;VER;1; 00:01:33.392;17.0;4.0;32.432;19.003;41.957;INTERMEDIATE;17.0;Red Bull Racing;3.0
17;VER;1; 00:01:32.169;18.0;4.0;32.55;18.956;40.663;INTERMEDIATE;18.0;Red Bull Racing;3.0
18;VER;1; 00:01:31.939;19.0;4.0;32.547;19.002;40.39;INTERMEDIATE;19.0;Red Bull Racing;3.0
19;VER;1; 00:01:31.598;20.0;4.0;32.354;19.009;40.235;INTERMEDIATE;20.0;Red Bull Racing;3.0
20;VER;1; 00:01:31.177;21.0;4.0;32.272;18.898;47;INTERMEDIATE;21.0;Red Bull Racing;3.0
21;VER;1; 00:01:31.040;22.0;4.0;32.48;18.943;39.617;INTERMEDIATE;22.0;Red Bull Racing;3.0
