Id;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
0;PIA;81; 00:01:38.344;1.0;1.0;26.193;28.932;41.859;MEDIUM;1.0;McLaren;1.0
1;PIA;81; 00:01:37.551;2.0;1.0;26.193;29.261;42.097;MEDIUM;2.0;McLaren;1.0
2;PIA;81; 00:01:37.689;3.0;1.0;26.011;29.486;42.192;MEDIUM;3.0;McLaren;1.0
3;PIA;81; 00:01:37.804;4.0;1.0;26.345;29.43;42.029;MEDIUM;4.0;McLaren;1.0
4;PIA;81; 00:01:38.082;5.0;1.0;26.312;29.729;42.041;MEDIUM;5.0;McLaren;1.0
5;PIA;81; 00:01:37.539;6.0;1.0;26.187;29.451;41.901;MEDIUM;6.0;McLaren;1.0
6;PIA;81; 00:01:37.898;7.0;1.0;26.337;29.711;41.85;MEDIUM;7.0;McLaren;1.0
7;PIA;81; 00:01:38.193;8.0;1.0;26.341;29.696;42.156;MEDIUM;8.0;McLaren;1.0
8;PIA;81; 00:01:38.199;9.0;1.0;26.468;29.696;42.035;MEDIUM;9.0;McLaren;1.0
9;PIA;81; 00:01:37.994;10.0;1.0;26.314;29.785;41.895;MEDIUM;10.0;McLaren;1.0
10;PIA;81; 00:01:38.124;11.0;1.0;26.314;29.718;42.092;MEDIUM;11.0;McLaren;1.0
11;PIA;81; 00:01:38.113;12.0;1.0;26.34;29.782;41.991;MEDIUM;12.0;McLaren;1.0
12;PIA;81; 00:01:37.955;13.0;1.0;26.16;29.706;42.089;MEDIUM;13.0;McLaren;1.0
13;PIA;81; 00:01:42.626;14.0;1.0;26.25;29.472;46.904;MEDIUM;14.0;McLaren;2.0
14;PIA;81; 00:01:57.530;15.0;2.0;45.661;29.73;42.139;HARD;1.0;McLaren;4.0
15;PIA;81; 00:01:37.407;16.0;2.0;26.166;29.557;41.684;HARD;2.0;McLaren;2.0
16;PIA;81; 00:01:36.891;17.0;2.0;25.902;29.667;41.322;HARD;3.0;McLaren;1.0
17;PIA;81; 00:01:37.171;18.0;2.0;26.135;29.381;41.655;HARD;4.0;McLaren;1.0
18;PIA;81; 00:01:37.211;19.0;2.0;25.989;29.447;41.775;HARD;5.0;McLaren;1.0
19;PIA;81; 00:01:37.408;20.0;2.0;26.183;29.562;41.663;HARD;6.0;McLaren;1.0
20;PIA;81; 00:01:37.985;21.0;2.0;26.27;29.726;41.989;HARD;7.0;McLaren;1.0
21;PIA;81; 00:01:37.738;22.0;2.0;26.258;29.689;41.791;HARD;8.0;McLaren;1.0
22;PIA;81; 00:01:37.232;23.0;2.0;26.2;29.359;41.673;HARD;9.0;McLaren;1.0
23;PIA;81; 00:01:36.970;24.0;2.0;25.901;29.43;41.639;HARD;10.0;McLaren;1.0
24;PIA;81; 00:01:37.185;25.0;2.0;26.055;29.418;41.712;HARD;11.0;McLaren;1.0
25;PIA;81; 00:01:37.186;26.0;2.0;26.08;29.431;41.675;HARD;12.0;McLaren;1.0
26;PIA;81; 00:01:37.112;27.0;2.0;26.076;29.408;41.628;HARD;13.0;McLaren;1.0
27;PIA;81; 00:01:37.001;28.0;2.0;26.027;29.356;41.618;HARD;14.0;McLaren;1.0
28;PIA;81; 00:01:36.533;29.0;2.0;25.899;29.182;41.452;HARD;15.0;McLaren;1.0
29;PIA;81; 00:01:36.810;30.0;2.0;25.905;29.304;41.601;HARD;16.0;McLaren;1.0
30;PIA;81; 00:01:36.662;31.0;2.0;25.852;29.212;41.598;HARD;17.0;McLaren;1.0
31;PIA;81; 00:01:36.698;32.0;2.0;26.045;29.132;41.521;HARD;18.0;McLaren;1.0
32;PIA;81; 00:01:36.449;33.0;2.0;25.967;29.038;41.444;HARD;19.0;McLaren;1.0
33;PIA;81; 00:01:36.804;34.0;2.0;26.051;29.071;41.682;HARD;20.0;McLaren;1.0
34;PIA;81; 00:01:36.640;35.0;2.0;25.95;29.137;41.553;HARD;21.0;McLaren;1.0
35;PIA;81; 00:01:36.795;36.0;2.0;25.987;29.147;41.661;HARD;22.0;McLaren;1.0
36;PIA;81; 00:01:36.690;37.0;2.0;25.949;29.199;41.542;HARD;23.0;McLaren;1.0
37;PIA;81; 00:01:36.527;38.0;2.0;25.851;29.141;41.535;HARD;24.0;McLaren;1.0
38;PIA;81; 00:01:36.200;39.0;2.0;25.752;28.972;41.476;HARD;25.0;McLaren;1.0
39;PIA;81; 00:01:36.009;40.0;2.0;25.676;28.878;41.455;HARD;26.0;McLaren;1.0
40;PIA;81; 00:01:36.028;41.0;2.0;25.644;28.8;41.584;HARD;27.0;McLaren;1.0
