ID;Time;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;FreshTyre;Team;Position
0;  00:57:41.632  ;VER;1;   00:01:34.725   ;1.0;1.0;33.894;41.962;18.147;MEDIUM;1.0;True;Red Bull Racing;1.0
1;   00:59:15.575   ;VER;1;   00:01:33.943   ;2.0;1.0;33.894;42.026;18.023;MEDIUM;2.0;True;Red Bull Racing;1.0
2;   01:00:49.214   ;VER;1;   00:01:33.639   ;3.0;1.0;33.567;42.027;18.045;MEDIUM;3.0;True;Red Bull Racing;1.0
3;   01:02:22.958   ;VER;1;   00:01:33.744   ;4.0;1.0;33.57;42.14;18.034;MEDIUM;4.0;True;Red Bull Racing;1.0
4;   01:03:56.734   ;VER;1;   00:01:33.776   ;5.0;1.0;33.486;42.157;18.133;MEDIUM;5.0;True;Red Bull Racing;1.0
5;   01:05:30.38  0 ;VER;1;   00:01:33.646   ;6.0;1.0;33.319;42.252;18.075;MEDIUM;6.0;True;Red Bull Racing;1.0
6;   01:07:03.906   ;VER;1;   00:01:33.526   ;7.0;1.0;33.193;42.278;18.055;MEDIUM;7.0;True;Red Bull Racing;1.0
7;   01:08:37.442   ;VER;1;   00:01:33.536   ;8.0;1.0;33.13;42.336;18.07;MEDIUM;8.0;True;Red Bull Racing;1.0
8;   01:10:10.971   ;VER;1;   00:01:33.529   ;9.0;1.0;33.067;42.336;18.126;MEDIUM;9.0;True;Red Bull Racing;1.0
9;   01:11:44.526   ;VER;1;   00:01:33.555   ;10.0;1.0;33.118;42.367;18.07;MEDIUM;10.0;True;Red Bull Racing;1.0
10;   01:13:18.024   ;VER;1;   00:01:33.498   ;11.0;1.0;33.132;42.299;18.067;MEDIUM;11.0;True;Red Bull Racing;1.0
11;   01:14:51.667   ;VER;1;   00:01:33.643   ;12.0;1.0;33.046;42.461;18.136;MEDIUM;12.0;True;Red Bull Racing;1.0
12;   01:16:25.307   ;VER;1;   00:01:33.64  0 ;13.0;1.0;33.035;42.473;18.132;MEDIUM;13.0;True;Red Bull Racing;1.0
13;   01:17:58.687   ;VER;1;   00:01:33.38  0 ;14.0;1.0;32.875;42.429;18.076;MEDIUM;14.0;True;Red Bull Racing;1.0
14;   01:19:32.055   ;VER;1;   00:01:33.368   ;15.0;1.0;32.898;42.373;18.097;MEDIUM;15.0;True;Red Bull Racing;1.0
15;   01:21:05.486   ;VER;1;   00:01:33.431   ;16.0;1.0;32.825;42.538;18.068;MEDIUM;16.0;True;Red Bull Racing;1.0
16;   01:22:39.028   ;VER;1;   00:01:33.542   ;17.0;1.0;32.841;42.557;18.144;MEDIUM;17.0;True;Red Bull Racing;1.0
17;   01:24:12.381   ;VER;1;   00:01:33.353   ;18.0;1.0;32.785;42.491;18.077;MEDIUM;18.0;True;Red Bull Racing;1.0
18;   01:25:45.739   ;VER;1;   00:01:33.358   ;19.0;1.0;32.745;42.482;18.131;MEDIUM;19.0;True;Red Bull Racing;1.0
19;   01:27:18.803   ;VER;1;   00:01:33.064   ;20.0;1.0;32.474;42.472;18.118;MEDIUM;20.0;True;Red Bull Racing;1.0
20;   01:28:54.023   ;VER;1;   00:01:35.22  0 ;21.0;1.0;32.449;42.44;20.331;MEDIUM;21.0;True;Red Bull Racing;1.0
21;   01:30:48.101   ;VER;1;   00:01:54.078   ;22.0;2.0;54.295;41.802;17.981;HARD;1.0;True;Red Bull Racing;5.0
22;   01:32:20.783   ;VER;1;   00:01:32.682   ;23.0;2.0;32.736;41.867;18.079;HARD;2.0;True;Red Bull Racing;5.0
23;   01:33:53.074   ;VER;1;   00:01:32.291   ;24.0;2.0;32.379;41.95;17.962;HARD;3.0;True;Red Bull Racing;4.0
24;   01:35:25.58  0 ;VER;1;   00:01:32.506   ;25.0;2.0;32.606;41.89;18.01;HARD;4.0;True;Red Bull Racing;3.0
25;   01:36:58.028   ;VER;1;   00:01:32.448   ;26.0;2.0;32.488;41.948;18.012;HARD;5.0;True;Red Bull Racing;3.0
26;   01:38:30.374   ;VER;1;   00:01:32.346   ;27.0;2.0;32.464;41.948;17.934;HARD;6.0;True;Red Bull Racing;3.0
27;   01:40:02.837   ;VER;1;   00:01:32.463   ;28.0;2.0;32.516;41.941;18.006;HARD;7.0;True;Red Bull Racing;3.0
28;   01:41:34.985   ;VER;1;   00:01:32.148   ;29.0;2.0;32.292;41.902;17.954;HARD;8.0;True;Red Bull Racing;3.0
29;   01:43:07.631   ;VER;1;   00:01:32.646   ;30.0;2.0;32.347;42.049;18.25;HARD;9.0;True;Red Bull Racing;2.0
30;   01:44:39.365   ;VER;1;   00:01:31.734   ;31.0;2.0;31.854;41.932;17.948;HARD;10.0;True;Red Bull Racing;2.0
31;   01:46:11.398   ;VER;1;   00:01:32.033   ;32.0;2.0;32.143;41.921;17.969;HARD;11.0;True;Red Bull Racing;1.0
32;   01:47:43.212   ;VER;1;   00:01:31.814   ;33.0;2.0;32.065;41.803;17.946;HARD;12.0;True;Red Bull Racing;1.0
33;   01:49:14.994   ;VER;1;   00:01:31.782   ;34.0;2.0;32.083;41.774;17.925;HARD;13.0;True;Red Bull Racing;1.0
34;   01:50:47.004   ;VER;1;   00:01:32.01  0 ;35.0;2.0;32.08;41.907;18.023;HARD;14.0;True;Red Bull Racing;1.0
35;   01:52:18.762   ;VER;1;   00:01:31.758   ;36.0;2.0;31.972;41.801;17.985;HARD;15.0;True;Red Bull Racing;1.0
36;   01:53:50.501   ;VER;1;   00:01:31.739   ;37.0;2.0;32.041;41.827;17.871;HARD;16.0;True;Red Bull Racing;1.0
37;   01:55:22.289   ;VER;1;   00:01:31.788   ;38.0;2.0;31.926;41.861;18.001;HARD;17.0;True;Red Bull Racing;1.0
38;   01:56:54.068   ;VER;1;   00:01:31.779   ;39.0;2.0;31.91;41.9;17.969;HARD;18.0;True;Red Bull Racing;1.0
39;   01:58:25.581   ;VER;1;   00:01:31.513   ;40.0;2.0;31.829;41.826;17.858;HARD;19.0;True;Red Bull Racing;1.0
40;   01:59:57.161   ;VER;1;   00:01:31.58  0 ;41.0;2.0;31.773;41.884;17.923;HARD;20.0;True;Red Bull Racing;1.0
41;   02:01:28.629   ;VER;1;   00:01:31.468   ;42.0;2.0;31.715;41.833;17.92;HARD;21.0;True;Red Bull Racing;1.0
